"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"559",1745,"col","Lower Greensand",-1.32,50.6,"AC-Greensand",NA,"",13,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"560",1744,"col","Lower Greensand",-1.32,50.6,"PB3-Greensand",NA,"",19,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"561",1746,"col","Lower Greensand",-1.32,50.6,"LLB-Greensand",NA,"",14,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"562",1747,"col","Lower Greensand",-1.32,50.6,"crac-greensand",NA,"",50,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"563",1748,"col","Lower Greensand",-1.32,50.6,"ULB-Greensand",NA,"",7,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"564",1751,"col","Lower Greensand",-1.32,50.6,"LGGB2-Greensand",NA,"",4,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"565",1752,"col","Lower Greensand",-1.32,50.6,"LGGB3-Greensand",NA,"",6,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"566",1750,"col","Lower Greensand",-1.32,50.6,"LGGB1-Greensand",NA,"",7,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"567",1749,"col","Lower Greensand",-1.32,50.6,"SG1-Greensand",NA,"",6,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"568",1753,"col","Lower Greensand",-1.32,50.6,"SGB2-Greensand",NA,"",4,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"569",1755,"col","Lower Greensand",-1.32,50.6,"SGB4-Greensand",NA,"",1,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"570",1754,"col","Lower Greensand",-1.32,50.6,"SGB3-Greensand",NA,"",20,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"571",1756,"col","Lower Greensand",-1.32,50.6,"LCB-Greensand",NA,"",13,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"572",1757,"col","Lower Greensand",-1.32,50.6,"WCSB1-Greensand",NA,"",13,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"573",1758,"col","Lower Greensand",-1.32,50.6,"WCSB2-Greensand",NA,"",3,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"574",1759,"col","Lower Greensand",-1.32,50.6,"UCB-Greensand",NA,"",11,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"575",1760,"col","Lower Greensand",-1.32,50.6,"WLS-Greensand",NA,"",17,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"576",1761,"col","Lower Greensand",-1.32,50.6,"UG-Greensand",NA,"",1,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"577",1763,"col","Lower Greensand",-1.32,50.6,"SWU-Greensand",NA,"",3,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"578",1762,"col","Lower Greensand",-1.32,50.6,"CES-Greensand",NA,"",1,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"579",1764,"col","Lower Greensand",-1.32,50.6,"FBBC-Greensand",NA,"",9,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,"aptian",153,24.5379,38.7172,27
"582",1767,"col","Lower Greensand",-1.15,50.65,"RED-Greensand",NA,"",10,"Aptian","",125,113,47,"gp_mid",25.06,40.77,"315",119,"aptian",155,24.5379,38.7172,27
"583",1768,"col","Lower Greensand",-1.17,50.63,"SHacs-Greensand",NA,"",2,"Aptian","",125,113,47,"gp_mid",25.04,40.76,"315",119,"aptian",156,24.5379,38.7172,27
"584",1769,"col","Lower Greensand",-1.17,50.63,"SHfs-Greensand",NA,"",46,"Aptian","",125,113,47,"gp_mid",25.04,40.76,"315",119,"aptian",156,24.5379,38.7172,27
"585",1770,"col","Lower Greensand",-1.17,50.63,"SHsan-Greensand",NA,"",2,"Aptian","",125,113,47,"gp_mid",25.04,40.76,"315",119,"aptian",156,24.5379,38.7172,27
