"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"687",1858,"col","Barranquín",-63.546944,8.964167,"MMH locality Su 90",NA,"Bahía de Santa Fé",12,"Barremian","",129.4,125,49,"gp_mid",-20.3,9.83,"201",127.2
"791",2067,"col","Taboulouart",-7.881111,31.208889,"JM4",NA,"",8,"Barremian","",129.4,125,57,"gp_mid",10.63,22.12,"707",127.2
"792",2068,"col","Tazought",-8.966667,31.15,"INT1",NA,"",4,"Barremian","",129.4,125,57,"gp_mid",9.81,22.65,"707",127.2
"808",2083,"col","",19.65,50.466667,"Tomaszow4",NA,"",10,"Barremian","",129.4,125,59,"gp_mid",40.65,36.53,"305",127.2
"824",2115,"col","",40.259724,43.30389,"Gagra 4",NA,"",15,"Barremian","",129.4,125,62,"gp_mid",57.86,30.09,"511",127.2
"859",2162,"col","Cupido",-102.083336,26.983334,"32-Coahuila",NA,"",1,"Barremian","",129.4,125,65,"gp_mid",-42.69,28.55,"101",127.2
"878",2195,"col","",6.583333,47.049999,"BMm-Jura",NA,"",43,"Barremian","",129.4,125,66,"gp_mid",30.01,33.42,"305",127.2
"879",2196,"col","",6.75,47.066666,"BMl-Jura",NA,"",23,"Barremian","",129.4,125,66,"gp_mid",30.15,33.43,"305",127.2
"880",2197,"col","",6.933333,46,"BMn-Jura",NA,"",12,"Barremian","",129.4,125,66,"gp_mid",30.22,32.36,"305",127.2
"890",2212,"col","",6.666667,47.066666,"BMv-Jura",NA,"",32,"Barremian","",129.4,125,66,"gp_mid",30.08,33.43,"305",127.2
"905",2194,"col","",6.516667,46.833332,"BMsc-Jura",NA,"",16,"Barremian","",129.4,125,66,"gp_mid",29.94,33.21,"305",127.2
"928",2121,"col","Luckovska",21.279167,49.424999,"Butkov Quarry3(CZE)",NA,"",22,"Barremian","",129.4,125,63,"gp_mid",41.95,35.49,"305",127.2
"952",2269,"col","",-3.933611,37.551109,"La Coronilla-9.2",NA,"",8,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"953",2270,"col","",-3.933611,37.551109,"La Coronilla-10",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"954",2265,"col","",-3.933611,37.551109,"La Coronilla-5",NA,"",7,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"955",2266,"col","",-3.933611,37.551109,"La Coronilla-6",NA,"",9,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"956",2267,"col","",-3.933611,37.551109,"La Coronilla-8",NA,"",9,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"957",2268,"col","",-3.933611,37.551109,"La Coronilla-9.1",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"958",2271,"col","",-3.933611,37.551109,"La Coronilla-10",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"959",2272,"col","",-3.933611,37.551109,"La Coronilla-12",NA,"",1,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"960",2273,"col","",-3.933611,37.551109,"La Coronilla-13",NA,"",15,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"961",2274,"col","",-3.933611,37.551109,"La Coronilla-14",NA,"",11,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"962",2275,"col","",-3.933611,37.551109,"La Coronilla-15",NA,"",10,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"963",2276,"col","",-3.933611,37.551109,"La Coronilla-16",NA,"",7,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"964",2277,"col","",-3.933611,37.551109,"La Coronilla-17",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",18.38,26.08,"304",127.2
"965",2279,"col","",-2.574167,37.867222,"Cerro Trompeta-0",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"966",2280,"col","",-2.574167,37.867222,"Cerro Trompeta-1",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"967",2278,"col","",-2.574167,37.867222,"Cerro Trompeta-2",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"968",2282,"col","",-2.574167,37.867222,"Cerro Trompeta-5",NA,"",1,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"969",2284,"col","",-2.574167,37.867222,"Cerro Trompeta-7",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"970",2285,"col","",-2.574167,37.867222,"Cerro Trompeta-8",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"971",2286,"col","",-2.574167,37.867222,"Cerro Trompeta-9",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"972",2287,"col","Moutonianum",-2.574167,37.867222,"Cerro Trompeta-11",NA,"",1,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"973",2288,"col","",-2.574167,37.867222,"Cerro Trompeta-12",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"974",2289,"col","",-2.574167,37.867222,"Cerro Trompeta-13",NA,"",10,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"975",2290,"col","",-2.574167,37.867222,"Cerro Trompeta-14",NA,"",11,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"976",2291,"col","",-2.574167,37.867222,"Cerro Trompeta-15",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"977",2292,"col","",-2.574167,37.867222,"Cerro Trompeta-16",NA,"",15,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
"978",2293,"col","",-2.574167,37.867222,"Cerro Trompeta-17",NA,"",8,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2
