"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"1229",2558,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-5",NA,"",12,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",164.8
"1230",2559,"col","Shuara",48.566944,14.266389,"Al Ma'abir III-6",NA,"",1,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",164.8
"1231",2560,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-7",NA,"",7,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",164.8
"1232",2562,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-8",NA,"",20,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",164.8
"1233",2563,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-9",NA,"",3,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",164.8
"1234",2564,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-10",NA,"",1,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",164.8
"1235",2565,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-11",NA,"",2,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",164.8
"1236",2566,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-12",NA,"",11,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",164.8
"1237",2567,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-13",NA,"",24,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",164.8
"1258",2587,"col","Shuqra",48.472778,14.301667,"Jebel Billum III-1",NA,"",3,"Callovian","",166.1,163.5,74,"gp_mid",43.26,-16.49,"503",164.8
"1259",2588,"col","Shuqra",48.472778,14.301667,"Jebel Billum III-2",NA,"",2,"Callovian","",166.1,163.5,74,"gp_mid",43.26,-16.49,"503",164.8
"1260",2589,"col","Shuqra",48.472778,14.301667,"Jebel Billum III-3",NA,"",29,"Callovian","",166.1,163.5,74,"gp_mid",43.26,-16.49,"503",164.8
"1261",2590,"col","Shuqra",48.472778,14.301667,"Jebel Billum III-4",NA,"",1,"Callovian","",166.1,163.5,74,"gp_mid",43.26,-16.49,"503",164.8
"1262",2591,"col","Shuqra",48.472778,14.301667,"Jebel Billum III-5",NA,"",18,"Callovian","",166.1,163.5,74,"gp_mid",43.26,-16.49,"503",164.8
"1269",2598,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-7",NA,"",1,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",164.8
"1270",2599,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-8",NA,"",7,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",164.8
"1271",2600,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-9",NA,"",20,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",164.8
