"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"3003",121781,"col","Trold Fiord",-83.416664,79.5,"GSC C-4004, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",9.12,45.54,"106",1,262.5,"capitanian"
"3025",121778,"col","Trold Fiord",-82.916664,79.866669,"GSC C-3995, Mount Bridgman, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",9.56,45.76,"106",1,262.5,"capitanian"
"3032",121819,"col","Degerbols",-86.166664,77.599998,"GSC C-47947, Bjorne Peninsula, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",6.74,44.5,"106",1,262.5,"capitanian"
"3035",121809,"col","Degerbols",-83.330002,81.050003,"GSC C-4095, Krieger Mountains, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",10.63,46.68,"106",1,262.5,"capitanian"
"3042",121803,"col","van Hauen",-85.629997,78.419998,"GSC C-4074, Blind Fiord, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",7.64,45.02,"106",1,262.5,"capitanian"
"3050",121797,"col","van Hauen",-85.959999,78.32,"GSC C-4068, Blind Fiord, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",7.48,45,"106",1,262.5,"capitanian"
"3051",121798,"col","van Hauen",-85.959999,78.32,"GSC C-4069, Blind Fiord, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",7.48,45,"106",1,262.5,"capitanian"
"3052",121799,"col","van Hauen",-85.959999,78.32,"GSC C-4070, Blind Fiord, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",7.48,45,"106",1,262.5,"capitanian"
"3053",121800,"col","van Hauen",-85.959999,78.32,"GSC C-4071, Blind Fiord, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",7.48,45,"106",1,262.5,"capitanian"
"3059",121787,"col","Trold Fiord",-81.75,80.083336,"GSC C-4020, Oesle Fjord, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",9.99,45.79,"106",1,262.5,"capitanian"
"3060",121788,"col","Trold Fiord",-81.75,80.083336,"GSC C-4021, Oesle Fjord, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",9.99,45.79,"106",1,262.5,"capitanian"
"3064",121792,"col","Trold Fiord",-81.75,80.083336,"GSC C-4026, Oesle Fjord, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",9.99,45.79,"106",1,262.5,"capitanian"
"3069",121773,"col","Degerbols",-87.610001,77.364998,"GSC 57720, Great Bear Cape, Bjorne Peninsula, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",6.2,44.54,"106",1,262.5,"capitanian"
"3071",121776,"col","Trold Fiord",-79.900002,81.900002,"GSC C-1886, Yelverton Pass, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",12.01,46.98,"106",1,262.5,"capitanian"
"3072",121777,"col","Degerbols",-82.916664,79.866669,"GSC C-3993, Mount Bridgman, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",9.56,45.76,"106",1,262.5,"capitanian"
"3076",121782,"col","Trold Fiord",-81.75,80.083336,"GSC C-4014, Oesle Fjord, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",9.99,45.79,"106",1,262.5,"capitanian"
"3077",121783,"col","Trold Fiord",-81.75,80.083336,"GSC C-4015, Oesle Fjord, Ellesmere Island",NA,"",1,"Capitanian","",265.1,259.9,29759,"gp_mid",9.99,45.79,"106",1,262.5,"capitanian"
"3131",10698,"col","Lengwu",119.650002,29.799999,"Tonglu, China",NA,"Reef 3068",31,"Capitanian","",265.1,259.9,3972,"gp_mid",119.33,-9.35,"611",1,262.5,"capitanian"
"4069",124219,"col","Chandalaz",132.350006,43.384998,"Maykhe river, 2 km above Kungasnogo village",NA,"",1,"Capitanian","",265.1,259.9,39987,"gp_mid",139.91,22.74,"628",1,262.5,"capitanian"
"4405",24203,"col","Capitan",-104.356003,32.188999,"Chinaberry Draw",NA,"Reef 86",46,"Capitanian","",265.1,259.9,6842,"gp_mid",-29.89,10.67,"101",1,262.5,"capitanian"
"4406",107698,"col","Capitan",-104.445,32.167999,"Hackberry Draw",NA,"Reef 86",24,"Capitanian","",265.1,259.9,6842,"gp_mid",-29.97,10.69,"101",1,262.5,"capitanian"
"4488",24882,"col","Flowerpot",-98.533333,36.299999,"Flowerpot Fm. Blaine Beckham Greer Kiowa Major Woods Woodward Oklahoma",NA,"",62,"Capitanian","",265.1,259.9,6974,"gp_mid",-23.65,12.28,"101",1,262.5,"capitanian"
"9664",39496,"col","Plympton",-114.833336,40.5,"Spruce Mountain SM-(-75)",NA,"",4,"Capitanian","",265.1,259.9,10679,"gp_mid",-33.3,22.04,"101",1,262.5,"capitanian"
"9665",39497,"col","Plympton",-114.833336,40.5,"Spruce Mountain SM-(-25)",NA,"",1,"Capitanian","",265.1,259.9,10679,"gp_mid",-33.3,22.04,"101",1,262.5,"capitanian"
"9717",39549,"col","Plympton",-113.833336,40.083332,"""Gerster Gulch"", Deep Creek Range GH-14",NA,"",6,"Capitanian","",265.1,259.9,10679,"gp_mid",-32.84,21.28,"101",1,262.5,"capitanian"
"9884",39764,"col","Plympton",-115.166664,40.25,"Medicine Range MR-(-150)",NA,"",7,"Capitanian","",265.1,259.9,10679,"gp_mid",-33.68,21.96,"101",1,262.5,"capitanian"
"10215",40413,"col","Bera",102.635002,3.125,"Sungai Bera (BF2), Assemblage A",NA,"",10,"Capitanian","",265.1,259.9,10906,"gp_mid",107.18,-30.33,"619",1,262.5,"capitanian"
"10216",40414,"col","Bera",102.635002,3.125,"Sungai Bera (BF2), Assemblage C",NA,"",7,"Capitanian","",265.1,259.9,10906,"gp_mid",107.18,-30.33,"619",1,262.5,"capitanian"
"10217",40415,"col","Bera",102.635002,3.125,"Sungai Bera (BF2), Assemblage B",NA,"",4,"Capitanian","",265.1,259.9,10906,"gp_mid",107.18,-30.33,"619",1,262.5,"capitanian"
"10490",40944,"col","Sisophon",102.936996,13.591,"Phnom Bak, Sisophon",NA,"",2,"Capitanian","",265.1,259.9,28155,"gp_mid",111.65,-31.12,"615",1,262.5,"capitanian"
"10495",40947,"col","Sisophon",102.964996,13.595,"Phnom Tup, Sisophon",NA,"",4,"Capitanian","",265.1,259.9,28155,"gp_mid",111.67,-31.1,"615",1,262.5,"capitanian"
"10883",41656,"col","Djebel Tebaga",10.183333,33.366669,"Locality B4, Djebel Tebaga Biohermal Complex, Kef en Nsoura, Djebel Tebaga",NA,"Reef 200",5,"Capitanian","",265.1,259.9,11153,"gp_mid",21.24,-0.61,"715",1,262.5,"capitanian"
"10886",41659,"col","Djebel Tebaga",10.183333,33.366669,"Locality B22, Djebel Tebaga Biohermal Complex, Kef en Nsoura, Djebel Tebaga",NA,"Reef 200",8,"Capitanian","",265.1,259.9,11153,"gp_mid",21.24,-0.61,"715",1,262.5,"capitanian"
"10887",41660,"col","Djebel Tebaga",10.173,33.411999,"Locality B23, Kef en Nsouri, Djebel Tebaga",NA,"Reef 200",2,"Capitanian","",265.1,259.9,11153,"gp_mid",21.26,-0.57,"715",1,262.5,"capitanian"
"10888",41661,"col","Djebel Tebaga",10.173,33.411999,"Locality B24, Kef en Nsouri, Djebel Tebaga",NA,"Reef 200",11,"Capitanian","",265.1,259.9,11153,"gp_mid",21.26,-0.57,"715",1,262.5,"capitanian"
"10889",41662,"col","Djebel Tebaga",10.173,33.409,"Locality B25, Kef en Nsouri, Djebel Tebaga",NA,"Reef 200",3,"Capitanian","",265.1,259.9,11153,"gp_mid",21.26,-0.57,"715",1,262.5,"capitanian"
"10890",41663,"col","Djebel Tebaga",10.173,33.41,"Newell 1973 spot locality 25A, Kef en Nsoura, Djebel Tebaga",NA,"",2,"Capitanian","",265.1,259.9,11156,"gp_mid",21.26,-0.57,"715",1,262.5,"capitanian"
"10952",41770,"col","Marble Unit",173.796005,-35.000999,"GS5074, Marble Bay, Northland",NA,"",3,"Capitanian","",265.1,259.9,11176,"gp_mid",-167.19,-77.99,"806",1,262.5,"capitanian"
