"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"176",1368,"col","",11.85,-4.82,"La Loya rocks",NA,"",12,"Coniacian","",89.8,86.3,64760,"gp_mid",8.57,-16.75,"701",88.05,"coniacian",100,4.9589,-15.3088,23
"1713",3730,"col","",4.17,45.43,"Highway A10, France",NA,"",1,"Coniacian","",89.8,86.3,238,"gp_mid",16.27,37.46,"305",88.05,"coniacian",501,7.848,39.5527,23
"1716",3735,"col","Craie de Villedieu",0.37,45,"Calcaire dur de la Ribochere, France",NA,"",20,"Coniacian","",89.8,86.3,239,"gp_mid",12.87,37.26,"305",88.05,"coniacian",504,4.428,39.3201,23
"1722",3744,"col","",4.17,45.43,"Highway A10, France",NA,"",6,"Coniacian","",89.8,86.3,241,"gp_mid",16.27,37.46,"305",88.05,"coniacian",501,7.848,39.5527,23
"1736",3775,"col","",4.17,45.43,"Highway A10, France",NA,"",1,"Coniacian","",89.8,86.3,247,"gp_mid",16.27,37.46,"305",88.05,"coniacian",501,7.848,39.5527,23
"1740",3779,"col","",4.17,45.43,"Highway A10, France",NA,"",2,"Coniacian","",89.8,86.3,248,"gp_mid",16.27,37.46,"305",88.05,"coniacian",501,7.848,39.5527,23
"1743",3785,"col","",4.17,45.43,"Highway A10, France",NA,"",6,"Coniacian","",89.8,86.3,249,"gp_mid",16.27,37.46,"305",88.05,"coniacian",501,7.848,39.5527,23
"1761",3811,"col","",3.4,6.45,"coastal west Africa, Nigeria",NA,"",5,"Coniacian","",89.8,86.3,254,"gp_mid",3.88,-3.44,"714",88.05,"coniacian",510,0.1606,-1.5307,23
"1769",3819,"col","",9.45,0.38,"coastal west Africa, Gabon",NA,"",6,"Coniacian","",89.8,86.3,254,"gp_mid",7.81,-11.07,"701",88.05,"coniacian",513,5.9751,-10.4079,23
"1772",3822,"col","",12.4,-6.02,"coastal west Africa, Zaire",NA,"",8,"Coniacian","",89.8,86.3,254,"gp_mid",8.75,-18.05,"701",88.05,"coniacian",515,4.9589,-15.3088,23
"1789",3887,"col","Redding",-122.1,40.74,"UCLA 5990, French Creek",NA,"",1,"Coniacian","",89.8,86.3,261,"gp_mid",-82.62,50.92,"101",88.05,"coniacian",521,-89.9909,41.5616,23
"11355",74581,"col","Sant Corneli",0.83,42.03,"Sierra de Montsech, Clot d'Olsi-Alsamora section, unit 5, Pyrenees",NA,"Reef 1183",8,"Coniacian","",89.8,86.3,25067,"gp_mid",13.44,32.95,"304",88.05,"coniacian",2063,4.8795,35.6909,23
"12922",82244,"col","Niobrara",-104.62,36.04,"USGS D12526, Section 10 [Smoky Hill Shale Mbr, Niobrara Fm]",NA,"",1,"Coniacian","",89.8,86.3,27708,"gp_mid",-64.56,43.21,"101",88.05,"coniacian",2418,-72.3427,37.3314,23
"17877",32137,"col","Henefer",-104.66,38.85,"KJ9619 (DMNH 1284)",NA,"Gunther's Henefer",0,"Coniacian","",89.8,86.3,8535,"gp_mid",-63.61,45.94,"101",88.05,"coniacian",3608,-71.1284,42.2437,23
"20316",35103,"col","Brezno",13.8,50.33,"Brezno, Czechia",NA,"Priesen, in the near of Louny",1,"Coniacian","",89.8,86.3,9216,"gp_mid",25.09,41.89,"305",88.05,"coniacian",4068,17.3525,45.3412,23
"22796",38597,"col","Lewes Nodular Chalk",-3.1,50.7,"Lewes Nodular Chalk-Beer Head 2",NA,"",3,"Coniacian","",89.8,86.3,10260,"gp_mid",10.61,43.17,"315",88.05,"coniacian",4723,0.4956,44.0949,23
"22801",38609,"col","Lewes Nodular Chalk",-2.97,50.75,"Lewes Nodular Chalk-Chapel Rock 2",NA,"",1,"Coniacian","",89.8,86.3,10260,"gp_mid",10.73,43.21,"315",88.05,"coniacian",4725,0.4956,44.0949,23
