"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"4924",13003,"col","Chañares",-67.82,-29.83,"Los Chanares locality",NA,"",4,"Ladinian","",242,237,4303,"gp_mid",-27.02,-33.79,"291",239.5,"ladinian",1489,-33.9335,-49.9808,46
"4925",105534,"col","Chañares",-67.77,-29.88,"Agua Escondida",NA,"",1,"Ladinian","",242,237,35260,"gp_mid",-26.97,-33.84,"291",239.5,"ladinian",1490,-33.9335,-49.9808,46
"5040",13271,"col","Chañares",-67.82,-29.82,"Chañares River, 4 km north",26092,"",4,"Ladinian","",242,237,17343,"gp_mid",-27.03,-33.78,"291",239.5,"ladinian",1531,-33.9335,-49.9808,46
"5041",60293,"col","Chañares",-67.82,-29.83,"Chañares River, 2 km north",26092,"",4,"Ladinian","",242,237,17343,"gp_mid",-27.03,-33.79,"291",239.5,"ladinian",1489,-33.9335,-49.9808,46
"11182",20659,"col","Mt. Facito",15.65,40.48,"Mt. Facito, Appeninnes, Reef",NA,"Reef 176",50,"Ladinian","",242,237,6335,"gp_mid",31.2,11.12,"307",239.5,"ladinian",2038,15.4785,8.0127,46
"11187",20667,"col","Mt. Facito",15.65,40.48,"Mt. Facito, Marls, Appeninnes",NA,"",19,"Ladinian","",242,237,6335,"gp_mid",31.2,11.12,"307",239.5,"ladinian",2038,15.4785,8.0127,46
"12424",23243,"col","Erfurt",11.6,50.03,"Bayreuth, Bavaria, Germany",NA,"Reef 3163",5,"Ladinian","",242,237,6681,"gp_mid",29.13,29.98,"305",239.5,"ladinian",2310,17.4803,27.7242,46
"12623",23867,"col","Wetterstein Limestone",20,48,"Silicka",NA,"",106,"Ladinian","",242,237,13310,"gp_mid",39.39,12.51,"308",239.5,"ladinian",2343,23.4856,29.4151,46
"13088",24669,"col","",18.3,46.6,"Mecsek Mountains (2)",NA,"",16,"Ladinian","",242,237,6929,"gp_mid",37.54,12.73,"308",239.5,"ladinian",2462,23.4856,29.4151,46
"13107",24693,"col","",11.7,46.5,"Val Gardena",NA,"",5,"Ladinian","",242,237,6939,"gp_mid",35.1,16.6,"307",239.5,"ladinian",2468,19.3809,25.8877,46
"13108",24697,"col","",11.6,46.5,"Alpe Di Siusi",NA,"",7,"Ladinian","",242,237,6938,"gp_mid",35.06,16.66,"307",239.5,"ladinian",2469,19.3809,25.8877,46
"13109",24698,"col","",11.7,46.5,"Val Gardena",NA,"",8,"Ladinian","",242,237,6938,"gp_mid",35.1,16.6,"307",239.5,"ladinian",2468,19.3809,25.8877,46
"13110",24699,"col","",11.9,46.6,"Val Badia",NA,"",6,"Ladinian","",242,237,6938,"gp_mid",35.26,16.53,"307",239.5,"ladinian",2470,19.3809,25.8877,46
"13111",24700,"col","",12.1,46.4,"Pelmo Zoldano",NA,"",16,"Ladinian","",242,237,6938,"gp_mid",35.14,16.31,"307",239.5,"ladinian",2471,19.3809,25.8877,46
"13167",24814,"col","",9,48.5,"Baden-Wurttemberg",NA,"",18,"Ladinian","",242,237,6929,"gp_mid",27.72,28.06,"305",239.5,"ladinian",2492,17.2823,24.2134,46
"13168",24817,"col","",11.9,50.1,"Franken",NA,"",23,"Ladinian","",242,237,6929,"gp_mid",29.33,30.1,"305",239.5,"ladinian",2493,17.4803,27.7242,46
"13169",24819,"col","",10.8,50.7,"Sud Thuringen",NA,"",15,"Ladinian","",242,237,6929,"gp_mid",28.36,30.49,"305",239.5,"ladinian",2494,17.4803,27.7242,46
"13170",24820,"col","",10.4,51.2,"Thuringer Senke",NA,"",41,"Ladinian","",242,237,6929,"gp_mid",27.92,30.9,"315",239.5,"ladinian",2495,17.4803,27.7242,46
"13171",24821,"col","",10.6,52.2,"Subherzynische Senke",NA,"",16,"Ladinian","",242,237,6929,"gp_mid",27.75,31.9,"315",239.5,"ladinian",2496,15.5424,29.5434,46
"13455",25401,"col","Tianjingshan",105.67,32.42,"Guangyuan, Sichuan, China",NA,"",27,"Ladinian","",242,237,7116,"gp_mid",109.13,-0.67,"611",239.5,"ladinian",2578,NA,NA,46
"13670",26092,"col","Chañares",-67.78,-29.85,"Chañares Tetrapod Assemblage",NA,"ETE Locality 1586, Los Chañares",16,"Ladinian","",242,237,7234,"gp_mid",-26.98,-33.81,"291",239.5,"ladinian",2633,-33.9335,-49.9808,46
"14096",36694,"col","",73.33,37.58,"Kattamardzhanay reef, Tajikistan",NA,"Reef 22",9,"Ladinian","",242,237,9785,"gp_mid",85.51,40.46,"601",239.5,"ladinian",2746,84.1979,32.0491,46
"15468",29620,"col","Youfangzhuang",112.3,35.2,"Jiyuan",NA,"PGAP 2179",11,"Ladinian","",242,237,8307,"gp_mid",118.01,13.64,"604",239.5,"ladinian",3004,120.8192,44.7424,46
"15605",29757,"col","Tongchuan",106.9,39.7,"Zuozhishan",NA,"PGAP 2203",4,"Ladinian","",242,237,525,"gp_mid",118,19.86,"604",239.5,"ladinian",3013,120.2267,50.5937,46
"15773",29925,"col","",112.3,39,"Ning Wu",NA,"PGAP 2229",3,"Ladinian","",242,237,8311,"gp_mid",120.65,16.46,"604",239.5,"ladinian",3068,124.0327,49.1,46
"15787",29939,"col","Tongchuan",109.2,35.2,"Tongchuan",NA,"PGAP 2190",15,"Ladinian","",242,237,8311,"gp_mid",116.08,15.36,"604",239.5,"ladinian",3076,116.4979,46.2473,46
"15828",29980,"col","Houfulongshan",120.8,41,"Nanpiao",NA,"PGAP 2200",4,"Ladinian","",242,237,8315,"gp_mid",127.11,13.73,"604",239.5,"ladinian",3094,131.6501,46.4039,46
"16058",30210,"col","",131.2,34.2,"Nagato Mountainland",NA,"PGAP 2279",25,"Ladinian","",242,237,8135,"gp_mid",132.59,8.24,"610",239.5,"ladinian",3169,143.5911,29.6646,46
"16299",30455,"col","Kuroshasaisbaya Suite",53.7,51.7,"Ilek",NA,"PGAP 2297",28,"Ladinian","",242,237,8169,"gp_mid",58.13,42.23,"302",239.5,"ladinian",3222,34.8611,49.5153,46
"16662",30820,"col","Gurimisskaya Suite",112.8,73.6,"Gurimisskaya",NA,"PGAP 2022",5,"Ladinian","",242,237,7953,"gp_mid",46.44,74.15,"401",239.5,"ladinian",3363,-15.8744,68.801,46
"17210",31431,"col","",34.83,31.67,"Israel Zuk Tamrur boreholes Middle Triassic limestone 1631m",NA,"",12,"Ladinian","",242,237,8492,"gp_mid",39.45,-0.94,"508",239.5,"ladinian",3488,NA,NA,46
"17211",31432,"col","Saharonim",34.83,31.67,"Israel Zuk Tamrur boreholes Middle Triassic limestone 1650m",NA,"",11,"Ladinian","",242,237,8492,"gp_mid",39.45,-0.94,"508",239.5,"ladinian",3488,NA,NA,46
"17213",31434,"col","Saharonim",34.83,31.67,"Israel Zuk Tamrur boreholes Middle Triassic limestone 1673m",NA,"",12,"Ladinian","",242,237,8492,"gp_mid",39.45,-0.94,"508",239.5,"ladinian",3488,NA,NA,46
"17217",31438,"col","Saharonim",34.83,31.67,"Israel Zuk Tamrur boreholes Middle Triassic limestone 1693m",NA,"",12,"Ladinian","",242,237,8492,"gp_mid",39.45,-0.94,"508",239.5,"ladinian",3488,NA,NA,46
"17218",31439,"col","Saharonim",34.83,31.67,"Israel Zuk Tamrur boreholes Middle Triassic limestone 1717m",NA,"",10,"Ladinian","",242,237,8492,"gp_mid",39.45,-0.94,"508",239.5,"ladinian",3488,NA,NA,46
"17219",31440,"col","Saharonim",34.83,31.67,"Israel Zuk Tamrur boreholes Middle Triassic limestone 1736m",NA,"",9,"Ladinian","",242,237,8492,"gp_mid",39.45,-0.94,"508",239.5,"ladinian",3488,NA,NA,46
"17220",31441,"col","Saharonim",34.83,31.67,"Israel Zuk Tamrur boreholes Middle Triassic limestone 1769m",NA,"",10,"Ladinian","",242,237,8492,"gp_mid",39.45,-0.94,"508",239.5,"ladinian",3488,NA,NA,46
"17261",31483,"col","Saharonim",34.7,31.6,"Israel Zohar 8 borehole Middle Triassic limestone 2050m",NA,"",12,"Ladinian","",242,237,8492,"gp_mid",39.31,-0.95,"508",239.5,"ladinian",3492,NA,NA,46
"17262",31484,"col","Saharonim",34.7,31.6,"Israel Zohar 8 borehole Middle Triassic limestone 2072m",NA,"",11,"Ladinian","",242,237,8492,"gp_mid",39.31,-0.95,"508",239.5,"ladinian",3492,NA,NA,46
"17263",31485,"col","Saharonim",34.7,31.6,"Israel Zohar 8 borehole Middle Triassic limestone 2098m",NA,"",18,"Ladinian","",242,237,8492,"gp_mid",39.31,-0.95,"508",239.5,"ladinian",3492,NA,NA,46
"17264",31486,"col","Saharonim",34.7,31.6,"Israel Zohar 8 borehole Middle Triassic limestone 2124m",NA,"",12,"Ladinian","",242,237,8492,"gp_mid",39.31,-0.95,"508",239.5,"ladinian",3492,NA,NA,46
"17302",31525,"col","Saharonim",34.58,31.67,"Israel Pleshet 1 borehole Late Triassic limestone 4346m",NA,"",5,"Ladinian","",242,237,8492,"gp_mid",39.25,-0.85,"508",239.5,"ladinian",3497,NA,NA,46
"17303",31526,"col","Saharonim",34.58,31.67,"Israel Pleshet 1 borehole Late Triassic dolomite 4392m",NA,"",17,"Ladinian","",242,237,8492,"gp_mid",39.25,-0.85,"508",239.5,"ladinian",3497,NA,NA,46
"17677",31898,"col","",34.82,30.6,"Ophiuroidea, Ladinian, Makhtesh Ramon, Negev, Israel",NA,"",1,"Ladinian","",242,237,8560,"gp_mid",38.98,-1.9,"508",239.5,"ladinian",3564,30.7115,-7.4909,46
"17774",31995,"col","Muschelkalk",11.58,51.92,"Ophiuroid, Muschelkalk, Atzendorf, Sachsen-Anhalt",NA,"",2,"Ladinian","",242,237,8572,"gp_mid",28.52,31.79,"315",239.5,"ladinian",3588,15.5424,29.5434,46
"18230",32544,"col","",133.65,45.84,"Maritime Territory, Sudzukhe River",NA,"PIN 2609/18",1,"Ladinian","",242,237,8770,"gp_mid",141.78,23.36,"628",239.5,"ladinian",3659,NA,NA,46
"18522",32922,"col","Laibuxi",90,32,"Laibuxi Formation, Xizang (Tibet)",NA,"",3,"Ladinian","",242,237,8826,"gp_mid",70.08,-32.03,"613",239.5,"ladinian",3723,97.1262,24.7871,46
"18686",33094,"col","",171.28,-43.54,"Stour River, Mt. Somers, Canterbury (K36/f6558)",NA,"",2,"Ladinian","",242,237,8845,"gp_mid",21.99,-89.27,"807",239.5,"ladinian",3746,143.4253,-77.1044,46
"19021",33438,"col","Augusta",-117.48,39.61,"New Pass Mine, Austin, Central Nevada",NA,"",3,"Ladinian","",242,237,8877,"gp_mid",-38.97,23.27,"101",239.5,"ladinian",3806,-49.0706,12.3423,46
"21067",36274,"col","Santa Maria",-52.78,-29.8,"Sanga no. 3, south of Candelaria",NA,"Bom Retiro",2,"Ladinian","",242,237,9747,"gp_mid",-11.64,-35.33,"201",239.5,"ladinian",4186,-14.582,-49.0435,46
"21301",36534,"col","",15.23,46.23,"Celje reef, Slovenia",NA,"Reef 18",4,"Ladinian","",242,237,9773,"gp_mid",36.09,14.34,"307",239.5,"ladinian",4285,17.4605,12.6171,46
"21378",36636,"col","Wetterstein Limestone",20.58,48.58,"K. Zakazane, Silica Plateau, Slovakia",34882,"Reef 170",4,"Ladinian","",242,237,9813,"gp_mid",40.1,12.5,"308",239.5,"ladinian",4306,23.4856,29.4151,46
"21379",36637,"col","Wetterstein Limestone",20.53,48.62,"Jovice, Silica Plateau, Slovakia",34882,"Reef 170",3,"Ladinian","",242,237,9813,"gp_mid",40.11,12.55,"308",239.5,"ladinian",4307,23.4856,29.4151,46
"21380",36638,"col","Wetterstein Limestone",20.62,48.62,"Lipovnicky salas, Silica Plateau, Slovakia",34882,"Reef 170",1,"Ladinian","",242,237,9813,"gp_mid",40.15,12.5,"308",239.5,"ladinian",4308,23.4856,29.4151,46
"21381",36639,"col","Wetterstein Limestone",17.33,48.5,"Vajarska quarry, Slovakia",NA,"Reef 171",4,"Ladinian","",242,237,9813,"gp_mid",38.85,14.28,"308",239.5,"ladinian",4309,23.4856,29.4151,46
"21382",36640,"col","Wetterstein Limestone",17.3,48.52,"Plavecky Mikulas, Slovakia",NA,"Reef 171",2,"Ladinian","",242,237,9813,"gp_mid",38.85,14.31,"308",239.5,"ladinian",4310,23.4856,29.4151,46
"21383",36641,"col","Wetterstein Limestone",17.3,48.52,"Slatina-Bebravou, Slovakia",NA,"Reef 3310",4,"Ladinian","",242,237,9813,"gp_mid",38.85,14.31,"308",239.5,"ladinian",4310,23.4856,29.4151,46
"21384",36642,"col","Wetterstein Limestone",18.48,49,"Predhorie, Slovakia",NA,"Reef 3310",6,"Ladinian","",242,237,9813,"gp_mid",39.7,13.89,"308",239.5,"ladinian",4311,21.3872,31.1375,46
"21385",36643,"col","Wetterstein Limestone",18.3,48.85,"Sipkov, Slovakia",NA,"Reef 3310",2,"Ladinian","",242,237,9813,"gp_mid",39.5,13.92,"308",239.5,"ladinian",4312,21.3872,31.1375,46
"21386",36644,"col","Wetterstein Limestone",18.22,48.9,"Omsenie, Zihlavnik, Slovakia",NA,"Reef 3310",1,"Ladinian","",242,237,9813,"gp_mid",39.52,13.99,"308",239.5,"ladinian",4313,21.3872,31.1375,46
"21387",36645,"col","Wetterstein Limestone",20.42,48.58,"Stit, Plesivec Plateau, Slovakia",NA,"Reef 170",8,"Ladinian","",242,237,9813,"gp_mid",40.04,12.6,"308",239.5,"ladinian",4314,23.4856,29.4151,46
"21388",36646,"col","Wetterstein Limestone",20.38,48.53,"Mala Ladnica, Plesivec Plateau, Slovakia",NA,"Reef 170",1,"Ladinian","",242,237,9813,"gp_mid",39.99,12.59,"308",239.5,"ladinian",4315,23.4856,29.4151,46
"21389",36647,"col","Wetterstein Limestone",20.45,48.57,"Gombasek quarry, Plesivec Plateau, Slovakia",NA,"Reef 170",2,"Ladinian","",242,237,9813,"gp_mid",40.04,12.57,"308",239.5,"ladinian",4316,23.4856,29.4151,46
"21390",36648,"col","Raminger Limestone",19.25,48.95,"Liptovska Osada, Slovakia",NA,"Reef 3311",8,"Ladinian","",242,237,9813,"gp_mid",39.93,13.44,"308",239.5,"ladinian",4317,21.3872,31.1375,46
"21391",36649,"col","Raminger Limestone",19.07,48.73,"Tajov-Na Banocke, Slovakia",NA,"Reef 3311",1,"Ladinian","",242,237,9813,"gp_mid",39.68,13.43,"308",239.5,"ladinian",4318,23.4856,29.4151,46
"21392",36650,"col","Raminger Limestone",19.17,48.75,"Sasova-Nemce, Slovakia",NA,"Reef 3311",1,"Ladinian","",242,237,9813,"gp_mid",39.73,13.38,"308",239.5,"ladinian",4319,21.3872,31.1375,46
"21393",36651,"col","Raminger Limestone",19.32,49.07,"Martincek quarry, Slovakia",NA,"Reef 3311",3,"Ladinian","",242,237,9813,"gp_mid",40.06,13.47,"308",239.5,"ladinian",4320,21.3872,31.1375,46
"21394",36652,"col","Raminger Limestone",19.57,49.22,"Huty, Biela Skala Slovakia",NA,"Reef 3311",4,"Ladinian","",242,237,9813,"gp_mid",35.12,30.73,"305",239.5,"ladinian",4321,21.3872,31.1375,46
"21395",36653,"col","Raminger Limestone",18.28,48.9,"Dolna Poruba, Slovakia",NA,"Reef 3310",2,"Ladinian","",242,237,9813,"gp_mid",39.54,13.95,"308",239.5,"ladinian",4322,21.3872,31.1375,46
"21396",36654,"col","Raminger Limestone",18.32,48.6,"Krasno-Brodzany, Slovakia",NA,"",1,"Ladinian","",242,237,9813,"gp_mid",39.29,13.78,"308",239.5,"ladinian",4323,23.4856,29.4151,46
"21397",36655,"col","Raminger Dolomite",18.33,48.67,"Poludnove skaly, Rozsutec, Slovakia",NA,"",2,"Ladinian","",242,237,9813,"gp_mid",39.35,13.8,"308",239.5,"ladinian",4324,23.4856,29.4151,46
"21398",36656,"col","",18.32,49.12,"Puchov station quarry, Slovakia",NA,"Reef 3310",5,"Ladinian","",242,237,9813,"gp_mid",34.26,30.38,"305",239.5,"ladinian",4325,21.3872,31.1375,46
"21399",36657,"col","",18.32,49.12,"Puchov creamery quarry, Slovakia",NA,"Reef 3310",2,"Ladinian","",242,237,9813,"gp_mid",34.26,30.38,"305",239.5,"ladinian",4325,21.3872,31.1375,46
"21400",36658,"col","",19.22,48.88,"Donovaly quarry, Slovakia",NA,"Reef 3311",6,"Ladinian","",242,237,9813,"gp_mid",39.86,13.42,"308",239.5,"ladinian",4326,21.3872,31.1375,46
"22488",38140,"col","Wettersteinkalk",11.38,47.4,"Karwendel reef, Austria",NA,"",26,"Ladinian","",242,237,10245,"gp_mid",35.82,17.21,"307",239.5,"ladinian",4667,19.3809,25.8877,46
"23688",39832,"col","",133.42,33.53,"Ino Area, Zohoin Group, Shikoku",NA,"",2,"Ladinian","",242,237,10664,"gp_mid",133.94,6.81,"610",239.5,"ladinian",4942,147.7438,28.0101,46
"23895",40174,"col","",131.17,34.17,"Mine Area, Atsu Group, Honshu",NA,"",5,"Ladinian","",242,237,10664,"gp_mid",132.55,8.22,"610",239.5,"ladinian",5004,143.5911,29.6646,46
"24032",40338,"col","Rifu",140.97,38.32,"Rifu Area, Rifu Formation, Honshu",NA,"",3,"Ladinian","",242,237,10664,"gp_mid",141.56,8.62,"610",239.5,"ladinian",5055,152.4011,38.032,46
"24086",40470,"col","",133.27,33.5,"Sakawa Area, Zohoin Group, Shikoku",NA,"",11,"Ladinian","",242,237,10664,"gp_mid",133.81,6.84,"610",239.5,"ladinian",5070,147.7438,28.0101,46
"24093",40477,"col","",134.33,33.75,"Sakuradani Area, Zohoin Group, Shikoku",NA,"",2,"Ladinian","",242,237,10664,"gp_mid",134.73,6.67,"610",239.5,"ladinian",5074,147.0276,30.4307,46
"24989",41679,"col","",69.12,33.73,"Altimour, Paktia Province, Locality 424",NA,"",5,"Ladinian","",242,237,11162,"gp_mid",74.13,-16.45,"506",239.5,"ladinian",5348,72.9677,-14.1557,46
"24991",41681,"col","",69,34,"Altimour, Paktia Province, Locality 229",NA,"",1,"Ladinian","",242,237,11162,"gp_mid",74.21,-16.18,"506",239.5,"ladinian",5349,64.6284,47.4666,46
"25006",41696,"col","Sa'haronim",34.82,30.6,"Makhtesh Ramon, USGS Mesozoic loc. 29186 (= collection 11)",NA,"",4,"Ladinian","",242,237,11163,"gp_mid",38.98,-1.9,"508",239.5,"ladinian",3564,30.7115,-7.4909,46
"25007",41697,"col","Sa'haronim",34.82,30.6,"Makhtesh Ramon, USGS Mesozoic loc. 29187 (= collection 12)",NA,"",5,"Ladinian","",242,237,11163,"gp_mid",38.98,-1.9,"508",239.5,"ladinian",3564,30.7115,-7.4909,46
"25008",41698,"col","Sa'haronim",34.82,30.6,"Makhtesh Ramon, USGS Mesozoic loc. 29188 (= collection 13)",NA,"",5,"Ladinian","",242,237,11163,"gp_mid",38.98,-1.9,"508",239.5,"ladinian",3564,30.7115,-7.4909,46
"25009",41699,"col","Sa'haronim",34.82,30.6,"Makhtesh Ramon, USGS Mesozoic loc. 29189 (= collection 14)",NA,"",1,"Ladinian","",242,237,11163,"gp_mid",38.98,-1.9,"508",239.5,"ladinian",3564,30.7115,-7.4909,46
"25010",41700,"col","Sa'haronim",34.82,30.6,"Makhtesh Ramon, USGS Mesozoic loc. 29190 (= collection 15)",NA,"",6,"Ladinian","",242,237,11163,"gp_mid",38.98,-1.9,"508",239.5,"ladinian",3564,30.7115,-7.4909,46
"25018",41733,"col","",6.6,49.05,"Faulquemont, NE France, USGS Mesozoic loc. 29203 (= collection 20)",NA,"",1,"Ladinian","",242,237,11163,"gp_mid",25.82,28.21,"315",239.5,"ladinian",5353,15.4142,26.1169,46
"25081",41807,"col","",9.8,36.89,"Chouigui section 1",NA,"",2,"Ladinian","",242,237,11184,"gp_mid",24.18,13.98,"714",239.5,"ladinian",5395,14.1613,6.0356,46
"25234",41967,"col","",9.8,36.89,"Jebel Baouala section 1",NA,"",1,"Ladinian","",242,237,11184,"gp_mid",24.18,13.98,"714",239.5,"ladinian",5395,14.1613,6.0356,46
"25347",42084,"col","Bechateur",9.87,37.27,"Tellian bed 1",NA,"",1,"Ladinian","",242,237,11184,"gp_mid",24.44,14.28,"714",239.5,"ladinian",5463,14.1613,6.0356,46
"25508",42258,"col","Wetterstein Limestone",20.5,47.97,"Bükk Mountains",NA,"Reef 174",57,"Ladinian","",242,237,11253,"gp_mid",39.55,12.21,"308",239.5,"ladinian",5518,23.4856,29.4151,46
"26664",43800,"col","Blaa Mountain",-88.4,80.73,"GSC 28442, Svartefjeld Peninsula, Ellesmere Island",NA,"",2,"Ladinian","",242,237,11541,"gp_mid",1.31,55.39,"106",239.5,"ladinian",5889,-17.4466,44.5678,46
"26684",43820,"col","",-111.42,58.97,"Ladinian Peace River",NA,"",0,"Ladinian","",242,237,11546,"gp_mid",-26.31,39.86,"101",239.5,"ladinian",5893,-38.0966,29.7141,46
"26687",43823,"col","Grey Beds",-130.42,54.75,"Pardonet/Brown Hill - Ladinian",NA,"",1,"Ladinian","",242,237,11546,"gp_mid",-53.34,34.18,"127",239.5,"ladinian",5895,-87.5335,8.8885,46
"26692",43828,"col","Toad",-121.77,58.27,"Graham - Ladinian",NA,"",1,"Ladinian","",242,237,11546,"gp_mid",-33.14,41.49,"101",239.5,"ladinian",5899,-43.37,29.195,46
"26703",43839,"col","Liard",-121.32,61.82,"Liard/Toad River - Ladinian",NA,"",1,"Ladinian","",242,237,11546,"gp_mid",-30.61,44.53,"101",239.5,"ladinian",5903,-40.5413,33.574,46
"26722",43858,"col","Liard",-124.33,58.65,"North Tetsa River (GSC 36420)",NA,"",2,"Ladinian","",242,237,11541,"gp_mid",-34.5,42.45,"101",239.5,"ladinian",5912,-45.3937,30.1789,46
"26876",44147,"col","Toad",-123.7,58.63,"South Fork of Testa River 2 (GSC 36484)",NA,"",2,"Ladinian","",242,237,11541,"gp_mid",-34.11,42.28,"101",239.5,"ladinian",5946,-45.3937,30.1789,46
"26882",44153,"col","Liard",-124.33,58.65,"North Tetsa River, 1km S of Alaska Highway Bridge BM 3356 (GSC 42297)",NA,"",2,"Ladinian","",242,237,11541,"gp_mid",-34.5,42.45,"101",239.5,"ladinian",5912,-45.3937,30.1789,46
"26884",44155,"col","Ludington",-125.33,59.08,"East face of Ewe Mountain (GSC 42316)",NA,"",1,"Ladinian","",242,237,11541,"gp_mid",-34.83,43.08,"101",239.5,"ladinian",5951,-43.9009,32.3287,46
"26887",44173,"col","",68,35,"Western Hindukush",NA,"",9,"Ladinian","",242,237,11594,"gp_mid",74.13,-14.89,"506",239.5,"ladinian",5952,64.6284,47.4666,46
"26966",44256,"col","Falang",106.69,26.35,"Sizishan KC278, Qingyan",NA,"",5,"Ladinian","",242,237,48616,"gp_mid",110.01,-6.75,"611",239.5,"ladinian",5982,119.5643,21.2753,46
"26967",44260,"col","",1.83,41.57,"La Pedrera d'en Rogent, Upper Muschelkalk, Collbato",NA,"",12,"Ladinian","",242,237,11634,"gp_mid",23.65,19.17,"304",239.5,"ladinian",5983,11.7369,12.6211,46
"26968",44261,"col","",1.83,41.57,"El Pujolet, Upper Muschelkalk, Collbato, Cataluna",NA,"",3,"Ladinian","",242,237,11634,"gp_mid",23.65,19.17,"304",239.5,"ladinian",5983,11.7369,12.6211,46
"27038",44337,"col","Dolomite",-1.48,39.87,"Upper Muschelkalk, Henarejos, Cuenca Province",NA,"",2,"Ladinian","",242,237,11655,"gp_mid",20.48,18.71,"304",239.5,"ladinian",6032,10.5534,10.4062,46
"27039",44338,"col","Dolomite",-1.07,39.2,"Upper Muschelkalk, Jalance",NA,"",1,"Ladinian","",242,237,11655,"gp_mid",20.48,17.97,"304",239.5,"ladinian",6033,10.5534,10.4062,46
