"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"4947",13063,"col","Pińczów Limestone",20.526388,50.520279,"Nowa Wies",NA,"Pinczow",4,"Langhian","",15.97,13.82,10900,"gp_mid",22.03,47.5,"305",14.895
"4955",13077,"col","Statenville",-82.71167,30.678888,"Suwannee River, GA",NA,"",1,"Langhian","",15.97,13.82,4356,"gp_mid",-76.59,32.82,"109",14.895
"5020",13192,"col","Round Mountain",-118.985001,35.386112,"CAS locality 275",NA,"",2,"Langhian","",15.97,13.82,10123,"gp_mid",-111.56,38.5,"130",14.895
"5055",60379,"col","Calvert",-76.514168,38.630554,"Plum Point, north, Zone 10",NA,"",20,"Langhian","",15.97,13.82,23697,"gp_mid",-69.4,40.29,"109",14.895
"5060",13297,"col","Temblor",-118.5,35.299999,"Sharktooth Hill",59059,"LACM 4956, CAS 725, UCMP V74021",29,"Langhian","",15.97,13.82,4416,"gp_mid",-111.06,38.41,"130",14.895
"5153",13406,"col","Zhangenbao",106.016113,37.089443,"Maerzuizigou quarry",NA,"",1,"Langhian","",15.97,13.82,41121,"gp_mid",103.87,35.62,"604",14.895
"9575",18516,"col","Calvert",-76.5,38.400002,"Chesapeake Bay (Lower Calvert)",NA,"",5,"Langhian","",15.97,13.82,3383,"gp_mid",-69.41,40.06,"109",14.895
"9628",18569,"col","Statenville",-83,30.4,"Occidental Mine",NA,"",18,"Langhian","",15.97,13.82,2610,"gp_mid",-76.91,32.56,"109",14.895
"9639",18580,"col","Choptank",-76.990013,38.397839,"Pope's Creek, Bed 16",NA,"",1,"Langhian","",15.97,13.82,55050,"gp_mid",-69.91,40.1,"109",14.895
"10654",19595,"col","Topanga",-117.629173,33.659168,"Upper Oso Dam",NA,"LACM 4464, LACM 4546, 4547, 4961",37,"Langhian","",15.97,13.82,1946,"gp_mid",-110.87,36.24,"105",14.895
"11540",21719,"col","",35.333302,-0.2167,"Fort Ternan",NA,"ETE Locality 537, Fort Ternan, ",2,"Langhian","",15.97,13.82,4811,"gp_mid",34.91,-4.64,"712",14.895
"11699",22078,"col","Maboko",34.617001,0.166,"Maboko Main Locality, Maboko Island (Bed 3)",NA,"ETE Locality 899, Quarry 1, Kiboko, Maboko Island - Bed 3",17,"Langhian","",15.97,13.82,5310,"gp_mid",34.19,-4.25,"712",14.895
"11700",22079,"col","Maboko",34.617001,0.166,"Maboko Island - Bed 5",NA,"ETE Locality 900, Maboko Island - Bed 5, ",3,"Langhian","",15.97,13.82,5308,"gp_mid",34.19,-4.25,"712",14.895
"11845",22273,"col","Tiim",35.8167,0.8417,"Kipsaramon - K089",NA,"ETE Locality 1097, Kipsaramon, Poi, Baringo, K089, Kipsaramon - K089, ",25,"Langhian","",15.97,13.82,5452,"gp_mid",35.39,-3.58,"712",14.895
"11874",22305,"col","Tiim",35.8167,0.8417,"Kipsaramon - K089A",NA,"ETE Locality 1129, Kipsaramon, Poi, Baringo, K089, Kipsaramon - K089A, ",9,"Langhian","",15.97,13.82,5571,"gp_mid",35.39,-3.58,"712",14.895
"11875",22306,"col","Tiim",35.8167,0.8417,"Kipsaramon - K089C",NA,"ETE Locality 1130, Kipsaramon, Poi, Baringo, K089, Kipsaramon - K089C, ",6,"Langhian","",15.97,13.82,5452,"gp_mid",35.39,-3.58,"712",14.895
"12344",23043,"col","",13.533333,51.450001,"Hohenleipisch (Flora A)",NA,"",11,"Langhian","",15.97,13.82,6592,"gp_mid",15.49,48.56,"305",14.895
"12349",23049,"col","",13.75,51.549999,"Kleinleipisch, Tagebau- Fundstelle 1",NA,"",55,"Langhian","",15.97,13.82,6592,"gp_mid",15.7,48.65,"305",14.895
"12351",23052,"col","",13.75,51.549999,"Kleinleipisch, Tagebau- Fundstelle 3",NA,"",56,"Langhian","",15.97,13.82,6592,"gp_mid",15.7,48.65,"305",14.895
"12357",23060,"col","",13.9,51.549999,"Klettwitz, Tagebau- Fundpunkt 5",NA,"",82,"Langhian","",15.97,13.82,6592,"gp_mid",15.84,48.65,"305",14.895
"12358",23062,"col","",13.9,51.549999,"Klettwitz, Tagebau- Fundpunkt 6",NA,"",51,"Langhian","",15.97,13.82,6592,"gp_mid",15.84,48.65,"305",14.895
"12460",23344,"col","",13.533333,51.450001,"Hohenleipisch (Flora B)",NA,"",4,"Langhian","",15.97,13.82,6592,"gp_mid",15.49,48.56,"305",14.895
"12535",100214,"col","Calvert",-76.51667,38.616669,"South of Plum Point, Zone 10",NA,"",1,"Langhian","",15.97,13.82,34382,"gp_mid",-69.4,40.28,"109",14.895
"12549",100213,"col","Calvert",-76.533333,38.650002,"Chesapeake Beach Road Cut, Zone 10",NA,"",2,"Langhian","",15.97,13.82,34382,"gp_mid",-69.41,40.31,"109",14.895
"12559",23674,"col","",14.883333,51,"Kodersdorf, Tongruben (Flora A)",NA,"",14,"Langhian","",15.97,13.82,6592,"gp_mid",16.74,48.08,"305",14.895
"12560",23676,"col","",14.883333,51,"Kodersdorf, Tongruben (Flora B)",NA,"",3,"Langhian","",15.97,13.82,6592,"gp_mid",16.74,48.08,"305",14.895
"12564",23685,"col","",13.933333,51.549999,"Meuro, Tagebau (Flora A)",NA,"",26,"Langhian","",15.97,13.82,6592,"gp_mid",15.87,48.65,"305",14.895
"12565",23686,"col","",13.933333,51.549999,"Meuro, Tagebau (Flora B)",NA,"",28,"Langhian","",15.97,13.82,6592,"gp_mid",15.87,48.65,"305",14.895
"12566",23687,"col","",13.933333,51.549999,"Meuro, Tagebau (Flora C)",NA,"",2,"Langhian","",15.97,13.82,6592,"gp_mid",15.87,48.65,"305",14.895
"12570",100212,"col","Calvert",-76.51667,38.566666,"Dares Beach, Zone 11",NA,"",1,"Langhian","",15.97,13.82,34382,"gp_mid",-69.41,40.23,"109",14.895
"13934",27276,"col","",14.6,51.433334,"Nochten-Ost 1901/69",NA,"",3,"Langhian","",15.97,13.82,6592,"gp_mid",16.49,48.52,"305",14.895
"13992",27378,"col","",13.616667,51.466667,"Plessa",NA,"",31,"Langhian","",15.97,13.82,6592,"gp_mid",15.57,48.57,"305",14.895
"14033",27517,"col","",14.416667,51.533333,"Spreetal",NA,"",9,"Langhian","",15.97,13.82,6592,"gp_mid",16.32,48.62,"305",14.895
"14034",27518,"col","",14.366667,51.549999,"Spremberg 29/57",NA,"",14,"Langhian","",15.97,13.82,6592,"gp_mid",16.28,48.64,"305",14.895
"14035",27519,"col","",14.683333,51.950001,"Tetta, Gemeinde Vierkirchen",NA,"",36,"Langhian","",15.97,13.82,6592,"gp_mid",16.59,49.03,"315",14.895
"14036",27520,"col","",14.466667,51.766666,"Tranitz",NA,"",11,"Langhian","",15.97,13.82,6592,"gp_mid",16.38,48.85,"305",14.895
"14037",27521,"col","",14.066667,51.783333,"Vetschau 2/26",NA,"",5,"Langhian","",15.97,13.82,6592,"gp_mid",16,48.88,"305",14.895
"14466",28368,"col","Calvert",-76.870834,38.170555,"Horsehead Cliffs, Zone 12-13",NA,"Westmoreland State Park\r\n",6,"Langhian","",15.97,13.82,7804,"gp_mid",-69.82,39.86,"109",14.895
"14605",28617,"col","Langhiano",14.6,36.916668,"Ragusa",NA,"",6,"Langhian","",15.97,13.82,24745,"gp_mid",NA,NA,"coordinates not computable using this model",14.895
"17096",31316,"col","",0.133333,44.049999,"Sos",NA,"Matilon",24,"Langhian","",15.97,13.82,8464,"gp_mid",2.34,41.52,"305",14.895
"17106",31326,"col","",0.083333,44.083332,"Carriere de Lapeyrie, Rimbez",NA,"Rimbez-es-Baudiets, Rimbez et Baudiets",24,"Langhian","",15.97,13.82,8464,"gp_mid",2.3,41.55,"305",14.895
"20606",35441,"col","",0.32,47.450001,"Les Beilleaux",NA,"Savigne-sur-Lathan, Savigne sur Lathan",28,"Langhian","",15.97,13.82,11577,"gp_mid",2.73,44.91,"305",14.895
"20943",35984,"col","",-9.116667,38.716667,"Quinta da Musgueira",NA,"",1,"Langhian","",15.97,13.82,12513,"gp_mid",-6.9,36.51,"304",14.895
"20945",35986,"col","",-9.116667,38.716667,"Quinta da Farinheira",NA,"",5,"Langhian","",15.97,13.82,12513,"gp_mid",-6.9,36.51,"304",14.895
"20946",35987,"col","",-9.116667,38.716667,"Quinta das Flamengas",NA,"",2,"Langhian","",15.97,13.82,12513,"gp_mid",-6.9,36.51,"304",14.895
"20949",35990,"col","",-9.116667,38.716667,"Olival da Suzana",NA,"",2,"Langhian","",15.97,13.82,12513,"gp_mid",-6.9,36.51,"304",14.895
"20950",35991,"col","",-9.116667,38.716667,"Quinta Grande",NA,"",2,"Langhian","",15.97,13.82,12513,"gp_mid",-6.9,36.51,"304",14.895
"20951",35992,"col","",-9.116667,38.716667,"Quinta da Silveria",NA,"",1,"Langhian","",15.97,13.82,12513,"gp_mid",-6.9,36.51,"304",14.895
"20952",35993,"col","",-9.116667,38.716667,"Casal das Chitas",NA,"",1,"Langhian","",15.97,13.82,12513,"gp_mid",-6.9,36.51,"304",14.895
"20953",35994,"col","",-9.116667,38.716667,"Quinta da Raposa",NA,"",1,"Langhian","",15.97,13.82,12513,"gp_mid",-6.9,36.51,"304",14.895
"20954",35995,"col","",-9.116667,38.716667,"Areeiro da Lobeira",NA,"",2,"Langhian","",15.97,13.82,12513,"gp_mid",-6.9,36.51,"304",14.895
"20955",35996,"col","",-9.116667,38.716667,"Areeiro do Jose da Graça",NA,"",1,"Langhian","",15.97,13.82,12513,"gp_mid",-6.9,36.51,"304",14.895
"21573",36888,"col","",2.483333,42.5,"Lo Fournas 8, Baixas area",NA,"Baixas'",8,"Langhian","",15.97,13.82,9874,"gp_mid",4.51,39.89,"304",14.895
