"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"13307",25128,"col","Karchowice Beds",18.200001,50.583332,"Tarnow Opolski, Poland, 1st cycle Stabilisation",NA,"Reef 65",1,"Pelsonian","",247.2,242,7055,"gp_mid",34.61,30.64,"305",244.6,1
"13308",25129,"col","Karchowice Beds",18.200001,50.583332,"Tarnow Opolski, Poland, 1st cycle Colonisation-Diversification",NA,"Reef 65",5,"Pelsonian","",247.2,242,7055,"gp_mid",34.61,30.64,"305",244.6,1
"13309",25130,"col","Karchowice Beds",18.200001,50.583332,"Tarnow Opolski, Poland, 2nd cycle Colonisation-Diversification",NA,"Reef 65",2,"Pelsonian","",247.2,242,7055,"gp_mid",34.61,30.64,"305",244.6,1
"13310",25131,"col","Karchowice Beds",18.200001,50.583332,"Tarnow Opolski, Poland, 2nd cycle Domination",NA,"Reef 65",2,"Pelsonian","",247.2,242,7055,"gp_mid",34.61,30.64,"305",244.6,1
"15689",29841,"col","Badong",108.699997,28.799999,"Xiyang",NA,"PGAP 2130",3,"Anisian","",247.2,242,8298,"gp_mid",110.56,-7.12,"611",244.6,1
"15774",29926,"col","",113.599998,37.400002,"Shaanxi",NA,"PGAP 2230",3,"Anisian","",247.2,242,8311,"gp_mid",118.9,13.27,"604",244.6,1
"17387",31610,"col","Qingyan",106.683334,26.333332,"Bangtoupo F8, Qingyan",NA,"",14,"Pelsonian","",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17388",31611,"col","Qingyan",106.683334,26.333332,"Bangtoupo F10, Qingyan, China",NA,"",53,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17389",31612,"col","Qingyan",106.683334,26.333332,"Bangtoupo F13, Qingyan, China",NA,"",58,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17390",31613,"col","Qingyan",106.683334,26.333332,"Bangtoupo F17, Qingyan, China",NA,"",30,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17391",31614,"col","Qingyan",106.683334,26.333332,"Bangtoupo F19, Qingyan, China",NA,"",38,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17392",31615,"col","Qingyan",106.683334,26.333332,"Bangtoupo F24, Qingyan, China",NA,"",33,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17393",31616,"col","Qingyan",106.683334,26.333332,"Bangtoupo F27, Qingyan, China",NA,"",65,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17394",31617,"col","Qingyan",106.683334,26.333332,"Bangtoupo F28, Qingyan, China",NA,"",93,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17395",31618,"col","Qingyan",106.683334,26.333332,"Bangtoupo F30, Qingyan, China",NA,"",121,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17396",31619,"col","Qingyan",106.683334,26.333332,"Bangtoupo F31, Qingyan, China",NA,"",125,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17397",31620,"col","Qingyan",106.683334,26.333332,"Bangtoupo F32, Qingyan, China",NA,"",120,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17398",31621,"col","Qingyan",106.683334,26.333332,"Bangtoupo F35, Qingyan, China",NA,"",116,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17399",31622,"col","Qingyan",106.683334,26.333332,"Bangtoupo F37, Qingyan, China",NA,"",70,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17400",31623,"col","Qingyan",106.683334,26.333332,"Bangtoupo F40, Qingyan, China",NA,"",127,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17401",31624,"col","Qingyan",106.683334,26.333332,"Bangtoupo F43, Qingyan, China",NA,"",104,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17402",31625,"col","Qingyan",106.683334,26.333332,"Bangtoupo F45, Qingyan, China",NA,"",108,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
"17403",31626,"col","Qingyan",106.683334,26.333332,"Bangtoupo F48, Qingyan, China",NA,"",70,"Pelsonian","Illyrian",247.2,242,8524,"gp_mid",108.93,-9.71,"611",244.6,1
