"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"559",1745,"col","Lower Greensand",-1.316667,50.599998,"AC-Greensand",NA,"",13,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"560",1744,"col","Lower Greensand",-1.316667,50.599998,"PB3-Greensand",NA,"",19,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"561",1746,"col","Lower Greensand",-1.316667,50.599998,"LLB-Greensand",NA,"",14,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"562",1747,"col","Lower Greensand",-1.316667,50.599998,"crac-greensand",NA,"",50,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"563",1748,"col","Lower Greensand",-1.316667,50.599998,"ULB-Greensand",NA,"",7,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"564",1751,"col","Lower Greensand",-1.316667,50.599998,"LGGB2-Greensand",NA,"",4,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"565",1752,"col","Lower Greensand",-1.316667,50.599998,"LGGB3-Greensand",NA,"",6,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"566",1750,"col","Lower Greensand",-1.316667,50.599998,"LGGB1-Greensand",NA,"",7,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"567",1749,"col","Lower Greensand",-1.316667,50.599998,"SG1-Greensand",NA,"",6,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"568",1753,"col","Lower Greensand",-1.316667,50.599998,"SGB2-Greensand",NA,"",4,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"569",1755,"col","Lower Greensand",-1.316667,50.599998,"SGB4-Greensand",NA,"",1,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"570",1754,"col","Lower Greensand",-1.316667,50.599998,"SGB3-Greensand",NA,"",20,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"571",1756,"col","Lower Greensand",-1.316667,50.599998,"LCB-Greensand",NA,"",13,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"572",1757,"col","Lower Greensand",-1.316667,50.599998,"WCSB1-Greensand",NA,"",13,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"573",1758,"col","Lower Greensand",-1.316667,50.599998,"WCSB2-Greensand",NA,"",3,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"574",1759,"col","Lower Greensand",-1.316667,50.599998,"UCB-Greensand",NA,"",11,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"575",1760,"col","Lower Greensand",-1.316667,50.599998,"WLS-Greensand",NA,"",17,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"576",1761,"col","Lower Greensand",-1.316667,50.599998,"UG-Greensand",NA,"",1,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"577",1763,"col","Lower Greensand",-1.316667,50.599998,"SWU-Greensand",NA,"",3,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"578",1762,"col","Lower Greensand",-1.316667,50.599998,"CES-Greensand",NA,"",1,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"579",1764,"col","Lower Greensand",-1.316667,50.599998,"FBBC-Greensand",NA,"",9,"Aptian","",125,113,47,"gp_mid",24.91,40.74,"315",119,1
"582",1767,"col","Lower Greensand",-1.15,50.650002,"RED-Greensand",NA,"",10,"Aptian","",125,113,47,"gp_mid",25.06,40.77,"315",119,1
"583",1768,"col","Lower Greensand",-1.166667,50.633331,"SHacs-Greensand",NA,"",2,"Aptian","",125,113,47,"gp_mid",25.04,40.76,"315",119,1
"584",1769,"col","Lower Greensand",-1.166667,50.633331,"SHfs-Greensand",NA,"",46,"Aptian","",125,113,47,"gp_mid",25.04,40.76,"315",119,1
"585",1770,"col","Lower Greensand",-1.166667,50.633331,"SHsan-Greensand",NA,"",2,"Aptian","",125,113,47,"gp_mid",25.04,40.76,"315",119,1
"587",1772,"col","Lower Greensand",-1.966667,50.616669,"DCa-Greensand",NA,"",7,"Aptian","",125,113,47,"gp_mid",24.37,40.81,"315",119,1
"588",1773,"col","Lower Greensand",-1.966667,50.616669,"DCb-Greensand",NA,"",11,"Aptian","",125,113,47,"gp_mid",24.37,40.81,"315",119,1
"589",1774,"col","Lower Greensand",1.316667,51.133331,"EKac-Greensand",NA,"",8,"Aptian","",125,113,47,"gp_mid",27.17,41.07,"315",119,1
"590",1775,"col","Lower Greensand",1.183333,51.083332,"EKhya-Greensand",NA,"",34,"Aptian","",125,113,47,"gp_mid",27.06,41.03,"315",119,1
"591",1776,"col","Lower Greensand",1.083333,51.083332,"EKhyb-Greensand",NA,"",24,"Aptian","",125,113,47,"gp_mid",26.97,41.04,"315",119,1
"592",1777,"col","Lower Greensand",1.183333,51.083332,"EKsan-Greensand",NA,"",14,"Aptian","",125,113,47,"gp_mid",27.06,41.03,"315",119,1
"594",1778,"col","Lower Greensand",1.183333,51.083332,"EKsanb-Greensand",NA,"",21,"Aptian","",125,113,47,"gp_mid",27.06,41.03,"315",119,1
"595",1779,"col","Lower Greensand",1,51.116669,"EKsanc-Greensand",NA,"",6,"Aptian","",125,113,47,"gp_mid",26.91,41.08,"315",119,1
"597",1780,"col","Lower Greensand",1.183333,51.083332,"EKfsec1-Greensand",NA,"",34,"Aptian","",125,113,47,"gp_mid",27.06,41.03,"315",119,1
"627",1811,"col","Lower Greensand",1.183333,51.083332,"EKfsmp-Greensand",NA,"",6,"Aptian","",125,113,47,"gp_mid",27.06,41.03,"315",119,1
"629",1813,"col","Lower Greensand",1.083333,51.083332,"EKfssjs1-Greensand",NA,"",1,"Aptian","",125,113,47,"gp_mid",26.97,41.04,"315",119,1
"630",1814,"col","Lower Greensand",1.083333,51.083332,"Ekfssjs5-Greensand",NA,"",8,"Aptian","",125,113,47,"gp_mid",26.97,41.04,"315",119,1
"631",1815,"col","Lower Greensand",-1.083333,51.083332,"EKfssjs7-Greensand",NA,"",9,"Aptian","",125,113,47,"gp_mid",25.18,41.2,"315",119,1
"632",1817,"col","Lower Greensand",1.083333,51.083332,"EKfssjs9-Greensand",NA,"",4,"Aptian","",125,113,47,"gp_mid",26.97,41.04,"315",119,1
"635",1819,"col","Lower Greensand",0.533333,51.283333,"WKac-Greensand",NA,"",5,"Aptian","",125,113,47,"gp_mid",26.55,41.28,"315",119,1
"636",1820,"col","Lower Greensand",0.883333,51.150002,"WKhy-Greensand",NA,"",7,"Aptian","",125,113,47,"gp_mid",26.82,41.12,"315",119,1
"637",1821,"col","Lower Greensand",0.533333,51.283333,"WKhylc-Greensand",NA,"",5,"Aptian","",125,113,47,"gp_mid",26.55,41.28,"315",119,1
"638",1822,"col","Lower Greensand",0.533333,51.283333,"WKhym-Greensand",NA,"",22,"Aptian","",125,113,47,"gp_mid",26.55,41.28,"315",119,1
"639",1823,"col","Lower Greensand",0.533333,51.283333,"WKfsms-Greensand",NA,"",4,"Aptian","",125,113,47,"gp_mid",26.55,41.28,"315",119,1
"641",1825,"col","Lower Greensand",0.2,51.266666,"WKfsi-Greensand",NA,"",8,"Aptian","",125,113,47,"gp_mid",26.27,41.29,"315",119,1
"651",1836,"col","Lower Greensand",-0.583333,51.233334,"Sac2-Greensand",NA,"",31,"Aptian","",125,113,47,"gp_mid",25.62,41.31,"315",119,1
"652",1835,"col","Lower Greensand",-0.216667,51.233334,"Sac1-Greensand",NA,"",10,"Aptian","",125,113,47,"gp_mid",25.92,41.28,"315",119,1
"653",1837,"col","Lower Greensand",-0.583333,51.233334,"Sac3-Greensand",NA,"",8,"Aptian","",125,113,47,"gp_mid",25.62,41.31,"315",119,1
"654",1838,"col","Lower Greensand",-0.066667,51.25,"Shy1-Greensand",NA,"",27,"Aptian","",125,113,47,"gp_mid",26.05,41.29,"315",119,1
"655",1839,"col","Lower Greensand",-0.066667,51.25,"Shyg5-Greensand",NA,"",6,"Aptian","",125,113,47,"gp_mid",26.05,41.29,"315",119,1
"656",1840,"col","Lower Greensand",-0.216667,51.233334,"Ssgr-Greensand",NA,"",24,"Aptian","",125,113,47,"gp_mid",25.92,41.28,"315",119,1
"657",1841,"col","Lower Greensand",-0.583333,51.233334,"Ssgbg-Greensand",NA,"",23,"Aptian","",125,113,47,"gp_mid",25.62,41.31,"315",119,1
"658",1842,"col","Lower Greensand",-0.583333,51.233334,"Ssgp-Greensand",NA,"",6,"Aptian","",125,113,47,"gp_mid",25.62,41.31,"315",119,1
"659",1843,"col","Lower Greensand",-0.816667,51.216667,"Sfsah-Greensand",NA,"",3,"Aptian","",125,113,47,"gp_mid",25.42,41.31,"315",119,1
"665",1849,"col","Lower Greensand",-0.75,50.983334,"SXac-Greensand",NA,"",2,"Aptian","",125,113,47,"gp_mid",25.44,41.07,"315",119,1
"666",1850,"col","Lower Greensand",-0.75,50.983334,"SXsgeq-Greensand",NA,"",14,"Aptian","",125,113,47,"gp_mid",25.44,41.07,"315",119,1
"667",1851,"col","Lower Greensand",-0.85,51,"SXsgr-Greensand",NA,"",34,"Aptian","",125,113,47,"gp_mid",25.36,41.1,"315",119,1
"670",1854,"col","Lower Greensand",-1.583333,51.666668,"WOsgsg-Greensand",NA,"",64,"Aptian","",125,113,47,"gp_mid",24.86,41.82,"315",119,1
"671",1855,"col","Lower Greensand",-1.583333,51.666668,"WOsgff-Greensand",NA,"",4,"Aptian","",125,113,47,"gp_mid",24.86,41.82,"315",119,1
"672",1856,"col","Lower Greensand",-2.083333,51.349998,"WOsgse-Greensand",NA,"",51,"Aptian","",125,113,47,"gp_mid",24.4,41.54,"315",119,1
"674",1859,"col","Lower Greensand",-0.3,52.133331,"CBPs-Greensand",NA,"",9,"Aptian","",125,113,47,"gp_mid",26,42.18,"315",119,1
"681",1870,"col","Lower Greensand",0.5,52.950001,"LNPh-Greensand",NA,"",19,"Aptian","",125,113,47,"gp_mid",26.79,42.94,"315",119,1
"704",1867,"col","Lower Greensand",0.183333,53.283333,"LNPsm-Greensand",NA,"",18,"Aptian","",125,113,47,"gp_mid",26.58,43.29,"315",119,1
"706",1866,"col","Lower Greensand",0.116667,52.200001,"CBPu-Greensand",NA,"",34,"Aptian","",125,113,47,"gp_mid",26.35,42.22,"315",119,1
"793",2069,"col","Tamzergout",-7.881111,31.208889,"OT2",NA,"",8,"Aptian","",125,113,57,"gp_mid",10.79,24.85,"707",119,1
"794",2070,"col","Tadhart",-7.881111,31.208889,"JT1",NA,"",12,"Aptian","",125,113,57,"gp_mid",10.79,24.85,"707",119,1
"795",2071,"col","Lemgo",-7.881111,31.208889,"INT2",NA,"",21,"Aptian","",125,113,57,"gp_mid",10.79,24.85,"707",119,1
"809",2084,"col","",19.65,50.466667,"Tomaszow5",NA,"",8,"Aptian","",125,113,59,"gp_mid",42.25,39.56,"305",119,1
"825",2116,"col","",40.259724,43.30389,"Gagra 5",NA,"",15,"Aptian","",125,113,62,"gp_mid",59.71,32.53,"511",119,1
"865",2172,"col","",6.3,46.716667,"AP1v-Jura",NA,"",17,"Aptian","",125,113,66,"gp_mid",30.79,36.35,"305",119,1
"866",2173,"col","",6.333333,46.683334,"AP1p-Jura",NA,"",14,"Aptian","",125,113,66,"gp_mid",30.81,36.32,"305",119,1
"867",2176,"col","",6.3,46.716667,"AP2v-Jura",NA,"",4,"Aptian","",125,113,66,"gp_mid",30.79,36.35,"305",119,1
"868",2177,"col","",6.333333,46.683334,"AP2p-Jura",NA,"",9,"Aptian","",125,113,66,"gp_mid",30.81,36.32,"305",119,1
"869",2178,"col","",5.8,46.150002,"AP3b-Jura",NA,"",27,"Aptian","",125,113,66,"gp_mid",30.3,35.82,"305",119,1
"870",2179,"col","",6.6,46.933334,"AP3t-Jura",NA,"",3,"Aptian","",125,113,66,"gp_mid",31.07,36.55,"305",119,1
"871",2180,"col","",6.4,46.700001,"AP3v-Jura",NA,"",4,"Aptian","",125,113,66,"gp_mid",30.87,36.33,"305",119,1
"872",2182,"col","",6.033333,45.133331,"AP3a-Jura",NA,"",4,"Aptian","",125,113,66,"gp_mid",30.39,34.79,"305",119,1
"873",2183,"col","",6.783333,46.566666,"AP3e-Jura",NA,"",2,"Aptian","",125,113,66,"gp_mid",31.18,36.18,"305",119,1
"874",2189,"col","",6.4,46.700001,"AP4v-Jura",NA,"",27,"Aptian","",125,113,66,"gp_mid",30.87,36.33,"305",119,1
"876",2192,"col","",6.6,46.933334,"AP4t-Jura",NA,"",15,"Aptian","",125,113,66,"gp_mid",31.07,36.55,"305",119,1
"877",2193,"col","",6.716667,46.866669,"AP4c-Jura",NA,"",12,"Aptian","",125,113,66,"gp_mid",31.16,36.48,"305",119,1
"889",2211,"col","",6.566667,46.849998,"AP3r-Jura",NA,"",5,"Aptian","",125,113,66,"gp_mid",31.03,36.47,"305",119,1
"906",2186,"col","",6.583333,47.049999,"AP4m-Jura",NA,"",66,"Aptian","",125,113,66,"gp_mid",31.06,36.67,"305",119,1
"907",2188,"col","",6.516667,46.833332,"AP4sc-Jura",NA,"",49,"Aptian","",125,113,66,"gp_mid",30.98,36.46,"305",119,1
"908",2227,"col","",6.933333,46,"AP4bo-Jura",NA,"",15,"Aptian","",125,113,66,"gp_mid",31.25,35.6,"305",119,1
"909",2226,"col","",6.85,46.950001,"AP4l-Jura",NA,"",13,"Aptian","",125,113,66,"gp_mid",31.28,36.56,"305",119,1
"910",2228,"col","",6.3,46.716667,"AP4b-Jura",NA,"",18,"Aptian","",125,113,66,"gp_mid",30.79,36.35,"305",119,1
"911",2229,"col","",6.533333,46.75,"AP4r-Jura",NA,"",59,"Aptian","",125,113,66,"gp_mid",30.99,36.37,"305",119,1
"912",2181,"col","",6.516667,46.833332,"AP3sc-Jura",NA,"",6,"Aptian","",125,113,66,"gp_mid",30.98,36.46,"305",119,1
"913",2230,"col","",6.05,46.483334,"Ap3s-Jura",NA,"",1,"Aptian","",125,113,66,"gp_mid",30.55,36.14,"305",119,1
"915",2231,"col","",6.3,46.716667,"AP2b-Jura",NA,"",18,"Aptian","",125,113,66,"gp_mid",30.79,36.35,"305",119,1
"917",2174,"col","",6.516667,46.833332,"AP1sc-Jura",NA,"",6,"Aptian","",125,113,66,"gp_mid",30.98,36.46,"305",119,1
"918",2233,"col","",6.3,46.716667,"AP1b-Jura",NA,"",11,"Aptian","",125,113,66,"gp_mid",30.79,36.35,"305",119,1
"919",2234,"col","",6.3,46.716667,"AP1pr-Jura",NA,"",17,"Aptian","",125,113,66,"gp_mid",30.79,36.35,"305",119,1
"5056",13292,"col","Botucatu",-47.75,-21.066668,"Brodósqui tracksite, Visconde Farm quarries",NA,"Leonardi locality 52, Jurucê",2,"Aptian","",125,113,69655,"gp_mid",-5.84,-18.96,"201",119,1
"5467",14408,"col","Twin Mountains",-97.907219,32.270557,"Paluxy Church",NA,"Paluxy; SMU locality 138",27,"Aptian","",125,113,3187,"gp_mid",-39.44,35.18,"101",119,1
"11559",74525,"col","",-1.097443,38.869434,"Almansa",NA,"",1,"Aptian","",125,113,25015,"gp_mid",21.98,29.03,"304",119,1
