"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"824",2115,"col","",40.26,43.3,"Gagra 4",NA,"",15,"Barremian","",129.4,125,62,"gp_mid",57.86,30.09,"511",127.2,"barremian",250,61.1684,33.9032,28,1
"859",2162,"col","Cupido",-102.08,26.98,"32-Coahuila",NA,"",1,"Barremian","",129.4,125,65,"gp_mid",-42.69,28.55,"101",127.2,"barremian",264,-45.7123,29.7566,28,1
"878",2195,"col","",6.58,47.05,"BMm-Jura",NA,"",43,"Barremian","",129.4,125,66,"gp_mid",30.01,33.42,"305",127.2,"barremian",279,30.5396,34.2924,28,1
"879",2196,"col","",6.75,47.07,"BMl-Jura",NA,"",23,"Barremian","",129.4,125,66,"gp_mid",30.15,33.43,"305",127.2,"barremian",280,30.5396,34.2924,28,1
"880",2197,"col","",6.93,46,"BMn-Jura",NA,"",12,"Barremian","",129.4,125,66,"gp_mid",30.22,32.36,"305",127.2,"barremian",281,30.6948,31.7958,28,1
"890",2212,"col","",6.67,47.07,"BMv-Jura",NA,"",32,"Barremian","",129.4,125,66,"gp_mid",30.08,33.43,"305",127.2,"barremian",290,30.5396,34.2924,28,1
"905",2194,"col","",6.52,46.83,"BMsc-Jura",NA,"",16,"Barremian","",129.4,125,66,"gp_mid",29.94,33.21,"305",127.2,"barremian",302,30.5396,34.2924,28,1
"928",2121,"col","Luckovska",21.28,49.42,"Butkov Quarry3(CZE)",NA,"",22,"Barremian","",129.4,125,63,"gp_mid",41.95,35.49,"305",127.2,"barremian",314,42.4217,37.6696,28,1
"5091",13333,"col","La Amarga",-70.19,-39.48,"La Amarga (main site)",NA,"",5,"Barremian","",129.4,125,63573,"gp_mid",-29.95,-37.48,"291",127.2,"barremian",1555,-33.4103,-38.5322,28,1
"11391",74573,"col","",5.3,43.27,"Ile Pomegues, Marseille",NA,"",2,"Barremian","",129.4,125,25065,"gp_mid",28.65,29.71,"305",127.2,"barremian",2074,23.7459,27.4451,28,1
"11394",74572,"col","",5.57,43.23,"Les Camerlots, Marseille",NA,"",1,"Barremian","",129.4,125,25065,"gp_mid",NA,NA,"coordinates not computable using this model",127.2,"barremian",2077,23.7459,27.4451,28,1
"11396",74571,"col","",5.45,43.23,"Mont Puget, Marseille",NA,"",2,"Barremian","",129.4,125,25065,"gp_mid",28.77,29.67,"305",127.2,"barremian",2079,23.7459,27.4451,28,1
"11398",74570,"col","",5.6,43.27,"Souvarel, Marseille",NA,"",1,"Barremian","",129.4,125,25065,"gp_mid",NA,NA,"coordinates not computable using this model",127.2,"barremian",2080,23.7459,27.4451,28,1
