"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"1107",2452,"col","Crockett",-96.37,30.67,"Little Brazos River, TX; upstream from rt 21 bridge",NA,"Brazos",43,"Bartonian","",41.3,38,72,"gp_mid",-79.6,35.74,"101",39.65,"bartonian",329,-88.5305,29.8933,14,1
"1108",2453,"col","Lisbon",-87.8,31.5,"Little Stave Creek, uppermost Lisbon shells, 3.5' above burrowed surface (sequen",NA,"ACl-4-a1",84,"Bartonian","",41.3,38,72,"gp_mid",-70.57,35.14,"109",39.65,"bartonian",330,-77.1208,31.453,14,1
"1116",2454,"col","Lisbon",-87.8,31.5,"Little Stave Creek, uppermost Lisbon shell bed, 3.5' above burrowed surface; bag",NA,"ACl-4-a2",66,"Bartonian","",41.3,38,72,"gp_mid",-70.57,35.14,"109",39.65,"bartonian",330,-77.1208,31.453,14,1
"1409",2959,"col","",31.25,30.05,"Egypt 9 (Mokattam)",NA,"",31,"Bartonian","",41.3,38,130,"gp_mid",32.83,18.53,"715",39.65,"bartonian",424,24.7711,24.3624,14,1
"1410",2960,"col","",30.83,29.32,"Egypt 10 (Fayium)",NA,"",27,"Bartonian","",41.3,38,130,"gp_mid",32.4,17.82,"715",39.65,"bartonian",425,24.7711,24.3624,14,1
"1566",3312,"col","",-75.12,9.68,"C.A.S. locality 31694, Colombia",NA,"",37,"Bartonian","",41.3,38,182,"gp_mid",-61.91,9.3,"203",39.65,"bartonian",453,-68.9993,5.4215,14,1
"1581",3494,"col","Sables a Nummulites variolarius",2.5,49.25,"Saint-Vast-les-Mello, Barisseuse",NA,"",343,"Bartonian","",41.3,38,201,"gp_mid",8.04,42.54,"315",39.65,"bartonian",455,-1.7355,47.6486,14,1
"1584",3505,"col","Moodys Branch",-87.8,31.5,"ACl-7 (Moodys Branch)",NA,"",9,"Bartonian","",41.3,38,124,"gp_mid",-70.57,35.14,"109",39.65,"bartonian",330,-77.1208,31.453,14,1
"1585",3506,"col","Moodys Branch",-87.78,31.71,"ACl-12",NA,"",4,"Bartonian","",41.3,38,124,"gp_mid",-70.49,35.34,"109",39.65,"bartonian",458,-77.1208,31.453,14,1
"1586",3507,"col","Moodys Branch",-86.77,31.26,"ACon-3",NA,"",5,"Bartonian","",41.3,38,124,"gp_mid",-69.57,34.74,"109",39.65,"bartonian",459,-77.1208,31.453,14,1
"1587",3508,"col","Moodys Branch",-86.48,31.31,"ACov-2 (Moodys Branch)",NA,"",14,"Bartonian","",41.3,38,124,"gp_mid",-69.27,34.73,"109",39.65,"bartonian",460,-77.1208,31.453,14,1
"1588",3509,"col","Moodys Branch",-86.48,31.31,"ACov-3",NA,"",10,"Bartonian","",41.3,38,124,"gp_mid",-69.27,34.73,"109",39.65,"bartonian",460,-77.1208,31.453,14,1
"1589",3510,"col","Moodys Branch",-86.48,31.31,"ACov-4 (Moodys Branch)",NA,"",14,"Bartonian","",41.3,38,124,"gp_mid",-69.27,34.73,"109",39.65,"bartonian",460,-77.1208,31.453,14,1
"1590",3511,"col","Moodys Branch",-86.48,31.31,"ACov-15",NA,"",3,"Bartonian","",41.3,38,124,"gp_mid",-69.27,34.73,"109",39.65,"bartonian",460,-77.1208,31.453,14,1
"1591",3512,"col","Moodys Branch",-86.48,31.31,"ACov-16",NA,"",9,"Bartonian","",41.3,38,124,"gp_mid",-69.27,34.73,"109",39.65,"bartonian",460,-77.1208,31.453,14,1
"1592",3513,"col","Moodys Branch",-86.48,31.31,"ACov-17 (Moodys Branch)",NA,"",2,"Bartonian","",41.3,38,124,"gp_mid",-69.27,34.73,"109",39.65,"bartonian",460,-77.1208,31.453,14,1
"1593",3514,"col","Moodys Branch",-86.48,31.31,"ACov-19 (Moodys Branch)",NA,"",4,"Bartonian","",41.3,38,124,"gp_mid",-69.27,34.73,"109",39.65,"bartonian",460,-77.1208,31.453,14,1
"1594",3515,"col","Moodys Branch",-85.86,31.03,"AGe-1 (Moodys Branch)",NA,"",3,"Bartonian","",41.3,38,124,"gp_mid",-68.71,34.36,"109",39.65,"bartonian",461,-77.3954,28.9643,14,1
"1595",3516,"col","Moodys Branch",-85.85,31.03,"AGe-3 (Moodys Branch)",NA,"",12,"Bartonian","",41.3,38,124,"gp_mid",-68.69,34.35,"109",39.65,"bartonian",462,-77.3954,28.9643,14,1
"1596",3517,"col","Moodys Branch",-84.86,30.71,"AHo-1 (Moodys Branch)",NA,"",2,"Bartonian","",41.3,38,124,"gp_mid",-67.77,33.87,"109",39.65,"bartonian",463,-77.3954,28.9643,14,1
"1597",3518,"col","Moodys Branch",-87.58,31.55,"AMo-4 (Moodys Branch)",NA,"",12,"Bartonian","",41.3,38,124,"gp_mid",-70.33,35.15,"109",39.65,"bartonian",464,-77.1208,31.453,14,1
"1598",3519,"col","Moodys Branch",-87.58,31.55,"AMo-6 (Moodys Branch)",NA,"",2,"Bartonian","",41.3,38,124,"gp_mid",-70.33,35.15,"109",39.65,"bartonian",464,-77.1208,31.453,14,1
"1599",3520,"col","Moodys Branch",-87.94,31.14,"AWa-2 (Moodys Branch)",NA,"",11,"Bartonian","",41.3,38,124,"gp_mid",-70.8,34.81,"109",39.65,"bartonian",465,-77.3954,28.9643,14,1
"1600",3525,"col","Moodys Branch",-84.86,30.71,"GEa-5 (Moodys Branch)",NA,"",3,"Bartonian","",41.3,38,124,"gp_mid",-67.77,33.87,"109",39.65,"bartonian",463,-77.3954,28.9643,14,1
"1601",3526,"col","Moodys Branch",-84.86,30.71,"GEa-6 (Moodys Branch)",NA,"",3,"Bartonian","",41.3,38,124,"gp_mid",-67.77,33.87,"109",39.65,"bartonian",463,-77.3954,28.9643,14,1
"1602",3527,"col","Moodys Branch",-83.42,32.68,"GTw-1 (Moodys Branch)",NA,"",1,"Bartonian","",41.3,38,124,"gp_mid",-65.82,35.55,"109",39.65,"bartonian",466,-73.4362,31.1517,14,1
