"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"4072",11292,"col","",67,25,"Magar Pir, Karachi, Sind, Pakistan",NA,"Reef 3097",40,"Burdigalian","",20.44,15.97,4154,"gp_mid",67.74,16.22,"501",18.205,"burdigalian",1315,63.9368,21.2719,9,1
"8969",17910,"col","Kirkwood",-74.3,40.3,"Farmingdale",NA,"",7,"Early Hemingfordian","",20.43,15.97,3383,"gp_mid",-65.35,41.94,"109",18.2,"burdigalian",1985,-70.4098,38.7628,9,1
"9571",18512,"col","Marks Head",-82.1,29.9,"Brooks Sink",NA,"",22,"Late Hemingfordian","",20.43,15.97,2614,"gp_mid",-74.72,32.29,"109",18.2,"burdigalian",2004,-78.5048,29.1362,9,1
"9620",18561,"col","Torreya",-84.5,30.5,"Midway",NA,"Fuller's Earth Company<br>DUPLICATE REF 3135 or 3136",21,"Hemingfordian","",20.43,15.97,3135,"gp_mid",-77.1,33.09,"109",18.2,"burdigalian",2008,-82.2202,29.321,9,1
"9621",18562,"col","",-83.2,29.3,"Miller Locality",NA,"",19,"Early Hemingfordian","",20.43,15.97,3558,"gp_mid",-75.91,31.78,"109",18.2,"burdigalian",2009,-78.5048,29.1362,9,1
"9638",18579,"col","Calvert",-75.6,39.2,"Pollack Farm Site",NA,"Delaware Geological Survey locality Id11-a",173,"Early Hemingfordian","",20.43,15.97,1446,"gp_mid",-66.85,40.97,"109",18.2,"burdigalian",2011,-70.4098,38.7628,9,1
"9645",18586,"col","Torreya",-84.2,30.3,"Seaboard Air Line Railroad Company",NA,"",23,"Hemingfordian","",20.43,15.97,2692,"gp_mid",-76.82,32.86,"109",18.2,"burdigalian",2013,-78.5048,29.1362,9,1
"9646",18587,"col","Kirkwood",-75.2,39.3,"Shiloh Marl",NA,"",39,"Burdigalian","",20.44,15.97,35435,"gp_mid",-66.42,41.03,"109",18.205,"burdigalian",2014,-70.4098,38.7628,9,1
"9656",18597,"col","Alachua",-82.6,29.7,"Thomas Farm",NA,"",71,"Hemingfordian","",20.43,15.97,6560,"gp_mid",-75.25,32.13,"109",18.2,"burdigalian",2015,-78.5048,29.1362,9,1
"10210",19151,"col","Temblor",-118.88,35.44,"Barker's Ranch",NA,"Barker Ranch",7,"Burdigalian","",20.44,15.97,6198,"gp_mid",-109.77,39.08,"130",18.205,"burdigalian",2026,-112.7967,32.8799,9,1
"10426",19367,"col","Caliente",-119,34.3,"Hidden Treasure Spring",NA,"UCMP V-5676; Dry Canyon",8,"Hemingfordian","",20.43,15.97,2012,"gp_mid",-110.76,37.32,"105",18.2,"burdigalian",2031,-112.7967,32.8799,9,1
"10540",19481,"col","Caliente",-119,34.3,"Plush Ranch Contact",NA,"UCMP V-5679",2,"Hemingfordian","",20.43,15.97,2012,"gp_mid",-110.76,37.32,"105",18.2,"burdigalian",2031,-112.7967,32.8799,9,1
"10575",19516,"col","Caliente",-119,34.3,"Rhino Site",NA,"UCMP V-5744; Ballinger Canyon 3",2,"Hemingfordian","",20.43,15.97,2012,"gp_mid",-110.76,37.32,"105",18.2,"burdigalian",2031,-112.7967,32.8799,9,1
"10658",19599,"col","Branch Canyon",-119.5,34.9,"Vedder (UCMP V-6761)",NA,"",15,"Hemingfordian","",20.43,15.97,1995,"gp_mid",-111.27,37.93,"105",18.2,"burdigalian",2035,-112.7967,32.8799,9,1
"13401",25255,"col","Sabz",57.12,27.32,"Vaziri, Makran, Iran",25257,"Reef 655",11,"Burdigalian","",20.44,15.97,7077,"gp_mid",55.62,19.77,"503",18.205,"burdigalian",2564,52.4417,22.0701,9,1
"13403",25257,"col","Ghasr Ghand",60,26.5,"Makran",NA,"",94,"Burdigalian","",20.44,15.97,7077,"gp_mid",58.31,18.86,"503",18.205,"burdigalian",2566,56.6842,27.6677,9,1
"13404",25258,"col","Darkhunish",57.58,26.53,"Dar Phan, Makran, Iran",25257,"Reef 654",25,"Burdigalian","",20.44,15.97,7077,"gp_mid",56.03,18.97,"503",18.205,"burdigalian",2567,52.4417,22.0701,9,1
"20026",34720,"col","Progo Beds",110.08,-7.67,"Yunggrangan, Yogyakarta, Java, Indonesia",NA,"Reef 2042",6,"Burdigalian","",20.44,15.97,9205,"gp_mid",116.18,-8.76,"620",18.205,"burdigalian",3999,107.828,-4.5491,9,1
"20027",34721,"col","Progo Beds",110.05,-7.65,"Sibolong, Yogyakarta, Java, Indonesia",NA,"Reef 2042",15,"Burdigalian","",20.44,15.97,9205,"gp_mid",116.15,-8.75,"620",18.205,"burdigalian",4000,107.828,-4.5491,9,1
"20171",34913,"col","",32.31,36.18,"Bed 7b - Gebel Gharra section, Suez",NA,"",5,"Burdigalian","",20.44,15.97,18811,"gp_mid",33.13,32.41,"504",18.205,"burdigalian",4039,30.0174,32.9749,9,1
"20172",34914,"col","",32.31,36.18,"Bed 8c - Gebel Gharra section, Suez",NA,"",5,"Burdigalian","",20.44,15.97,18811,"gp_mid",33.13,32.41,"504",18.205,"burdigalian",4039,30.0174,32.9749,9,1
"20173",34915,"col","",32.31,36.18,"Bed 8db - Gebel Gharra section, Suez",NA,"",4,"Burdigalian","",20.44,15.97,18811,"gp_mid",33.13,32.41,"504",18.205,"burdigalian",4039,30.0174,32.9749,9,1
"20243",35018,"col","Chipola",-85.12,30.5,"Chipola Formation (unspecified localities)",NA,"",21,"Burdigalian","",20.44,15.97,9411,"gp_mid",-77.73,33.14,"109",18.205,"burdigalian",4054,-82.2202,29.321,9,1
"20944",35985,"col","",-9.12,38.73,"Quinta das Pedreiras, Lisbon",NA,"",5,"Burdigalian","",20.44,15.97,12513,"gp_mid",-6.45,36.04,"304",18.205,"burdigalian",4172,-10.2888,35.4603,9,1
"20947",35988,"col","",-9.12,38.72,"Quinta da Conceiçao",NA,"",1,"Burdigalian","",20.44,15.97,12513,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"20948",35989,"col","",-9.12,38.72,"Quinta da Barbacena",NA,"",2,"Burdigalian","",20.44,15.97,12513,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21359",36617,"col","",-9.12,38.72,"Horta das Tripas",NA,"",4,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21360",36618,"col","",-9.12,38.72,"Level C5, Quarry Quinta da Torre",NA,"",1,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21361",36619,"col","",-9.12,38.72,"Level C1, Quarry Quinta da Torre",NA,"",2,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21362",36620,"col","",-9.12,38.73,"Level C11, Quarry Quinta das Pedreiras",NA,"",1,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.04,"304",18.205,"burdigalian",4172,-10.2888,35.4603,9,1
"21363",36621,"col","",-9.12,38.73,"Level C7, Quarry Quinta das Pedreiras",NA,"",5,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.04,"304",18.205,"burdigalian",4172,-10.2888,35.4603,9,1
"21364",36622,"col","",-9.12,38.73,"Level C6, Quarry Quinta das Pedreiras",NA,"",1,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.04,"304",18.205,"burdigalian",4172,-10.2888,35.4603,9,1
"21365",36623,"col","",-9.12,38.73,"Level C3, Quarry Quinta das Pedreiras",NA,"",1,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.04,"304",18.205,"burdigalian",4172,-10.2888,35.4603,9,1
"21366",36624,"col","",-9.12,38.72,"Level C1, Quarry Quebra Bilhas",NA,"",3,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21367",36625,"col","",-9.12,38.72,"Level C4, Quarry Correio Mor",NA,"",1,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21368",36626,"col","",-9.12,38.72,"Level C1, Quarry Correio Mor",NA,"",4,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21369",36627,"col","",-9.12,38.72,"Level C5, Quarry Quinta do Narigao",NA,"",1,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21370",36628,"col","",-9.12,38.72,"Level C4, Quarry Quinta do Narigao",NA,"",15,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21371",36629,"col","",-9.12,38.72,"Level C5, Quarry Quinta da Noiva",NA,"",1,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21372",36630,"col","",-9.12,38.72,"Level C3, Quarry Quinta da Noiva",NA,"",1,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21373",36631,"col","",-9.12,38.72,"Level C1, Quarry Quinta da Noiva",NA,"",13,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21374",36632,"col","",-9.12,38.72,"Quarry Torre da Musgueira",NA,"Quinta da Musgueira, Mirante de Musgueira",6,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21375",36633,"col","",-9.12,38.72,"Quarry Quinta da Trindade",NA,"",6,"Burdigalian","",20.44,15.97,9820,"gp_mid",-6.45,36.02,"304",18.205,"burdigalian",4173,-10.2888,35.4603,9,1
"21561",36878,"col","",2.48,42.5,"Ste-Catherine 2, Baixas area",NA,"Ste Catherine 2, Baixas'",12,"Burdigalian","",20.44,15.97,9874,"gp_mid",4.91,39.33,"304",18.205,"burdigalian",4378,0.4466,40.7402,9,1
"21562",36879,"col","",2.48,42.5,"Ste-Catherine 3, Baixas area",NA,"Ste Catherine 3, Baixas'",11,"Burdigalian","",20.44,15.97,9874,"gp_mid",4.91,39.33,"304",18.205,"burdigalian",4378,0.4466,40.7402,9,1
"21563",36880,"col","",2.48,42.5,"Ste-Catherine 4, Baixas area",NA,"Ste Catherine 4, Baixas'",9,"Burdigalian","",20.44,15.97,9874,"gp_mid",4.91,39.33,"304",18.205,"burdigalian",4378,0.4466,40.7402,9,1
"21564",36881,"col","",2.48,42.5,"Ste-Catherine 5, Baixas area",NA,"Ste Catherine 5, Baixas'",7,"Burdigalian","",20.44,15.97,9874,"gp_mid",4.91,39.33,"304",18.205,"burdigalian",4378,0.4466,40.7402,9,1
"21566",36883,"col","",2.48,42.5,"Ste-Catherine 7, Baixas area",NA,"Ste Catherine 7, Baixas'",6,"Burdigalian","",20.44,15.97,9874,"gp_mid",4.91,39.33,"304",18.205,"burdigalian",4378,0.4466,40.7402,9,1
