"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"763",2560,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-7",NA,"",7,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",1,164.8,"callovian",1
"764",2562,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-8",NA,"",20,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",1,164.8,"callovian",1
"765",2566,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-12",NA,"",11,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",1,164.8,"callovian",1
"766",2567,"col","Shuqra",48.566944,14.266389,"Al Ma'abir III-13",NA,"",24,"Callovian","",166.1,163.5,74,"gp_mid",43.33,-16.56,"503",1,164.8,"callovian",1
"771",2589,"col","Shuqra",48.472778,14.301667,"Jebel Billum III-3",NA,"",29,"Callovian","",166.1,163.5,74,"gp_mid",43.26,-16.49,"503",1,164.8,"callovian",1
"775",2599,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-8",NA,"",7,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",1,164.8,"callovian",1
"776",2600,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-9",NA,"",20,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",1,164.8,"callovian",1
"777",2601,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-10",NA,"",19,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",1,164.8,"callovian",1
"778",2603,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-12",NA,"",24,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",1,164.8,"callovian",1
"779",2604,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-13",NA,"",30,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",1,164.8,"callovian",1
"780",2605,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-14",NA,"",32,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",1,164.8,"callovian",1
"781",2608,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-18",NA,"",28,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",1,164.8,"callovian",1
"782",2607,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-16",NA,"",28,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",1,164.8,"callovian",1
"783",2610,"col","Shuqra",48.446667,14.316667,"Jebel Billum IV-19",NA,"",20,"Callovian","",166.1,163.5,74,"gp_mid",43.24,-16.46,"503",1,164.8,"callovian",1
"1741",5226,"col","Kingak Shale",-148.116669,68.966667,"Ivishak River (USGS Mes. loc. 22745)",NA,"",1,"Callovian","",166.1,163.5,313,"gp_mid",-38.98,65.72,"103",1,164.8,"callovian",1
"1742",5227,"col","Kingak Shale",-148.083328,68.966667,"Ivishak River (USGS Mes. loc. 22764)",NA,"",2,"Callovian","",166.1,163.5,313,"gp_mid",-38.99,65.71,"103",1,164.8,"callovian",1
"1749",5234,"col","Kingak Shale",-146,69,"Canning River (USGS Mes. loc. 21024)",NA,"",1,"Callovian","",166.1,163.5,313,"gp_mid",-39.85,65.05,"103",1,164.8,"callovian",1
"1800",5443,"col","Kingak Shale",-146.133331,69.416664,"Canning River (USGS Mesozoic Loc. 24033)",NA,"",2,"Callovian","",166.1,163.5,313,"gp_mid",-38.95,64.88,"103",1,164.8,"callovian",1
"4096",74518,"col","",-3.029449,42.324837,"Valgañón, Escaray",NA,"Ezcaray",1,"Callovian","",166.1,163.5,25015,"gp_mid",18.94,26.9,"304",1,164.8,"callovian",1
"4381",24047,"col","Chari",69.966667,23.299999,"Habo Dome, Bhuj, Kachchh, India",NA,"Reef 526",12,"Callovian","",166.1,163.5,6805,"gp_mid",45.29,-27.58,"501",1,164.8,"callovian",1
"5769",32016,"col","",13.35,52.483334,"Echinoderms, Callovian, eratic blocks, NE Germany",NA,"",32,"Callovian","",166.1,163.5,8588,"gp_mid",29.84,37.75,"315",1,164.8,"callovian",1
"7458",35471,"col","Mughanniyya",35.633331,32.166668,"Deir-Alla 2 B4",NA,"",7,"Callovian","",166.1,163.5,9529,"gp_mid",40.05,4.64,"503",1,164.8,"callovian",1
"7470",35548,"col","Mughanniyya",35.766666,32.183334,"King Talal dam T5",NA,"",15,"Callovian","",166.1,163.5,9529,"gp_mid",40.16,4.6,"503",1,164.8,"callovian",1
"7474",35552,"col","Mughanniyya",35.633331,32.166668,"Deir-Alla 2 B3",NA,"",5,"Callovian","",166.1,163.5,9529,"gp_mid",40.05,4.64,"503",1,164.8,"callovian",1
"7476",35554,"col","Mughanniyya",35.766666,32.183334,"King Talal dam T3",NA,"",1,"Callovian","",166.1,163.5,9529,"gp_mid",40.16,4.6,"503",1,164.8,"callovian",1
"7509",35664,"col","Mughanniyya",35.633331,32.166668,"Deir-Alla 2 B5",NA,"",4,"Callovian","",166.1,163.5,9529,"gp_mid",40.05,4.64,"503",1,164.8,"callovian",1
"7510",35665,"col","Mughanniyya",35.633331,32.166668,"Deir-Alla 2 B1",NA,"",1,"Callovian","",166.1,163.5,9529,"gp_mid",40.05,4.64,"503",1,164.8,"callovian",1
"7511",35666,"col","Mughanniyya",35.766666,32.183334,"King Talal dam T2",NA,"",11,"Callovian","",166.1,163.5,9529,"gp_mid",40.16,4.6,"503",1,164.8,"callovian",1
"7512",35667,"col","Mughanniyya",35.766666,32.183334,"King Talal dam T1",NA,"",11,"Callovian","",166.1,163.5,9529,"gp_mid",40.16,4.6,"503",1,164.8,"callovian",1
"7544",35699,"col","Mughanniyya",35.633331,32.099998,"Wadi Nimr R10",NA,"",11,"Callovian","",166.1,163.5,9529,"gp_mid",40.02,4.58,"503",1,164.8,"callovian",1
"7545",35700,"col","Mughanniyya",35.633331,32.099998,"Wadi Nimr R11",NA,"",30,"Callovian","",166.1,163.5,9529,"gp_mid",40.02,4.58,"503",1,164.8,"callovian",1
"7546",35701,"col","Mughanniyya",35.633331,32.099998,"Wadi Nimr R12",NA,"",15,"Callovian","",166.1,163.5,9529,"gp_mid",40.02,4.58,"503",1,164.8,"callovian",1
"7572",35742,"col","Mughanniyya",35.616669,32.116669,"Arda A25",NA,"",10,"Callovian","",166.1,163.5,9529,"gp_mid",40.02,4.6,"503",1,164.8,"callovian",1
"7573",35743,"col","Mughanniyya",35.616669,32.116669,"Arda A26",NA,"",7,"Callovian","",166.1,163.5,9529,"gp_mid",40.02,4.6,"503",1,164.8,"callovian",1
"7578",35748,"col","Mughanniyya",35.700001,32.200001,"Tal el Dhahab S7",NA,"",21,"Callovian","",166.1,163.5,9529,"gp_mid",40.12,4.64,"503",1,164.8,"callovian",1
"7744",36212,"col","Chelva",-1,41,"Association 5",NA,"Myoconcha (M.) rathieriana-Plagiostoma fuersichi association",18,"Callovian","",166.1,163.5,9710,"gp_mid",19.76,25.03,"304",1,164.8,"callovian",1
"7806",36319,"col","",39.406113,-9.361111,"Cox - 39 (S.E. Tanganyika)",NA,"",2,"Callovian","",166.1,163.5,9748,"gp_mid",30.36,-34.5,"701",1,164.8,"callovian",1
"7807",36320,"col","",39.406944,-9.363056,"Cox - 40 (S.E. Tanganyika)",NA,"",1,"Callovian","",166.1,163.5,9748,"gp_mid",30.36,-34.5,"701",1,164.8,"callovian",1
"7812",36325,"col","",39.422222,-9.366667,"Cox - 45 (S.E. Tanganyika)",NA,"",1,"Callovian","",166.1,163.5,9748,"gp_mid",30.38,-34.51,"701",1,164.8,"callovian",1
"7831",36344,"col","",39.419445,-9.36,"Cox - 64 (S.E. Tanganyika)",NA,"",5,"Callovian","",166.1,163.5,9748,"gp_mid",30.38,-34.51,"701",1,164.8,"callovian",1
"7833",36346,"col","",39.422501,-9.367222,"Cox - 66 (S.E. Tanganyika)",NA,"",1,"Callovian","",166.1,163.5,9748,"gp_mid",30.38,-34.51,"701",1,164.8,"callovian",1
"7834",36347,"col","",39.406944,-9.362222,"Cox - 67 (S.E. Tanganyika)",NA,"",1,"Callovian","",166.1,163.5,9748,"gp_mid",30.36,-34.5,"701",1,164.8,"callovian",1
"7835",36348,"col","",39.408054,-9.362778,"Cox - 68 (S.E. Tanganyika)",NA,"",2,"Callovian","",166.1,163.5,9748,"gp_mid",30.36,-34.5,"701",1,164.8,"callovian",1
"7836",36349,"col","",39.407223,-9.363333,"Cox - 69 (S.E. Tanganyika)",NA,"",1,"Callovian","",166.1,163.5,9748,"gp_mid",30.36,-34.5,"701",1,164.8,"callovian",1
"7837",36350,"col","",39.437778,-9.426667,"Cox - 70 (S.E. Tanganyika)",NA,"",2,"Callovian","",166.1,163.5,9748,"gp_mid",30.36,-34.57,"701",1,164.8,"callovian",1
"7840",36353,"col","",39.412498,-9.356944,"Cox - 73 (S.E. Tanganyika)",NA,"",1,"Callovian","",166.1,163.5,9748,"gp_mid",30.37,-34.5,"701",1,164.8,"callovian",1
"7842",36355,"col","",39.393055,-9.294444,"Cox - 75 (S.E. Tanganyika)",NA,"",3,"Callovian","",166.1,163.5,9748,"gp_mid",30.38,-34.44,"701",1,164.8,"callovian",1
"7843",36356,"col","",39.386391,-9.289722,"Cox - 76 (S.E. Tanganyika)",NA,"",1,"Callovian","",166.1,163.5,9748,"gp_mid",30.37,-34.43,"701",1,164.8,"callovian",1
"7849",36362,"col","",39.41111,-9.392222,"Cox - 82 (S.E. Tanganyika)",NA,"",1,"Callovian","",166.1,163.5,9748,"gp_mid",30.35,-34.53,"701",1,164.8,"callovian",1
"7885",36408,"col","",38.318611,-6.8125,"Cox - 98 (E. Tanganyika)",NA,"",2,"Callovian","",166.1,163.5,9748,"gp_mid",30.38,-31.73,"701",1,164.8,"callovian",1
"7886",36409,"col","",38.333332,-6.816667,"Cox - 99 (E. Tanganyika)",NA,"",1,"Callovian","",166.1,163.5,9748,"gp_mid",30.4,-31.74,"701",1,164.8,"callovian",1
"7887",36410,"col","",38.337502,-6.816667,"Cox - 100 (E. Tanganyika)",NA,"",1,"Callovian","",166.1,163.5,9748,"gp_mid",30.4,-31.75,"701",1,164.8,"callovian",1
"7888",36411,"col","",38.366669,-6.816667,"Cox - 101 (E. Tanganyika)",NA,"",2,"Callovian","",166.1,163.5,9748,"gp_mid",30.43,-31.76,"701",1,164.8,"callovian",1
"7889",36412,"col","",38.349998,-6.816667,"Cox - 102 (E. Tanganyika)",NA,"",3,"Callovian","",166.1,163.5,9748,"gp_mid",30.41,-31.75,"701",1,164.8,"callovian",1
