"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"57",1217,"col","Brightseat",-76.958054,38.968334,"Central Ave., 2-3 feet above base, Brightseat Fm., Maryland",NA,"",0,"Danian","",66,61.6,38,"gp_mid",-43.25,40.44,"109",1,63.8,"danian",1
"58",1223,"col","Brightseat",-76.958054,38.968334,"Central Ave., 3-5 feet above base, Brightseat Fm., Maryland",NA,"",0,"Danian","",66,61.6,38,"gp_mid",-43.25,40.44,"109",1,63.8,"danian",1
"59",1224,"col","",-76.958054,38.968334,"Central Ave., 6-8 feet above base, Brightseat Fm., Maryland",NA,"",0,"Danian","",66,61.6,38,"gp_mid",-43.25,40.44,"109",1,63.8,"danian",1
"786",2807,"col","Clayton",-85.449722,31.878056,"ABa-1 (Clayton Fm)",NA,"",4,"Danian","",66,61.6,124,"gp_mid",-54.82,36.42,"109",1,63.8,"danian",1
"787",2808,"col","Clayton",-85.449722,31.878056,"ABa-3 (Clayton Fm)",NA,"",2,"Danian","",66,61.6,124,"gp_mid",-54.82,36.42,"109",1,63.8,"danian",1
"788",2809,"col","Clayton",-86.617775,31.829445,"ABu-1",NA,"",10,"Danian","",66,61.6,124,"gp_mid",-56,36.73,"109",1,63.8,"danian",1
"789",2810,"col","Clayton",-86.617775,31.829445,"ABu-6 (Clayton Fm)",NA,"",6,"Danian","",66,61.6,124,"gp_mid",-56,36.73,"109",1,63.8,"danian",1
"790",2811,"col","Clayton",-86.881943,31.903334,"ABu-10",NA,"",4,"Danian","",66,61.6,124,"gp_mid",-56.23,36.88,"109",1,63.8,"danian",1
"791",2812,"col","Clayton",-86.881943,31.903334,"ABu-11 (Clayton Fm)",NA,"",6,"Danian","",66,61.6,124,"gp_mid",-56.23,36.88,"109",1,63.8,"danian",1
"792",2813,"col","Clayton",-86.313889,31.953333,"ACr-2",NA,"",3,"Danian","",66,61.6,124,"gp_mid",-55.64,36.75,"109",1,63.8,"danian",1
"793",2815,"col","Clayton",-87.07,31.9,"AWi-3, Pine Barren Creek",NA,"",23,"Danian","",66,61.6,124,"gp_mid",-56.42,36.93,"109",1,63.8,"danian",1
"799",2832,"col","Clayton",-84.800003,31.895,"GRa-1, Grier Cave",NA,"",11,"Danian","",66,61.6,124,"gp_mid",-54.17,36.25,"109",1,63.8,"danian",1
"800",2824,"col","Clayton",-84.863892,30.708611,"GCl-1 (Clayton Fm)",NA,"",2,"Danian","",66,61.6,124,"gp_mid",-54.75,35.15,"109",1,63.8,"danian",1
"801",2825,"col","Clayton",-84.863892,30.708611,"GCl-2 (Clayton Fm)",NA,"",4,"Danian","",66,61.6,124,"gp_mid",-54.75,35.15,"109",1,63.8,"danian",1
"804",2837,"col","Clayton",-85.610558,31.708611,"ABa-2",NA,"",8,"Danian","",66,61.6,124,"gp_mid",-55.05,36.31,"109",1,63.8,"danian",1
"805",2838,"col","Clayton",-86.683998,31.925501,"ABu-4, east of Cedar Creek",NA,"",10,"Danian","",66,61.6,124,"gp_mid",-56.02,36.84,"109",1,63.8,"danian",1
"806",2839,"col","Clayton",-86.690002,31.917,"ABu-7, Cedar Creek",NA,"",8,"Danian","",66,61.6,124,"gp_mid",-56.03,36.83,"109",1,63.8,"danian",1
"807",2840,"col","Clayton",-86.695999,31.931,"ABu-8, north of Cedar Creek",NA,"",9,"Danian","",66,61.6,124,"gp_mid",-56.03,36.85,"109",1,63.8,"danian",1
"808",2841,"col","Clayton",-86.706001,31.950001,"ABu-12, Braggs Road",NA,"",7,"Danian","",66,61.6,124,"gp_mid",-56.03,36.87,"109",1,63.8,"danian",1
"809",2842,"col","Clayton",-86.263885,31.716389,"ACr-1 (Clayton Fm)",NA,"",7,"Danian","",66,61.6,124,"gp_mid",-55.7,36.52,"109",1,63.8,"danian",1
"810",2843,"col","Clayton",-84.863892,30.708611,"AHe-1",NA,"",2,"Danian","",66,61.6,124,"gp_mid",-54.75,35.15,"109",1,63.8,"danian",1
"811",2845,"col","Clayton",-84.863892,30.708611,"AHe-2 (Clayton Fm)",NA,"",5,"Danian","",66,61.6,124,"gp_mid",-54.75,35.15,"109",1,63.8,"danian",1
