"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"5214",28929,"col","",8,48,"Engstlatt 14",NA,"",9,"Hettangian","",201.3,199.3,7918,"gp_mid",18.49,36.1,"305",1,200.3,"hettangian",1
"5215",28930,"col","",8,48,"Engstlatt 15",NA,"",4,"Hettangian","",201.3,199.3,7918,"gp_mid",18.49,36.1,"305",1,200.3,"hettangian",1
"5750",31914,"col","",-8.466667,40.5,"Hettangian, Sangalhos, Portugal",NA,"",7,"Hettangian","",201.3,199.3,8562,"gp_mid",8.36,27.96,"304",1,200.3,"hettangian",1
"6475",33356,"col","Sutton",-3.505,51.449001,"Sutton Stone, Southerndown, Ogmore-by-Sea, South Wales",NA,"",8,"Hettangian","",201.3,199.3,8862,"gp_mid",8.38,35.81,"315",1,200.3,"hettangian",1
"6596",33490,"col","",-4.1,52.817001,"Mochras Borehole 1, near Llanbedr, North Wales",NA,"",3,"Hettangian","",201.3,199.3,8883,"gp_mid",7.24,36.89,"315",1,200.3,"hettangian",1
"6603",33502,"col","",9.95,52.317001,"Sample X/1 (99608), Mittelland canal, Sehnde, Lower Saxony",NA,"",4,"Hettangian","",201.3,199.3,8907,"gp_mid",17.18,40.48,"315",1,200.3,"hettangian",1
"6604",33503,"col","",9.95,52.317001,"Sample X/2 (99609), Mittelland canal, Sehnde, Lower Saxony",NA,"",4,"Hettangian","",201.3,199.3,8907,"gp_mid",17.18,40.48,"315",1,200.3,"hettangian",1
"6606",33505,"col","",9.95,52.317001,"Sample X/5 (99611), Mittelland canal, Sehnde, Lower Saxony",NA,"",3,"Hettangian","",201.3,199.3,8907,"gp_mid",17.18,40.48,"315",1,200.3,"hettangian",1
"6607",33506,"col","",9.95,52.317001,"Sample X/6 (99612), Mittelland canal, Sehnde, Lower Saxony",NA,"",3,"Hettangian","",201.3,199.3,8907,"gp_mid",17.18,40.48,"315",1,200.3,"hettangian",1
"6608",33507,"col","",9.95,52.317001,"Sample X/9 (99613), Mittelland canal, Sehnde, Lower Saxony",NA,"",10,"Hettangian","",201.3,199.3,8907,"gp_mid",17.18,40.48,"315",1,200.3,"hettangian",1
