"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"11182",20659,"col","Mt. Facito",15.65,40.48,"Mt. Facito, Appeninnes, Reef",NA,"Reef 176",50,"Ladinian","",242,237,6335,"gp_mid",31.2,11.12,"307",239.5,"ladinian",2038,15.4785,8.0127,46,1
"11187",20667,"col","Mt. Facito",15.65,40.48,"Mt. Facito, Marls, Appeninnes",NA,"",19,"Ladinian","",242,237,6335,"gp_mid",31.2,11.12,"307",239.5,"ladinian",2038,15.4785,8.0127,46,1
"12623",23867,"col","Wetterstein Limestone",20,48,"Silicka",NA,"",106,"Ladinian","",242,237,13310,"gp_mid",39.39,12.51,"308",239.5,"ladinian",2343,23.4856,29.4151,46,1
"13088",24669,"col","",18.3,46.6,"Mecsek Mountains (2)",NA,"",16,"Ladinian","",242,237,6929,"gp_mid",37.54,12.73,"308",239.5,"ladinian",2462,23.4856,29.4151,46,1
"13107",24693,"col","",11.7,46.5,"Val Gardena",NA,"",5,"Ladinian","",242,237,6939,"gp_mid",35.1,16.6,"307",239.5,"ladinian",2468,19.3809,25.8877,46,1
"13108",24697,"col","",11.6,46.5,"Alpe Di Siusi",NA,"",7,"Ladinian","",242,237,6938,"gp_mid",35.06,16.66,"307",239.5,"ladinian",2469,19.3809,25.8877,46,1
"13109",24698,"col","",11.7,46.5,"Val Gardena",NA,"",8,"Ladinian","",242,237,6938,"gp_mid",35.1,16.6,"307",239.5,"ladinian",2468,19.3809,25.8877,46,1
"13110",24699,"col","",11.9,46.6,"Val Badia",NA,"",6,"Ladinian","",242,237,6938,"gp_mid",35.26,16.53,"307",239.5,"ladinian",2470,19.3809,25.8877,46,1
"13111",24700,"col","",12.1,46.4,"Pelmo Zoldano",NA,"",16,"Ladinian","",242,237,6938,"gp_mid",35.14,16.31,"307",239.5,"ladinian",2471,19.3809,25.8877,46,1
"13167",24814,"col","",9,48.5,"Baden-Wurttemberg",NA,"",18,"Ladinian","",242,237,6929,"gp_mid",27.72,28.06,"305",239.5,"ladinian",2492,17.2823,24.2134,46,1
"13171",24821,"col","",10.6,52.2,"Subherzynische Senke",NA,"",16,"Ladinian","",242,237,6929,"gp_mid",27.75,31.9,"315",239.5,"ladinian",2496,15.5424,29.5434,46,1
"14096",36694,"col","",73.33,37.58,"Kattamardzhanay reef, Tajikistan",NA,"Reef 22",9,"Ladinian","",242,237,9785,"gp_mid",85.51,40.46,"601",239.5,"ladinian",2746,84.1979,32.0491,46,1
"17677",31898,"col","",34.82,30.6,"Ophiuroidea, Ladinian, Makhtesh Ramon, Negev, Israel",NA,"",1,"Ladinian","",242,237,8560,"gp_mid",38.98,-1.9,"508",239.5,"ladinian",3564,30.7115,-7.4909,46,1
"17774",31995,"col","Muschelkalk",11.58,51.92,"Ophiuroid, Muschelkalk, Atzendorf, Sachsen-Anhalt",NA,"",2,"Ladinian","",242,237,8572,"gp_mid",28.52,31.79,"315",239.5,"ladinian",3588,15.5424,29.5434,46,1
"18522",32922,"col","Laibuxi",90,32,"Laibuxi Formation, Xizang (Tibet)",NA,"",3,"Ladinian","",242,237,8826,"gp_mid",70.08,-32.03,"613",239.5,"ladinian",3723,97.1262,24.7871,46,1
"19021",33438,"col","Augusta",-117.48,39.61,"New Pass Mine, Austin, Central Nevada",NA,"",3,"Ladinian","",242,237,8877,"gp_mid",-38.97,23.27,"101",239.5,"ladinian",3806,-49.0706,12.3423,46,1
"21301",36534,"col","",15.23,46.23,"Celje reef, Slovenia",NA,"Reef 18",4,"Ladinian","",242,237,9773,"gp_mid",36.09,14.34,"307",239.5,"ladinian",4285,17.4605,12.6171,46,1
"21378",36636,"col","Wetterstein Limestone",20.58,48.58,"K. Zakazane, Silica Plateau, Slovakia",34882,"Reef 170",4,"Ladinian","",242,237,9813,"gp_mid",40.1,12.5,"308",239.5,"ladinian",4306,23.4856,29.4151,46,1
"21379",36637,"col","Wetterstein Limestone",20.53,48.62,"Jovice, Silica Plateau, Slovakia",34882,"Reef 170",3,"Ladinian","",242,237,9813,"gp_mid",40.11,12.55,"308",239.5,"ladinian",4307,23.4856,29.4151,46,1
"21380",36638,"col","Wetterstein Limestone",20.62,48.62,"Lipovnicky salas, Silica Plateau, Slovakia",34882,"Reef 170",1,"Ladinian","",242,237,9813,"gp_mid",40.15,12.5,"308",239.5,"ladinian",4308,23.4856,29.4151,46,1
"21381",36639,"col","Wetterstein Limestone",17.33,48.5,"Vajarska quarry, Slovakia",NA,"Reef 171",4,"Ladinian","",242,237,9813,"gp_mid",38.85,14.28,"308",239.5,"ladinian",4309,23.4856,29.4151,46,1
"21382",36640,"col","Wetterstein Limestone",17.3,48.52,"Plavecky Mikulas, Slovakia",NA,"Reef 171",2,"Ladinian","",242,237,9813,"gp_mid",38.85,14.31,"308",239.5,"ladinian",4310,23.4856,29.4151,46,1
"21383",36641,"col","Wetterstein Limestone",17.3,48.52,"Slatina-Bebravou, Slovakia",NA,"Reef 3310",4,"Ladinian","",242,237,9813,"gp_mid",38.85,14.31,"308",239.5,"ladinian",4310,23.4856,29.4151,46,1
"21384",36642,"col","Wetterstein Limestone",18.48,49,"Predhorie, Slovakia",NA,"Reef 3310",6,"Ladinian","",242,237,9813,"gp_mid",39.7,13.89,"308",239.5,"ladinian",4311,21.3872,31.1375,46,1
"21385",36643,"col","Wetterstein Limestone",18.3,48.85,"Sipkov, Slovakia",NA,"Reef 3310",2,"Ladinian","",242,237,9813,"gp_mid",39.5,13.92,"308",239.5,"ladinian",4312,21.3872,31.1375,46,1
"21386",36644,"col","Wetterstein Limestone",18.22,48.9,"Omsenie, Zihlavnik, Slovakia",NA,"Reef 3310",1,"Ladinian","",242,237,9813,"gp_mid",39.52,13.99,"308",239.5,"ladinian",4313,21.3872,31.1375,46,1
"21387",36645,"col","Wetterstein Limestone",20.42,48.58,"Stit, Plesivec Plateau, Slovakia",NA,"Reef 170",8,"Ladinian","",242,237,9813,"gp_mid",40.04,12.6,"308",239.5,"ladinian",4314,23.4856,29.4151,46,1
"21388",36646,"col","Wetterstein Limestone",20.38,48.53,"Mala Ladnica, Plesivec Plateau, Slovakia",NA,"Reef 170",1,"Ladinian","",242,237,9813,"gp_mid",39.99,12.59,"308",239.5,"ladinian",4315,23.4856,29.4151,46,1
