"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"80",1334,"col","",44,49,"Jablonski & Raup Locality 83",NA,"",70,"Maastrichtian","",72.1,66,40,"gp_mid",45.87,35.13,"302",1,69.05,"maastrichtian",1
"82",1343,"col","",55,49,"Jablonski & Raup Locality 111",NA,"",37,"Maastrichtian","",72.1,66,40,"gp_mid",54.69,35.64,"302",1,69.05,"maastrichtian",1
"83",1350,"col","",57.166668,38.416668,"Jablonski & Raup Locality 127",NA,"",54,"Maastrichtian","",72.1,66,40,"gp_mid",57.71,25.26,"402",1,69.05,"maastrichtian",1
"87",1388,"col","",34.083332,44.5,"Jablonski & Raup Locality 207",NA,"",70,"Maastrichtian","",72.1,66,40,"gp_mid",37.88,30.51,"302",1,69.05,"maastrichtian",1
"1075",3907,"col","Maastricht",5.68,50.865002,"Belvédère, Caberg",NA,"",1,"Late Maastrichtian","",70.6,66,265,"gp_mid",15.09,38.46,"315",1,68.3,"maastrichtian",1
"1076",3908,"col","Maastricht",5.98,50.865002,"Benzenrade (Vlieks collection)",NA,"",3,"Late Maastrichtian","",70.6,66,265,"gp_mid",15.33,38.43,"315",1,68.3,"maastrichtian",1
"1077",3909,"col","Maastricht",5.625,50.794998,"Zichen (KBIN collection)",NA,"",1,"Late Maastrichtian","",70.6,66,265,"gp_mid",15.03,38.4,"315",1,68.3,"maastrichtian",1
"1082",3913,"col","Gulpen",5.66,50.755001,"Loën (NHMM collection)",NA,"",2,"Early Maastrichtian","",70.6,66,265,"gp_mid",15.05,38.35,"315",1,68.3,"maastrichtian",1
"1083",3914,"col","Maastricht",5.935,50.875,"Kunrade (NHMM collection)",NA,"",1,"Late Maastrichtian","",70.6,66,265,"gp_mid",15.29,38.45,"315",1,68.3,"maastrichtian",1
"1084",3915,"col","Maastricht",5.765,50.830002,"Cadier en Keer",NA,"",2,"Late Maastrichtian","",70.6,66,265,"gp_mid",15.15,38.42,"315",1,68.3,"maastrichtian",1
"1208",4209,"col","Prairie Bluff",-86.991669,32.049999,"Sohl and Koch OFR # 142",NA,"S Minter; USGS # 30733",23,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.89,37.99,"109",1,68.3,"maastrichtian",1
"1209",4210,"col","Prairie Bluff",-86.991669,32.049999,"Sohl and Koch OFR # 143",NA,"S Minter; USGS # 30734",25,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.89,37.99,"109",1,68.3,"maastrichtian",1
"1210",4211,"col","Prairie Bluff",-86.991669,32.049999,"Sohl and Koch OFR # 144",NA,"; USGS # 30735",35,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.89,37.99,"109",1,68.3,"maastrichtian",1
"1211",4212,"col","Prairie Bluff",-86.991669,32.049999,"Sohl and Koch OFR # 145",NA,"; USGS # 30736",29,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.89,37.99,"109",1,68.3,"maastrichtian",1
"1212",4213,"col","Prairie Bluff",-86.807777,32.051666,"Sohl and Koch OFR # 146",NA,"Braggs Cut; USGS # 30674",41,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.71,37.93,"109",1,68.3,"maastrichtian",1
"1213",4214,"col","Prairie Bluff",-86.805557,32.049999,"Sohl and Koch OFR # 147",NA,"Braggs Cut; USGS # 30847",38,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.71,37.93,"109",1,68.3,"maastrichtian",1
"1214",4215,"col","Prairie Bluff",-86.794441,32.038891,"Sohl and Koch OFR # 148",NA,"Braggs Cut; USGS # 30668",60,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.7,37.91,"109",1,68.3,"maastrichtian",1
"1215",4216,"col","Prairie Bluff",-86.78389,32.038891,"Sohl and Koch OFR # 149",NA,"Braggs Cut; USGS # 30669",82,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.69,37.91,"109",1,68.3,"maastrichtian",1
"1216",4217,"col","Prairie Bluff",-86.724442,31.966667,"Sohl and Koch OFR # 150",NA,"Braggs Cut; USGS # 30660",41,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.67,37.82,"109",1,68.3,"maastrichtian",1
"1217",4218,"col","Prairie Bluff",-86.702782,31.950001,"Sohl and Koch OFR # 151",NA,"Braggs Cut; USGS # 30658",14,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.65,37.8,"109",1,68.3,"maastrichtian",1
"1218",4219,"col","Prairie Bluff",-86.702782,31.950001,"Sohl and Koch OFR # 152",NA,"Braggs Cut; USGS # 30657",36,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.65,37.8,"109",1,68.3,"maastrichtian",1
"1219",4220,"col","Prairie Bluff",-86.702782,31.950001,"Sohl and Koch OFR # 153",NA,"Braggs Cut; USGS # 30844",17,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.65,37.8,"109",1,68.3,"maastrichtian",1
"1220",4221,"col","Prairie Bluff",-86.724442,31.966667,"Sohl and Koch OFR # 154",NA,"Braggs Cut; USGS # 30663",14,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.67,37.82,"109",1,68.3,"maastrichtian",1
"1221",4222,"col","Prairie Bluff",-86.724442,31.966667,"Sohl and Koch OFR # 155",NA,"Braggs Cut; USGS # 30663",31,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.67,37.82,"109",1,68.3,"maastrichtian",1
"1222",4223,"col","Prairie Bluff",-86.724442,31.966667,"Sohl and Koch OFR # 156",NA,"Braggs Cut; USGS # 30663",23,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.67,37.82,"109",1,68.3,"maastrichtian",1
"1223",4224,"col","Prairie Bluff",-86.724442,31.966667,"Sohl and Koch OFR # 157",NA,"Braggs Cut; USGS # 30846",26,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.67,37.82,"109",1,68.3,"maastrichtian",1
"1224",4225,"col","Prairie Bluff",-86.724442,31.966667,"Sohl and Koch OFR # 158",NA,"Braggs Cut; USGS # 30665",64,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.67,37.82,"109",1,68.3,"maastrichtian",1
"1225",4226,"col","Prairie Bluff",-86.724442,31.966667,"Sohl and Koch OFR # 159",NA,"Braggs Cut; USGS # 30659",36,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.67,37.82,"109",1,68.3,"maastrichtian",1
"1226",4227,"col","Prairie Bluff",-86.724442,31.966667,"Sohl and Koch OFR # 160",NA,"Braggs Cut; USGS # 30662",10,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.67,37.82,"109",1,68.3,"maastrichtian",1
"1227",4228,"col","Prairie Bluff",-86.479164,32,"Sohl and Koch OFR # 161",NA,"SW Sandy Ridge; USGS # 17543",41,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.41,37.78,"109",1,68.3,"maastrichtian",1
"1228",4229,"col","Prairie Bluff",-86.479164,32,"Sohl and Koch OFR # 162",NA,"SW Sandy Ridge; USGS # 19075",36,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.41,37.78,"109",1,68.3,"maastrichtian",1
"1229",4230,"col","Prairie Bluff",-86,31.976944,"Sohl and Koch OFR # 163",NA,"Near Orion; USGS # 27529",90,"Late Maastrichtian","",70.6,66,283,"gp_mid",-52.94,37.6,"109",1,68.3,"maastrichtian",1
"1230",4231,"col","Prairie Bluff",-86,31.976944,"Sohl and Koch OFR # 164",NA,"N Orion; USGS # 27914",47,"Late Maastrichtian","",70.6,66,283,"gp_mid",-52.94,37.6,"109",1,68.3,"maastrichtian",1
"1231",4232,"col","Prairie Bluff",-86,31.976944,"Sohl and Koch OFR # 165",NA,"Near Orion; USGS # 27915",20,"Late Maastrichtian","",70.6,66,283,"gp_mid",-52.94,37.6,"109",1,68.3,"maastrichtian",1
"1232",4233,"col","Prairie Bluff",-86.166664,31.916668,"Sohl and Koch OFR # 166",NA,"SSW Shady Grove; USGS # 30680",15,"Late Maastrichtian","",70.6,66,283,"gp_mid",-53.14,37.6,"109",1,68.3,"maastrichtian",1
"1233",4234,"col","Prairie Bluff",-85.923058,31.9825,"Sohl and Koch OFR # 167",NA,"Near China Grove; USGS # 27533 : 27959",35,"Late Maastrichtian","",70.6,66,283,"gp_mid",-52.86,37.58,"109",1,68.3,"maastrichtian",1
"1234",4235,"col","Prairie Bluff",-85.923058,31.9825,"Sohl and Koch OFR # 168",NA,"Near China Grove; USGS # 27959",22,"Late Maastrichtian","",70.6,66,283,"gp_mid",-52.86,37.58,"109",1,68.3,"maastrichtian",1
"1235",4236,"col","Prairie Bluff",-85.923058,31.985832,"Sohl and Koch OFR # 170",NA,"S China Grove; USGS # 27532",40,"Late Maastrichtian","",70.6,66,283,"gp_mid",-52.86,37.58,"109",1,68.3,"maastrichtian",1
"1236",4237,"col","Prairie Bluff",-86,31.971111,"Sohl and Koch OFR # 180",NA,"Orion; USGS # 27913 : 27530",106,"Late Maastrichtian","",70.6,66,281,"gp_mid",-52.94,37.59,"109",1,68.3,"maastrichtian",1
"1237",4238,"col","Providence",-86.173615,31.907778,"Sohl and Koch OFR # 201",NA,"Shady Grove; USGS # 30681",64,"Early Maastrichtian","",70.6,66,283,"gp_mid",-53.15,37.59,"109",1,68.3,"maastrichtian",1
"1238",4239,"col","Providence",-86.075554,31.871389,"Sohl and Koch OFR # 202",NA,"Shellhorn RD; USGS # 27527",48,"Early Maastrichtian","",70.6,66,283,"gp_mid",-53.07,37.53,"109",1,68.3,"maastrichtian",1
"1239",4240,"col","Providence",-86,31.971111,"Sohl and Koch OFR # 203",NA,"N Orion; USGS # 27912 : 27528",46,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.94,37.59,"109",1,68.3,"maastrichtian",1
"1240",4241,"col","Providence",-86,31.971111,"Sohl and Koch OFR # 204",NA,"N Orion; USGS # 27528",26,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.94,37.59,"109",1,68.3,"maastrichtian",1
"1241",4242,"col","Providence",-85.945831,31.863056,"Sohl and Koch OFR # 205",NA,"; USGS # 26998",42,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.94,37.48,"109",1,68.3,"maastrichtian",1
"1242",4243,"col","Providence",-85.816666,31.920279,"Sohl and Koch OFR # 206",NA,"Near Linwood; USGS # 30677",25,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.79,37.49,"109",1,68.3,"maastrichtian",1
"1243",4244,"col","Providence",-85.816666,31.920279,"Sohl and Koch OFR # 207",NA,"Near Linwood; USGS # 30675",30,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.79,37.49,"109",1,68.3,"maastrichtian",1
"1244",4245,"col","Providence",-85.816666,31.920279,"Sohl and Koch OFR # 208",NA,"Near Linwood; USGS # 20676",39,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.79,37.49,"109",1,68.3,"maastrichtian",1
"1245",4246,"col","Providence",-85.816666,31.920279,"Sohl and Koch OFR # 209",NA,"Near Linwood; USGS # 30674",40,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.79,37.49,"109",1,68.3,"maastrichtian",1
"1246",4247,"col","Providence",-85.702782,31.890556,"Sohl and Koch OFR # 210",NA,"Double Ck; USGS # 26990 : 25484",108,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.69,37.42,"109",1,68.3,"maastrichtian",1
"1247",4248,"col","Providence",-85.68,31.951389,"Sohl and Koch OFR # 211",NA,"ENE Perote; USGS # 25479",71,"Early Maastrichtian","",70.6,66,281,"gp_mid",-52.64,37.47,"109",1,68.3,"maastrichtian",1
"1248",4249,"col","Providence",-85.68,31.951389,"Sohl and Koch OFR # 212",NA,"ENE Perote; USGS # 25477",34,"Early Maastrichtian","",70.6,66,281,"gp_mid",-52.64,37.47,"109",1,68.3,"maastrichtian",1
"1249",4250,"col","Providence",-85.68,31.951389,"Sohl and Koch OFR # 213",NA,"E Perote; USGS # 31357",57,"Early Maastrichtian","",70.6,66,281,"gp_mid",-52.64,37.47,"109",1,68.3,"maastrichtian",1
"1250",4251,"col","Providence",-85.347221,31.921389,"Sohl and Koch OFR # 214",NA,"Batesville; USGS # 27898",31,"Early Maastrichtian","",70.6,66,281,"gp_mid",-52.32,37.34,"109",1,68.3,"maastrichtian",1
"1251",4252,"col","Providence",-85.345558,31.921944,"Sohl and Koch OFR # 215",NA,"Batesville-White Oak; USGS # 31354",45,"Early Maastrichtian","",70.6,66,281,"gp_mid",-52.32,37.34,"109",1,68.3,"maastrichtian",1
"1252",4253,"col","Providence",-86.112503,31.941668,"Sohl and Koch OFR # 216",NA,"Baker Hill; USGS # 30679",66,"Early Maastrichtian","",70.6,66,283,"gp_mid",-53.07,37.6,"109",1,68.3,"maastrichtian",1
"1253",4254,"col","Providence",-85.21833,31.84111,"Sohl and Koch OFR # 217",NA,"Cheneyhatchee Ck; USGS # 26973",71,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.24,37.22,"109",1,68.3,"maastrichtian",1
"1254",4255,"col","Providence",-85.219719,31.840279,"Sohl and Koch OFR # 218",NA,"Cheneyhatchee Ck; USGS # 27524 : 27899",93,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.24,37.22,"109",1,68.3,"maastrichtian",1
"1255",4256,"col","Providence",-85.211388,31.842501,"Sohl and Koch OFR # 219",NA,"; USGS # 27901",45,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.23,37.22,"109",1,68.3,"maastrichtian",1
"1256",4257,"col","Ripley",-85.129997,31.794443,"Sohl and Koch OFR # 220",NA,"7.65mi S Eufaula; USGS # 27549",23,"Maastrichtian","",72.1,66,283,"gp_mid",-51.57,37.2,"109",1,69.05,"maastrichtian",1
"1257",4258,"col","Ripley",-85.1325,31.790556,"Sohl and Koch OFR # 221",NA,"8.2mi S Eufaula; USGS # 26000",10,"Maastrichtian","",72.1,66,283,"gp_mid",-51.58,37.2,"109",1,69.05,"maastrichtian",1
"1258",4259,"col","Providence",-85.680275,31.951668,"Sohl and Koch OFR # 222",NA,"NE Perote; USGS # 32823",54,"Early Maastrichtian","",70.6,66,281,"gp_mid",-52.64,37.47,"109",1,68.3,"maastrichtian",1
"1259",4260,"col","Providence",-85.680275,31.951668,"Sohl and Koch OFR # 223",NA,"NE Perote; USGS # 32824",21,"Early Maastrichtian","",70.6,66,281,"gp_mid",-52.64,37.47,"109",1,68.3,"maastrichtian",1
"1260",4261,"col","Providence",-85.139999,31.780832,"Sohl and Koch OFR # 224",NA,"Alexanders Landing; USGS # 2551 : 28423 : 25995",40,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.19,37.14,"109",1,68.3,"maastrichtian",1
"1261",4262,"col","Providence",-85.123337,31.749722,"Sohl and Koch OFR # 225",NA,"10 mi S Eufaula; USGS # 28425",54,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.19,37.1,"109",1,68.3,"maastrichtian",1
"1262",4263,"col","Providence",-85.127777,31.761667,"Sohl and Koch OFR # 226",NA,"10.4mi S Eufaula; USGS # 28426",55,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.18,37.12,"109",1,68.3,"maastrichtian",1
"1263",4264,"col","Providence",-85.128059,31.758612,"Sohl and Koch OFR # 227",NA,"10.7mi S Eufaula; USGS # 27559",46,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.19,37.11,"109",1,68.3,"maastrichtian",1
"1264",4265,"col","Providence",-85.1175,31.730833,"Sohl and Koch OFR # 228",NA,"12.9mi S Eufaula; USGS # 27560",72,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.19,37.09,"109",1,68.3,"maastrichtian",1
"1265",4266,"col","Providence",-85.1175,31.730833,"Sohl and Koch OFR # 229",NA,"12.9mi S Eufaula; USGS # 27560",42,"Early Maastrichtian","",70.6,66,283,"gp_mid",-52.19,37.09,"109",1,68.3,"maastrichtian",1
