"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"7165",34687,"col","Novaglie",18.366667,39.783333,"Salento Peninsula, Halimeda bioherms",NA,"Reef 3206",8,"Messinian","",7.246,5.333,9186,"gp_mid",19.1,38.22,"307",1,6.2895,"messinian",1
"7166",34688,"col","Novaglie",18.383333,39.866669,"Salento Peninsula, Porites reefs",NA,"Reef 3205",27,"Messinian","",7.246,5.333,9186,"gp_mid",19.12,38.31,"307",1,6.2895,"messinian",1
"10533",41028,"col","Seroe Domi",-68.900002,12.1,"Salina, salinaE_53, Curacao",NA,"Reef 2679",9,"Messinian","",7.246,5.333,11055,"gp_mid",-66.99,12.4,"203",1,6.2895,"messinian",1
"13975",46167,"col","Black Rock Sandstone",145.042221,-37.992779,"Beaumaris",NA,"",70,"Messinian","",7.246,5.333,13630,"gp_mid",146.15,-41.55,"801",1,6.2895,"messinian",1
"15956",50364,"col","Goodwood",142.374435,-37.908051,"Spring Creek, near Minhamite",NA,"",3,"Messinian","",7.246,5.333,59708,"gp_mid",143.33,-41.57,"801",1,6.2895,"messinian",1
"16908",51721,"col","Eastover",-76.78083,37.175278,"Locality 503 (Eastover Fm)",NA,"Pleasant Point",2,"Messinian","",7.246,5.333,13777,"gp_mid",-74.11,37.98,"109",1,6.2895,"messinian",1
"18577",55535,"col","Bahia Inglesa",-70.841667,-27.080833,"Bahia Inglesa",NA,"",14,"Messinian","",7.246,5.333,15001,"gp_mid",-69.47,-26.75,"291",1,6.2895,"messinian",1
"20806",59148,"col","Sisquoc",-120.451111,34.620834,"Celite Company quarry 9",NA,"",3,"Messinian","",7.246,5.333,12663,"gp_mid",-117.94,35.74,"105",1,6.2895,"messinian",1
"21775",60690,"col","Chagres Sandstone",-79.961945,9.147222,"Locality 194 - Toro Limestone",NA,"USGS #8473",4,"Messinian","",7.246,5.333,11306,"gp_mid",-78.46,9.8,"230",1,6.2895,"messinian",1
"21776",60691,"col","Chagres Sandstone",-79.961945,9.147222,"Locality 195 - Toro Limestone",NA,"USGS #8403",6,"Messinian","",7.246,5.333,11306,"gp_mid",-78.46,9.8,"230",1,6.2895,"messinian",1
"21777",60692,"col","Chagres Sandstone",-79.961945,9.147222,"Locality 196 - Toro Limestone",NA,"USGS #8405",14,"Messinian","",7.246,5.333,11306,"gp_mid",-78.46,9.8,"230",1,6.2895,"messinian",1
"21778",60693,"col","Chagres Sandstone",-80.047501,9.146111,"Locality 198 - Chagres Sandstone",NA,"USGS #8484",1,"Messinian","",7.246,5.333,11306,"gp_mid",-78.54,9.8,"230",1,6.2895,"messinian",1
"21779",60694,"col","Chagres Sandstone",-80.047501,9.146111,"Locality 199 - Chagres Sandstone",NA,"USGS #8443",3,"Messinian","",7.246,5.333,11306,"gp_mid",-78.54,9.8,"230",1,6.2895,"messinian",1
"21780",60695,"col","Chagres Sandstone",-81.699997,8.85,"Locality 201 - Chagres Sandstone",NA,"USGS #8439",7,"Messinian","",7.246,5.333,11306,"gp_mid",-80.2,9.53,"230",1,6.2895,"messinian",1
"21781",60696,"col","Chagres Sandstone",-79.961945,9.147222,"Locality 202 - Chagres Sandstone",NA,"USGS #8389",4,"Messinian","",7.246,5.333,11306,"gp_mid",-78.46,9.8,"230",1,6.2895,"messinian",1
"21782",60697,"col","Chagres Sandstone",-80.086113,9.234444,"Locality 203 - Chagres Sandstone",NA,"USGS #8436",2,"Messinian","",7.246,5.333,11306,"gp_mid",-78.58,9.88,"230",1,6.2895,"messinian",1
"21783",60698,"col","Chagres Sandstone",-79.538612,9.229167,"Locality 205 - Chagres Sandstone",NA,"USGS #8387",1,"Messinian","",7.246,5.333,11306,"gp_mid",-78.03,9.87,"230",1,6.2895,"messinian",1
"21784",60699,"col","Chagres Sandstone",-80.047501,9.279444,"Locality 206 - Chagres Sandstone",NA,"USGS #16937",10,"Messinian","",7.246,5.333,11306,"gp_mid",-78.54,9.93,"230",1,6.2895,"messinian",1
"21785",60700,"col","Chagres Sandstone",-80.047501,9.279444,"Locality 206a - Chagres Sandstone",60699,"Stanford #2699",4,"Messinian","",7.246,5.333,11306,"gp_mid",-78.54,9.93,"230",1,6.2895,"messinian",1
"21786",60701,"col","Chagres Sandstone",-80.047501,9.279444,"Locality 206b - Chagres Sandstone",60699,"USGS #16938",5,"Messinian","",7.246,5.333,11306,"gp_mid",-78.54,9.93,"230",1,6.2895,"messinian",1
"21873",60802,"col","",-70.255554,11.201667,"Hodson Loc. 69",NA,"",9,"Messinian","",7.246,5.333,17421,"gp_mid",-68.36,11.52,"203",1,6.2895,"messinian",1
"22071",61044,"col","",-70.166664,10.833333,"Hodson Loc. 98",NA,"",7,"Messinian","",7.246,5.333,17421,"gp_mid",-68.28,11.15,"203",1,6.2895,"messinian",1
"22183",61165,"col","Chagres Sandstone",-79.933334,9.3,"Locality 187 - Toro Limestone",NA,"Stanford University Loc.# 2700",2,"Messinian","",7.246,5.333,11306,"gp_mid",-78.43,9.95,"230",1,6.2895,"messinian",1
"22185",61167,"col","Chagres Sandstone",-79.93,9.262778,"Locality 188 - Toro Limestone",NA,"USGS# 16946",2,"Messinian","",7.246,5.333,11306,"gp_mid",-78.42,9.91,"230",1,6.2895,"messinian",1
"22186",61168,"col","Chagres Sandstone",-79.93,9.262778,"Locality 188a - Toro Limestone",NA,"USGS# 5909",1,"Messinian","",7.246,5.333,11306,"gp_mid",-78.42,9.91,"230",1,6.2895,"messinian",1
"22189",61170,"col","Chagres Sandstone",-79.93,9.262778,"Locality 188b - Toro Limestone",NA,"USGS# 6034",1,"Messinian","",7.246,5.333,11306,"gp_mid",-78.42,9.91,"230",1,6.2895,"messinian",1
"22190",61171,"col","Chagres Sandstone",-79.93,9.262778,"Locality 188c - Toro Limestone",NA,"USGS# 6668",2,"Messinian","",7.246,5.333,11306,"gp_mid",-78.42,9.91,"230",1,6.2895,"messinian",1
"22192",61173,"col","Chagres Sandstone",-79.93,9.262778,"Locality 188d - Toro Limestone",NA,"USGS# 6236",2,"Messinian","",7.246,5.333,11306,"gp_mid",-78.42,9.91,"230",1,6.2895,"messinian",1
"22193",61174,"col","Chagres Sandstone",-79.923332,9.270556,"Locality 188e - Toro Limestone",NA,"USGS# 8442",2,"Messinian","",7.246,5.333,11306,"gp_mid",-78.42,9.92,"230",1,6.2895,"messinian",1
"22196",61177,"col","Chagres Sandstone",-79.917503,9.270556,"Locality 189 - Toro Limestone",NA,"USGS# 8392",1,"Messinian","",7.246,5.333,11306,"gp_mid",-78.41,9.92,"230",1,6.2895,"messinian",1
"22198",61179,"col","Chagres Sandstone",-79.917503,9.270556,"Locality 190 - Toro Limestone",NA,"USGS# 8402",1,"Messinian","",7.246,5.333,11306,"gp_mid",-78.41,9.92,"230",1,6.2895,"messinian",1
"22200",61182,"col","Chagres Sandstone",-79.583336,9.266667,"Locality 192 - Toro Limestone",NA,"USGS# 8404",2,"Messinian","",7.246,5.333,11306,"gp_mid",-78.08,9.91,"230",1,6.2895,"messinian",1
"22201",61183,"col","Chagres Sandstone",-79.917503,9.270556,"Locality 193 - Toro Limestone",NA,"USGS# 8401",3,"Messinian","",7.246,5.333,11306,"gp_mid",-78.41,9.92,"230",1,6.2895,"messinian",1
"22202",61184,"col","Chagres Sandstone",-79.917503,9.270556,"Locality 197 - Chagres Sandstone",NA,"USGS #8482",3,"Messinian","",7.246,5.333,11306,"gp_mid",-78.41,9.92,"230",1,6.2895,"messinian",1
"22203",61186,"col","Chagres Sandstone",-81.699997,8.85,"Locality 200 - Chagres Sandstone",NA,"USGS #8406",3,"Messinian","",7.246,5.333,11306,"gp_mid",-80.2,9.53,"230",1,6.2895,"messinian",1
"22204",61188,"col","Chagres Sandstone",-79.53611,9.229167,"Locality 204 - Chagres Sandstone",NA,"USGS #8441",1,"Messinian","",7.246,5.333,11306,"gp_mid",-78.03,9.87,"230",1,6.2895,"messinian",1
"22205",61189,"col","Chagres Sandstone",-80.086113,9.234444,"Locality 207 - Chagres Sandstone",NA,"USGS #16969",1,"Messinian","",7.246,5.333,11306,"gp_mid",-78.58,9.88,"230",1,6.2895,"messinian",1
"22308",61346,"col","Nancy Point",-81.789719,9.066161,"PPP# 390 - Valiente Peninsula [Nancy Point Fm]",NA,"NMB Loc. 17856",17,"Messinian","",7.246,5.333,17667,"gp_mid",-80.29,9.75,"230",1,6.2895,"messinian",1
"22309",61347,"col","Nancy Point",-81.79084,9.065647,"PPP# 391 - Valiente Peninsula [Nancy Point Fm]",NA,"NMB Loc. 17858",42,"Messinian","",7.246,5.333,17667,"gp_mid",-80.29,9.75,"230",1,6.2895,"messinian",1
"22310",61348,"col","Nancy Point",-81.79084,9.065647,"PPP# 392 - Valiente Peninsula [Nancy Point Fm]",NA,"NMB Loc. 17857",9,"Messinian","",7.246,5.333,17667,"gp_mid",-80.29,9.75,"230",1,6.2895,"messinian",1
"22311",61349,"col","Nancy Point",-81.802841,9.06475,"PPP# 396 - Butchuqua [Nancy Point Fm]",NA,"NMB Loc. 17858; 88-40-01",4,"Messinian","",7.246,5.333,17667,"gp_mid",-80.3,9.74,"230",1,6.2895,"messinian",1
"22312",61350,"col","Nancy Point",-81.802841,9.06475,"PPP# 400 - Valiente Peninsula [Nancy Point Fm]",NA,"NMB Loc. 17860",8,"Messinian","",7.246,5.333,17667,"gp_mid",-80.3,9.74,"230",1,6.2895,"messinian",1
"26333",68270,"col","Coquimbo",-71.5,-30.333332,"Tongoy area, Coquimbo Formation, Unit 10",NA,"",4,"Messinian","",7.246,5.333,19640,"gp_mid",-70.18,-29.99,"291",1,6.2895,"messinian",1
"27034",70417,"col","Rosignano Limestone",10.433333,43.5,"Popogna, Livornesi Mountains, Rosignano Limestone, Tuscany",NA,"Reef 965",23,"Messinian","",7.246,5.333,23527,"gp_mid",11.46,42.08,"307",1,6.2895,"messinian",1
"27119",69528,"col","Kume",140.488052,36.535,"Kanasago-machi",NA,"Hitachiota",2,"Messinian","",7.246,5.333,23345,"gp_mid",139.23,36.28,"610",1,6.2895,"messinian",1
"27334",69898,"col","Rosignano Limestone",10.466667,43.400002,"Acquabona Reef, Livornesi Mountains, Rosignano Limestone, Tuscany",NA,"Reef 965",12,"Messinian","",7.246,5.333,23452,"gp_mid",11.49,41.98,"307",1,6.2895,"messinian",1
"27335",69899,"col","Rosignano Limestone",10.45,43.433334,"Castelnuovo Reef, Livornesi Mountains, Rosignano Limestone, Tuscany",NA,"Reef 965",31,"Messinian","",7.246,5.333,23452,"gp_mid",11.48,42.01,"307",1,6.2895,"messinian",1
"27591",70418,"col","Rosignano Limestone",10.433333,43.483334,"Cafaggio-Gorgo, Livornesi Mountains, Rosignano Limestone, Tuscany",NA,"Reef 965",5,"Messinian","",7.246,5.333,23527,"gp_mid",11.46,42.06,"307",1,6.2895,"messinian",1
"27592",70419,"col","Rosignano Limestone",10.433333,43.533333,"Parrana San Martino, Livornesi Mountains, Rosignano Limestone, Tuscany",NA,"Reef 965",10,"Messinian","",7.246,5.333,23527,"gp_mid",11.46,42.11,"307",1,6.2895,"messinian",1
"27665",70529,"col","Eastover",-77.371941,37.807499,"Sturgeon Hole",NA,"",2,"Messinian","",7.246,5.333,23660,"gp_mid",-74.68,38.63,"109",1,6.2895,"messinian",1
"27667",70531,"col","Eastover",-77.051109,37.602501,"Elsing Green, Zone 25",NA,"",2,"Messinian","",7.246,5.333,23660,"gp_mid",-74.37,38.41,"109",1,6.2895,"messinian",1
"28361",71534,"col","Eastover",-76.722221,37.786945,"Laytons Landing, Zone 25",NA,"",4,"Messinian","",7.246,5.333,16985,"gp_mid",-74.02,38.59,"109",1,6.2895,"messinian",1
"28362",71618,"col","Eastover",-76.722221,37.786945,"Laytons Landing, Zone 26",NA,"",12,"Messinian","",7.246,5.333,16985,"gp_mid",-74.02,38.59,"109",1,6.2895,"messinian",1
"28363",71535,"col","Eastover",-76.770554,37.171665,"Cobham Wharf, Zone 25",NA,"",8,"Messinian","",7.246,5.333,16985,"gp_mid",-74.1,37.97,"109",1,6.2895,"messinian",1
"28364",71619,"col","Eastover",-76.770554,37.171665,"Cobham Wharf, Zone 26",NA,"",19,"Messinian","",7.246,5.333,16985,"gp_mid",-74.1,37.97,"109",1,6.2895,"messinian",1
"28365",71536,"col","Eastover",-76.752777,37.822777,"Bowlers Wharf, Zone 26",NA,"",15,"Messinian","",7.246,5.333,16985,"gp_mid",-74.05,38.63,"109",1,6.2895,"messinian",1
"28366",71622,"col","Eastover",-76.825279,37.204445,"Mount Pleasant, Zone 25",NA,"",4,"Messinian","",7.246,5.333,16985,"gp_mid",-74.16,38.01,"109",1,6.2895,"messinian",1
"28421",71623,"col","Eastover",-76.825279,37.204445,"Mount Pleasant, Zone 26",NA,"",18,"Messinian","",7.246,5.333,16985,"gp_mid",-74.16,38.01,"109",1,6.2895,"messinian",1
"28424",71626,"col","Eastover",-76.970833,37.691387,"White Oak Landing, Zone 25",NA,"White Oak Lodge, Mattaponi River",12,"Messinian","",7.246,5.333,16985,"gp_mid",-74.28,38.5,"109",1,6.2895,"messinian",1
"28426",71628,"col","Eastover",-76.972221,37.710556,"Rickahock, Zone 25",NA,"",10,"Messinian","",7.246,5.333,16985,"gp_mid",-74.28,38.52,"109",1,6.2895,"messinian",1
"28441",71644,"col","Eastover",-76.800278,38.168888,"Haulover Inlet, Zone 25",NA,"",1,"Messinian","",7.246,5.333,16985,"gp_mid",-74.09,38.97,"109",1,6.2895,"messinian",1
"28443",71646,"col","Eastover",-76.923615,38.071388,"Carters Wharf, Zone 25",NA,"",2,"Messinian","",7.246,5.333,16985,"gp_mid",-74.21,38.88,"109",1,6.2895,"messinian",1
"28452",71655,"col","Eastover",-77.207497,37.514442,"Warren Brothers sand pits, Cobham Bay",NA,"USGS Locality 26417",4,"Messinian","",7.246,5.333,16985,"gp_mid",-74.53,38.33,"109",1,6.2895,"messinian",1
"28529",71820,"col","Eastover",-76.847778,38.166389,"Stratford Bluffs, Claremont Manor Member",NA,"Stratford Cliffs",1,"Messinian","",7.246,5.333,24251,"gp_mid",-74.13,38.97,"109",1,6.2895,"messinian",1
"28804",72311,"col","",23.85,40.783333,"Neopygnodonta navicularis assemblage zone, Strymon Basin",NA,"",10,"Messinian","",7.246,5.333,24517,"gp_mid",24.48,39.14,"308",1,6.2895,"messinian",1
"30442",76004,"col","Akaishi",140.883331,37.049999,"Iwaki, Akaishi Fm.",NA,"",2,"Messinian","",7.246,5.333,12148,"gp_mid",139.62,36.8,"610",1,6.2895,"messinian",1
"31506",78633,"col","",15.083333,40.333332,"Cava di Argilla, Salerno, G. mediterranea zone",NA,"",14,"Messinian","",7.246,5.333,26440,"gp_mid",15.91,38.83,"307",1,6.2895,"messinian",1
"32016",79795,"col","Nancy Point",-81.827316,9.09479,"PPP# 411 Valiente Peninsula [Nancy Point Fm]",NA,"NMB Loc. 17861",9,"Messinian","",7.246,5.333,17667,"gp_mid",-80.33,9.78,"230",1,6.2895,"messinian",1
"32027",79846,"col","Chagres",-80.003059,9.32576,"PPP# 1076 - San Lorenzo [Chagres Sandstone]",NA,"NMB Loc. 18323",2,"Messinian","",7.246,5.333,17667,"gp_mid",-78.49,9.97,"230",1,6.2895,"messinian",1
"32028",79855,"col","Chagres Sandstone",-80.003059,9.32576,"PPP# 1188 - San Lorenzo [Chagres Sandstone]",NA,"",150,"Messinian","",7.246,5.333,17667,"gp_mid",-78.49,9.97,"230",1,6.2895,"messinian",1
"32049",79964,"col","Bayshore",-82.090553,26.97611,"Bayshore Canal [Port Charlotte Mbr, Bayshore Fm]",NA,"",8,"Messinian","",7.246,5.333,26813,"gp_mid",-79.88,27.93,"109",1,6.2895,"messinian",1
"34426",84053,"col","Horokaoshirarika",142.002777,43.805832,"Ishikari-Numata Station, east",NA,"",1,"Messinian","",7.246,5.333,12696,"gp_mid",140.6,43.57,"610",1,6.2895,"messinian",1
"34589",84454,"col","Bahia Inglesa",-70.787224,-27,"Estanques de Copec",NA,"",3,"Messinian","",7.246,5.333,28294,"gp_mid",-69.41,-26.67,"291",1,6.2895,"messinian",1
"34897",84912,"col","",167.350006,-46.216667,"GS 5170, S175/585 Port Craig",NA,"",3,"Kapitean","",6.5,5.333,29819,"gp_mid",173.05,-47.62,"807",1,5.9165,"messinian",1
"37652",89069,"col","",172.78334,-43.049999,"GS 3837, S61 Omihi Creek",NA,"",1,"Kapitean","",6.5,5.333,29819,"gp_mid",178.53,-44.39,"807",1,5.9165,"messinian",1
"37690",89139,"col","",178.366669,-37.633331,"GS 1158, N63 Te Araroa",NA,"",3,"Kapitean","",6.5,5.333,29819,"gp_mid",-179.33,-39.36,"806",1,5.9165,"messinian",1
"37880",89551,"col","Eastover",-76.870834,38.170555,"Westmoreland State Park, Eastover Formation",NA,"",1,"Messinian","",7.246,5.333,29776,"gp_mid",-74.16,38.98,"109",1,6.2895,"messinian",1
"38351",90593,"col","Gurabo",-71.618057,18.93,"NMB Loc. 16858 - Río Gurabo [Gurabo Fm]",NA,"",4,"Messinian","",7.246,5.333,25313,"gp_mid",-70.14,19.53,"252",1,6.2895,"messinian",1
"38373",90619,"col","Gurabo",-71.618057,18.93,"NMB Loc. 16824 - Río Cano [Gurabo Fm]",NA,"",27,"Messinian","",7.246,5.333,25313,"gp_mid",-70.14,19.53,"252",1,6.2895,"messinian",1
"42318",96701,"col","Tobabe",-81.809998,9.128056,"Small Plantain Cay",NA,"",1,"Messinian","",7.246,5.333,32976,"gp_mid",-80.31,9.81,"230",1,6.2895,"messinian",1
"42425",96971,"col","",17.327999,-30.358999,"Langklip",NA,"",1,"Messinian","",7.246,5.333,13638,"gp_mid",16.75,-31.89,"701",1,6.2895,"messinian",1
"42426",96972,"col","",17.235001,-30.167999,"Somnaas 2",NA,"",1,"Messinian","",7.246,5.333,13638,"gp_mid",16.66,-31.7,"701",1,6.2895,"messinian",1
