"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"227",1509,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH 21c-d",NA,"",0,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"308",1564,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH40",NA,"",0,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"326",1601,"col","Osmington Oolite",-2.283333,50.799999,"Dorset BR55",NA,"",0,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"760",2555,"col","Madbi",48.566944,14.266389,"Al Ma'abir III-2",NA,"",22,"Oxfordian","",163.5,157.3,74,"gp_mid",43.29,-17.61,"503",1,160.4,"oxfordian",1
"761",2556,"col","Madbi",48.566944,14.266389,"Al Ma'abir III-3",NA,"",16,"Oxfordian","",163.5,157.3,74,"gp_mid",43.29,-17.61,"503",1,160.4,"oxfordian",1
"762",2557,"col","Madbi",48.566944,14.266389,"Al Ma'abir III-4",NA,"",15,"Oxfordian","",163.5,157.3,74,"gp_mid",43.29,-17.61,"503",1,160.4,"oxfordian",1
"772",2595,"col","Madbi",48.446667,14.316667,"Jebel Billum IV-4",NA,"",11,"Oxfordian","",163.5,157.3,74,"gp_mid",43.19,-17.52,"503",1,160.4,"oxfordian",1
"773",2596,"col","Madbi",48.446667,14.316667,"Jebel Billum IV-5",NA,"",12,"Oxfordian","",163.5,157.3,74,"gp_mid",43.19,-17.52,"503",1,160.4,"oxfordian",1
"774",2597,"col","Madbi",48.446667,14.316667,"Jebel Billum IV-6",NA,"",18,"Oxfordian","",163.5,157.3,74,"gp_mid",43.19,-17.52,"503",1,160.4,"oxfordian",1
"785",2650,"col","Lower Calcareous Grit",-0.289167,54.209999,"Yorkshire FB 6",NA,"",0,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"1934",1563,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH28b",NA,"",12,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1935",1565,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH31",NA,"",29,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1936",1556,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH23a",NA,"",5,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1937",1561,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH27",NA,"",9,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1938",1560,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH26",NA,"",25,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1939",1559,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH25",NA,"",40,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1940",1558,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH24",NA,"",40,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1941",1573,"col","Sandsfoot Grit",-2.45,50.599998,"Dorset SCc",NA,"",10,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1942",1562,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH28a",NA,"",6,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1945",1567,"col","Sandsfoot Grit",-2.45,50.599998,"Dorset SCa",NA,"",12,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1948",1568,"col","Sandsfoot Grit",-2.45,50.599998,"Dorset SCb",NA,"",13,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1949",1504,"col","Osmington Oolite",-2.283333,50.799999,"Dorset BH1",NA,"",5,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1950",1505,"col","Osmington Oolite",-2.283333,50.799999,"Dorset BH6",NA,"",5,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1951",1506,"col","Osmington Oolite",-2.283333,50.799999,"Dorset BH16",NA,"",3,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1952",1507,"col","Osmington Oolite",-2.283333,50.799999,"Dorset BH18",NA,"",14,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1953",1557,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH23b",NA,"",11,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1954",1508,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset Bh21a",NA,"",10,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1958",1914,"col","Osmington Oolite",-2.45,50.599998,"Dorset EF22",NA,"",31,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1959",1915,"col","Osmington Oolite",-2.45,50.599998,"Dorset EF 21",NA,"",9,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1960",1603,"col","Osmington Oolite",-2.283333,50.799999,"Dorset BR37",NA,"",11,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1961",2656,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII1",NA,"",3,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1962",2658,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII4",NA,"",10,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1963",2666,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII11",NA,"",4,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1964",2667,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII14",NA,"",7,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1965",2665,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII10",NA,"",17,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1966",2659,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII5",NA,"",9,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1967",2663,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII8",NA,"",10,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1968",2664,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII9",NA,"",8,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1969",2668,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII17",NA,"",4,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1970",2670,"col","Coralline Oolite",-0.433333,54.233334,"Yorskhire TBII21",NA,"",4,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1971",2669,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII18",NA,"",11,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1972",2662,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII7",NA,"",5,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1973",2660,"col","Coralline Oolite",-1.083333,53.966667,"Yorkshire TBI2",NA,"",15,"Oxfordian","",163.5,157.3,41,"gp_mid",16.13,36.62,"315",1,160.4,"oxfordian",1
"1974",2657,"col","Coralline Oolite",-0.433333,54.233334,"Yorkshire TBII3",NA,"",8,"Oxfordian","",163.5,157.3,41,"gp_mid",16.55,36.94,"315",1,160.4,"oxfordian",1
"1975",2086,"col","Trigonia clavellata",-2.45,50.599998,"Dorset SC16",NA,"",0,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1976",2092,"col","Trigonia clavellata",-2.45,50.599998,"Dorset SC11",NA,"",17,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1978",2093,"col","Trigonia clavellata",-2.45,50.599998,"Dorset SC9",NA,"",15,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1979",2095,"col","Trigonia clavellata",-2.45,50.599998,"Dorset SC7",NA,"",7,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1980",2096,"col","Trigonia clavellata",-2.45,50.599998,"Dorset SC10",NA,"",5,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1981",2098,"col","Trigonia clavellata",-2.45,50.599998,"Dorset SC13",NA,"",18,"Oxfordian","",163.5,157.3,41,"gp_mid",15.65,33.17,"315",1,160.4,"oxfordian",1
"1982",1611,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BR47",NA,"",12,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1983",1605,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BR39",NA,"",6,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1984",1608,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BR44",NA,"",51,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1985",1609,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BR45",NA,"",34,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1986",1607,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BR43",NA,"",25,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"1987",1604,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BR38",NA,"",7,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2009",1920,"col","Lower Calcareous Grit",-1.25,51.75,"Oxfordshire AS",NA,"",23,"Oxfordian","",163.5,157.3,41,"gp_mid",16.37,34.41,"315",1,160.4,"oxfordian",1
"2010",1917,"col","Nothe Grits",-2.366667,50.633331,"Dorset OSM6",NA,"",13,"Oxfordian","",163.5,157.3,41,"gp_mid",15.71,33.21,"315",1,160.4,"oxfordian",1
"2054",2653,"col","Coralline Oolite",-0.289167,54.209999,"Yorkshire FB29",NA,"",15,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2055",2654,"col","Coralline Oolite",-0.289167,54.209999,"Yorkshire FB30",NA,"",11,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2056",2652,"col","Coralline Oolite",-0.289167,54.209999,"Yorkshire FB27",NA,"",29,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2057",2108,"col","Passage Beds",-0.289167,54.209999,"Yorkshire FB9",NA,"",10,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2058",2111,"col","Hambleton Oolite",-0.289167,54.209999,"Yorkshire FB17",NA,"",6,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2059",2106,"col","Passage Beds",-0.289167,54.209999,"Yorkshire FB10",NA,"",12,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2060",2143,"col","Middle Calcareous Grit",-0.289167,54.209999,"Yorkshire FB25",NA,"",14,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2061",2105,"col","Passage Beds",-0.289167,54.209999,"Yorkshire FB8",NA,"",6,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2062",2142,"col","Middle Calcareous Grit",-0.289167,54.209999,"Yorkshire FB24",NA,"",4,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2063",2136,"col","Hambleton Oolite",-0.289167,54.209999,"Yorkshire FB18",NA,"",7,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2064",2139,"col","Middle Calcareous Grit",-0.289167,54.209999,"Yorkshire FB20",NA,"",6,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2065",2651,"col","Coralline Oolite",-0.289167,54.209999,"Yorkshire FB26",NA,"",10,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2066",2649,"col","Lower Calcareous Grit",-0.289167,54.209999,"Yorkshire FB5",NA,"",10,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2067",2107,"col","Hambleton Oolite",-0.289167,54.209999,"Yorkshire FB12",NA,"",17,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2068",2137,"col","Hambleton Oolite",-0.289167,54.209999,"Yorkshire FB16",NA,"",8,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2069",2138,"col","Middle Calcareous Grit",-0.289167,54.209999,"Yorkshire FB19",NA,"",7,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2070",2110,"col","Hambleton Oolite",-0.289167,54.209999,"Yorkshire FB13",NA,"",7,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2071",2140,"col","Middle Calcareous Grit",-0.289167,54.209999,"Yorkshire FB21",NA,"",17,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2072",2109,"col","Hambleton Oolite",-0.289167,54.209999,"Yorkshire FB11",NA,"",11,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2073",2101,"col","Lower Calcareous Grit",-0.289167,54.209999,"Yorkshire FB2",NA,"",5,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2074",2103,"col","Lower Calcareous Grit",-0.289167,54.209999,"Yorkshire FB4",NA,"",6,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2075",2144,"col","Malton Oolite",-0.289167,54.209999,"Yorkshire FB31",NA,"",11,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2076",2141,"col","Middle Calcareous Grit",-0.289167,54.209999,"Yorkshire FB22",NA,"",7,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2077",2104,"col","Passage Beds",-0.289167,54.209999,"Yorkshire FB7",NA,"",29,"Oxfordian","",163.5,157.3,41,"gp_mid",16.66,36.92,"315",1,160.4,"oxfordian",1
"2078",1606,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BR40",NA,"",36,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2079",1599,"col","Osmington Oolite",-2.283333,50.799999,"Dorset BH4",NA,"",23,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2080",1899,"col","Nothe Grits",-2.283333,50.799999,"Dorset BC5",NA,"",8,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2081",1900,"col","Nothe Grits",-2.283333,50.799999,"Dorset BC10",NA,"",25,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2082",1901,"col","Nothe Grits",-2.283333,50.799999,"Dorset BC13",NA,"",7,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2083",1904,"col","Nothe Grits",-2.283333,50.799999,"Dorset BC15",NA,"",28,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2084",1906,"col","Osmington Oolite",-2.366667,50.633331,"Dorset OS7",NA,"",12,"Oxfordian","",163.5,157.3,41,"gp_mid",15.71,33.21,"315",1,160.4,"oxfordian",1
"2085",1907,"col","Osmington Oolite",-2.366667,50.633331,"Dorset OS9",NA,"",7,"Oxfordian","",163.5,157.3,41,"gp_mid",15.71,33.21,"315",1,160.4,"oxfordian",1
"2086",1909,"col","Osmington Oolite",-2.366667,50.633331,"Dorset OS11",NA,"",25,"Oxfordian","",163.5,157.3,41,"gp_mid",15.71,33.21,"315",1,160.4,"oxfordian",1
"2087",1602,"col","Osmington Oolite",-2.283333,50.799999,"Dorset BR35",NA,"",27,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2090",1555,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH22",NA,"",16,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2091",1903,"col","Nothe Grits",-2.283333,50.799999,"Dorset BC14",NA,"",14,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2100",1598,"col","Osmington Oolite",-2.283333,50.799999,"Dorset BH17",NA,"",5,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2101",1600,"col","Trigonia clavellata",-2.283333,50.799999,"Dorset BH17",NA,"",0,"Oxfordian","",163.5,157.3,41,"gp_mid",15.75,33.38,"315",1,160.4,"oxfordian",1
"2606",8282,"col","Montejunto",-9.15,39.5,"Portugal A 19",NA,"",4,"Oxfordian","",163.5,157.3,41,"gp_mid",10.64,25.38,"304",1,160.4,"oxfordian",1
"2607",8283,"col","Montejunto",-9.15,39.5,"Portugal A 19/20",NA,"",2,"Oxfordian","",163.5,157.3,41,"gp_mid",10.64,25.38,"304",1,160.4,"oxfordian",1
"2611",8287,"col","Montejunto",-9.15,39.5,"Portugal A 19/19",NA,"",4,"Oxfordian","",163.5,157.3,41,"gp_mid",10.64,25.38,"304",1,160.4,"oxfordian",1
