"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"2492",5225,"col","Tiglukpuk",-148.23,68.87,"Nosebleed Creek (USGS Mes. loc. 22747)",NA,"",2,"Pliensbachian","",190.8,182.7,313,"gp_mid",-52.16,57.26,"103",186.75,"pliensbachian",912,-56.4044,59.7706,40,1
"3448",7426,"col","Aberhan Pliensbach",-70.75,-33.47,"Aberhan 5-1",NA,"5.1",16,"Pliensbachian","",190.8,182.7,487,"gp_mid",-16.29,-36.37,"291",186.75,"pliensbachian",1151,-20.8928,-36.8569,40,1
"3449",7427,"col","Aberhan Pliensbach",-70.75,-33.47,"Aberhan 5-6",NA,"5.6",26,"Pliensbachian","",190.8,182.7,487,"gp_mid",-16.29,-36.37,"291",186.75,"pliensbachian",1151,-20.8928,-36.8569,40,1
"3450",7428,"col","Aberhan Pliensbach",-70.75,-33.47,"Aberhan 3-13",NA,"3-13",27,"Pliensbachian","",190.8,182.7,487,"gp_mid",-16.29,-36.37,"291",186.75,"pliensbachian",1151,-20.8928,-36.8569,40,1
"3451",7429,"col","Aberhan Pliensbach",-70.75,-33.47,"Aberhan 3-14",NA,"3-14",27,"Pliensbachian","",190.8,182.7,487,"gp_mid",-16.29,-36.37,"291",186.75,"pliensbachian",1151,-20.8928,-36.8569,40,1
"3452",7430,"col","Aberhan Pliensbach",-70.75,-33.47,"Aberhan 3-16",NA,"3-16",20,"Pliensbachian","",190.8,182.7,487,"gp_mid",-16.29,-36.37,"291",186.75,"pliensbachian",1151,-20.8928,-36.8569,40,1
"3774",118047,"col","Dyrham",-2.77,50.74,"Day's Shell Bed, West Cliff of Dorset, UK",NA,"",2,"Margaritatus","",189.6,183,37967,"gp_mid",14.4,39.01,"315",186.3,"pliensbachian",1215,18.1554,40.0902,40,1
"3776",118048,"col","Dyrham",-2.77,50.74,"Down Cliff Sands, Dorset, UK",NA,"",6,"Margaritatus","",189.6,183,37967,"gp_mid",14.4,39.01,"315",186.3,"pliensbachian",1215,18.1554,40.0902,40,1
"3777",118049,"col","Dyrham",-2.77,50.74,"Margaritatus Stone, Dorset, UK",NA,"",2,"Margaritatus","",189.6,183,37967,"gp_mid",14.4,39.01,"315",186.3,"pliensbachian",1215,18.1554,40.0902,40,1
"3927",10700,"col","",-69.75,-35.08,"Puesto Araya, Argentina",NA,"3071",8,"Early Pliensbachian","",189.6,183,3974,"gp_mid",-15,-37.27,"291",186.3,"pliensbachian",1278,-19.6317,-39.151,40,1
"3928",10701,"col","Piedra Pintada",-70.48,-39.87,"Estancia Santa Isabel",NA,"",30,"Early Pliensbachian","Late Pliensbachian",189.6,183,3974,"gp_mid",-13.47,-41.94,"291",186.3,"pliensbachian",1279,-16.8424,-43.6934,40,1
"3929",10702,"col","Piedra Pintada",-70.27,-40.12,"Cerrito Roth, Argentina",NA,"",21,"Early Pliensbachian","Late Pliensbachian",189.6,183,3974,"gp_mid",-13.13,-42.11,"291",186.3,"pliensbachian",1280,-16.8424,-43.6934,40,1
"12544",23624,"col","",11,49,"Untersturmig - Probe 2",NA,"",13,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12545",23625,"col","",11,49,"Untersturmig - Probe 1",NA,"",14,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12546",23626,"col","",11,49,"Untersturmig - Probe 3",NA,"",18,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12547",23627,"col","",11,49,"Untersturmig - Probe 4",NA,"",19,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12548",23628,"col","",11,49,"Untersturmig - Probe 5",NA,"",14,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12575",23812,"col","",11,49,"Buttenheim - Probe 6",NA,"",18,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12577",23814,"col","",11,49,"Buttenheim - Probe 8",NA,"",27,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12578",23815,"col","",11,49,"Buttenheim - Probe 9",NA,"",31,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12579",23816,"col","",11,49,"Butenheim - Probe 10",NA,"",26,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12580",23817,"col","",11,49,"Buttenheim - Probe 11",NA,"",31,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12581",23818,"col","",11,49,"Buttenheim - Probe 12",NA,"",24,"Late Pliensbachian","",189.6,183,6743,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12594",23839,"col","",11,49,"Probe 1",NA,"",33,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12595",23840,"col","",11,49,"Probe 2",NA,"",38,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12596",23841,"col","",11,49,"Probe 4",NA,"",34,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12597",23842,"col","",11,49,"Probe 5",NA,"",31,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12598",23843,"col","",11,49,"Probe 6",NA,"",38,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12599",23844,"col","",11,49,"Probe 7",NA,"",32,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12600",23845,"col","",11,49,"Probe 8",NA,"",29,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12601",23846,"col","",11,49,"Probe 9",NA,"",40,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12602",23847,"col","",11,49,"Probe 10",NA,"",27,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12603",23848,"col","",11,49,"Probe 11",NA,"",19,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12604",23849,"col","Kalchreuth",11.13,49.55,"Assoziation 1 Probe 1",NA,"Kalchreuthia frankei-Cylindrobullina domeria-Levipleura blainvillei ",30,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"12605",23850,"col","Kalchreuth",11.13,49.55,"Assotiation 1 Probe 2",NA,"Kalchreuthia frankei-Cylindrobullina domeria-Levipeura blainvillei",36,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"12606",23851,"col","Kalchreuth",11.13,49.55,"Assotiation 1 Probe 3",NA,"Kalchreuthia frankei-Cylindrobullina domeria-Levipleura blainvillei",39,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"12607",23852,"col","Kalchreuth",11.13,49.55,"Assotiation 1 Probe 4",NA,"Kalchreuthia frankei-Cylindrobullina domeria-Levipleura blainvillei",33,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"12608",23853,"col","Kalchreuth",11.13,49.55,"Assotiation 1 Probe 5",NA,"Kalchreuthia frankei-Cylindrobullina domeria Levipleura blainvillei",30,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"12609",23854,"col","",11,49,"Probe 3",NA,"",39,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.97,40.66,"305",186.3,"pliensbachian",2330,29.1614,45.3353,40,1
"12610",23855,"col","Kalchreuth",11.13,49.55,"Assotiation 1 Probe 7",NA,"Kalchreuthia frankei-Cylindrobullina domeria Levipleura blainvillei",32,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"12611",23856,"col","Kalchreuth",11.13,49.55,"Assotiation 2 Probe 10",NA,"Levipleura blainvillei-Kalchreuthia frankei-Cylindrobullina domeria",27,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"12612",23857,"col","Kalchreuth",11.13,49.55,"Assotiation 2 Probe 11",NA,"Levipleura blainvillei-Kalchreuthia frankei-Cylindrobullina domeria",19,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"12613",23858,"col","Kalchreuth",11.13,49.55,"Assotiation 2 Probe 6",NA,"Levipleura blainvillei-Kalchreuthia frankei-cylindrobullina domeria",38,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"12614",23859,"col","Kalchreuth",11.13,49.55,"Assotiation 2, Probe 8",NA,"Levipleura blainvillei-Kalchreuthia frankei-Cylindrobullina domeria",30,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"12615",23860,"col","Kalchreuth",11.13,49.55,"Assotiation 2 Probe 9",NA,"Levipleura blainvillei-Kalchreuthia frankei-Cylindrobullina domeria",40,"Late Pliensbachian","",189.6,183,6774,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"13050",24564,"col","",12,46,"Veneto",NA,"",35,"Pliensbachian","",190.8,182.7,6908,"gp_mid",31.99,30.93,"307",186.75,"pliensbachian",2444,32.1959,29.7479,40,1
"13524",25502,"col","Amaltheenton",11.13,49.55,"Kalchreuth",NA,"",17,"Spinatum","",189.6,183,7130,"gp_mid",25.78,41.2,"305",186.3,"pliensbachian",2340,29.1614,45.3353,40,1
"14791",28839,"col","",-2,50,"Bridport Subprovince",NA,"",24,"Late Pliensbachian","",189.6,183,7909,"gp_mid",15.31,38.49,"305",186.3,"pliensbachian",2882,18.1554,40.0902,40,1
"14792",28842,"col","",-2,50,"Ilminster Subprovince",NA,"",26,"Late Pliensbachian","",189.6,183,7909,"gp_mid",15.31,38.49,"305",186.3,"pliensbachian",2882,18.1554,40.0902,40,1
"14793",28844,"col","",-2,51,"Gloucester Subprovince",NA,"",21,"Late Pliensbachian","",189.6,183,7909,"gp_mid",14.87,39.42,"315",186.3,"pliensbachian",2883,18.1554,40.0902,40,1
"14794",28845,"col","",-1,52,"Banbury Subprovince",NA,"",18,"Late Pliensbachian","",189.6,183,7909,"gp_mid",15.17,40.58,"315",186.3,"pliensbachian",2884,18.9692,43.5587,40,1
"14796",28847,"col","",0,52,"Tilton Subprovince",NA,"",15,"Late Pliensbachian","",189.6,183,7909,"gp_mid",15.93,40.8,"315",186.3,"pliensbachian",2885,18.9692,43.5587,40,1
"15028",29163,"col","",4,44,"La Jaubernie, a Coux",NA,"",2,"Late Pliensbachian","",189.6,183,8362,"gp_mid",22.63,34.25,"305",186.3,"pliensbachian",2928,27.0778,38.394,40,1
"15029",29164,"col","",4,44,"Coux-Le Pont, a Coux",NA,"",5,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15030",29165,"col","",4,44,"La Charriere, a Coux",NA,"",2,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15031",29166,"col","",4,44,"Le Ranc, a Privas",NA,"",2,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15032",29167,"col","",4,44,"Le Beal, a Veyras",NA,"",7,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15033",29168,"col","",4,44,"Le Chiolard, a Veyras",NA,"",6,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15034",29169,"col","",4,44,"Le Ruissol, a Privas",NA,"",5,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15035",29170,"col","",4,44,"Four de Courte, a Saint-Etienne-de-Fontbellon",NA,"",9,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15036",29171,"col","",4,44,"Moulin de Croure, a Saint-Etienne-de-Fontbellon",NA,"",6,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15037",29172,"col","",4,44,"Chemin des Blancs, a Saint-Etienne-de-Fontbellon",NA,"",8,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15038",29173,"col","",4,44,"Route de Fons, a Saint-Sernin",NA,"",7,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15039",29174,"col","",4,44,"La Combe, a La Chapelle-Sous-Aubenas",NA,"",8,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15040",29175,"col","",4,44,"Veyras-Ouest, a La Chapelle-Sous-Aubenas",NA,"",3,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15041",29176,"col","",4,44,"Lespine, a Vinezac",NA,"",11,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"15042",29177,"col","",4,44,"Banne et environs",NA,"",5,"Pliensbachian","",190.8,182.7,8362,"gp_mid",22.05,34.37,"305",186.75,"pliensbachian",2928,27.0778,38.394,40,1
"16943",31130,"col","Cleveland Ironstone",-0.57,54.45,"Staithes & Hawsker Bottoms, Cleveland Basin, North Yorkshire",NA,"",5,"Pliensbachian","",190.8,182.7,8436,"gp_mid",13.53,42.98,"315",186.75,"pliensbachian",3438,17.0625,45.6583,40,1
"17794",32015,"col","",13.03,54.12,"Echinoderms, Upper Pliensbachian, Grimmen",NA,"",4,"Late Pliensbachian","",189.6,183,8587,"gp_mid",24.66,45.84,"315",186.3,"pliensbachian",3592,24.8516,49.3985,40,1
"18786",33622,"col","Brian de Vère",1.74,44.07,"Sample 3, La Gourdonio section, Quercy",NA,"",13,"Davoei","",189.6,183,8928,"gp_mid",20.76,33.76,"305",186.3,"pliensbachian",3769,24.1837,37.0556,40,1
"18787",33634,"col","Brian de Vère",1.74,44.07,"Sample 16, La Gourdonio section, Quercy",NA,"",13,"Margaritatus","",189.6,183,8928,"gp_mid",20.76,33.76,"305",186.3,"pliensbachian",3769,24.1837,37.0556,40,1
"18910",33336,"col","Charmouth Mudstone",-1.76,52.06,"Mickleton Tunnel, near Chipping Campden",NA,"",5,"Davoei","",189.6,183,8860,"gp_mid",14.56,40.47,"315",186.3,"pliensbachian",3780,18.9692,43.5587,40,1
"18911",33337,"col","Junction Bed",-2.85,50.94,"ILM-KP1, Seavington section 1, Ilminster",NA,"",9,"Spinatum","",189.6,183,8861,"gp_mid",14.25,39.18,"315",186.3,"pliensbachian",3781,18.1554,40.0902,40,1
"18931",33357,"col","",-2.47,51.28,"Jamesoni Limestone, St. Peter's Field, Radstock",NA,"",5,"Jamesoni","",189.6,183,8863,"gp_mid",14.38,39.59,"315",186.3,"pliensbachian",3786,16.3135,42.3612,40,1
"18932",33358,"col","",-2.47,51.28,"Apoderoceras Limestone, St. Peter's Field, Radstock",NA,"",1,"Jamesoni","",189.6,183,8863,"gp_mid",14.38,39.59,"315",186.3,"pliensbachian",3786,16.3135,42.3612,40,1
"18933",33359,"col","",-2.47,51.28,"Apoderoceras Limestone (Bed 3a), St. Peter's Field, Radstock",NA,"",3,"Jamesoni","",189.6,183,8863,"gp_mid",14.38,39.59,"315",186.3,"pliensbachian",3786,16.3135,42.3612,40,1
"18936",33361,"col","",-2.47,51.28,"Apoderoceras Limestone (Bed 2), St. Peter's Field, Radstock",NA,"",12,"Jamesoni","",189.6,183,8863,"gp_mid",14.38,39.59,"315",186.3,"pliensbachian",3786,16.3135,42.3612,40,1
"18937",33362,"col","",-2.47,51.28,"Apoderoceras Limestone (base of Bed 2), St. Peter's Field, Radstock",NA,"",13,"Jamesoni","",189.6,183,8863,"gp_mid",14.38,39.59,"315",186.3,"pliensbachian",3786,16.3135,42.3612,40,1
"19023",33440,"col","Fanes Encrinite",12.22,46.15,"Ra Stua, Ampezzo area, Fanes Encrinite, near Belluno, Northern Italy",NA,"",13,"Pliensbachian","",190.8,182.7,8878,"gp_mid",32.24,30.9,"307",186.75,"pliensbachian",3808,32.1959,29.7479,40,1
"19026",33443,"col","Fanes Encrinite",12.22,46.15,"Fanes, Ampezzo area, Fanes Encrinite, near Bolzano, northern Italy",NA,"",4,"Pliensbachian","",190.8,182.7,8878,"gp_mid",32.24,30.9,"307",186.75,"pliensbachian",3808,32.1959,29.7479,40,1
"19063",33494,"col","",-4.1,52.82,"Mochras Borehole 5, near Llanbedr, North Wales",NA,"",1,"Pliensbachian","",190.8,182.7,8883,"gp_mid",11.74,40.68,"315",186.75,"pliensbachian",3814,16.3135,42.3612,40,1
"19081",33513,"col","",9.95,52.32,"Sample X/17 (99621), Mittelland canal, Sehnde, Lower Saxony",NA,"",10,"Pliensbachian","",190.8,182.7,8907,"gp_mid",22.59,43.57,"315",186.75,"pliensbachian",3819,27.0783,47.3717,40,1
"19082",33514,"col","",9.95,52.32,"Sample X/18 (99622), Mittelland canal, Sehnde, Lower Saxony",NA,"",5,"Pliensbachian","",190.8,182.7,8907,"gp_mid",22.59,43.57,"315",186.75,"pliensbachian",3819,27.0783,47.3717,40,1
"19083",33515,"col","",9.95,52.32,"Sample X/21 (99623), Mittelland canal, Sehnde, Lower Saxony",NA,"",9,"Pliensbachian","",190.8,182.7,8907,"gp_mid",22.59,43.57,"315",186.75,"pliensbachian",3819,27.0783,47.3717,40,1
"19086",33518,"col","",9.95,52.32,"Sample X/32 (99627), Mittelland canal, Sehnde, Lower Saxony",NA,"",31,"Pliensbachian","",190.8,182.7,8907,"gp_mid",22.59,43.57,"315",186.75,"pliensbachian",3819,27.0783,47.3717,40,1
"19087",33519,"col","",9.95,52.32,"Sample X/34 (99628), Mittelland canal, Sehnde, Lower Saxony",NA,"",20,"Pliensbachian","",190.8,182.7,8907,"gp_mid",22.59,43.57,"315",186.75,"pliensbachian",3819,27.0783,47.3717,40,1
"19088",33520,"col","",9.95,52.32,"Sample X/35 (99629), Mittelland canal, Sehnde, Lower Saxony",NA,"",8,"Pliensbachian","",190.8,182.7,8907,"gp_mid",22.59,43.57,"315",186.75,"pliensbachian",3819,27.0783,47.3717,40,1
"19118",33574,"col","",-70.28,-28.95,"Quebrada Pinte, Profil 6, Sample 1-119",NA,"",11,"Early Pliensbachian","",189.6,183,487,"gp_mid",-18.02,-31.65,"291",186.3,"pliensbachian",3828,-22.0802,-34.5503,40,1
"19119",33575,"col","",-70.28,-28.95,"Quebrada Pinte, Profil 6, Sample 1-120",NA,"",7,"Early Pliensbachian","",189.6,183,487,"gp_mid",-18.02,-31.65,"291",186.3,"pliensbachian",3828,-22.0802,-34.5503,40,1
"19120",33576,"col","",-70.28,-28.95,"Quebrada Pinte, Profil 6, Sample 1-134",NA,"",9,"Early Pliensbachian","",189.6,183,487,"gp_mid",-18.02,-31.65,"291",186.3,"pliensbachian",3828,-22.0802,-34.5503,40,1
