"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"1002",3568,"col","Crystal River Limestone",-83.581947,30.117222,"FDi-1 (Crystal River)",NA,"",4,"Priabonian","",38,33.9,124,"gp_mid",-68.58,33.09,"109",1,35.95,"priabonian",1
"1003",3569,"col","Crystal River Limestone",-85.226944,30.774166,"FJa-1 (Crystal River)",NA,"",14,"Priabonian","",38,33.9,124,"gp_mid",-70.11,33.99,"109",1,35.95,"priabonian",1
"1004",3570,"col","Crystal River Limestone",-83.175003,30.052778,"FLa-1 (Crystal River)",NA,"",18,"Priabonian","",38,33.9,124,"gp_mid",-68.18,32.96,"109",1,35.95,"priabonian",1
"1005",3571,"col","Crystal River Limestone",-83.175003,30.052778,"FLa-2 (Crystal River)",NA,"",6,"Priabonian","",38,33.9,124,"gp_mid",-68.18,32.96,"109",1,35.95,"priabonian",1
"1006",3572,"col","Crystal River Limestone",-82.446945,29.387222,"FLe-1 (Crystal River)",NA,"",5,"Priabonian","",38,33.9,124,"gp_mid",-67.58,32.2,"109",1,35.95,"priabonian",1
"1007",3573,"col","Crystal River Limestone",-82.168053,29.253332,"FMa-1 (Crystal River)",NA,"",6,"Priabonian","",38,33.9,124,"gp_mid",-67.33,32.02,"109",1,35.95,"priabonian",1
"1008",3574,"col","Crystal River Limestone",-83.387779,29.670834,"FTa-1 (Crystal River)",NA,"",2,"Priabonian","",38,33.9,124,"gp_mid",-68.48,32.62,"109",1,35.95,"priabonian",1
"1009",3575,"col","Crystal River Limestone",-83.387779,29.670834,"FTa-2 (Crystal River)",NA,"",5,"Priabonian","",38,33.9,124,"gp_mid",-68.48,32.62,"109",1,35.95,"priabonian",1
"1010",3576,"col","Crystal River Limestone",-83.387779,29.670834,"FTa-3 (Crystal River)",NA,"",4,"Priabonian","",38,33.9,124,"gp_mid",-68.48,32.62,"109",1,35.95,"priabonian",1
"1046",3715,"col","Neerrepen Sands",5.47,50.779999,"Francart Quarry",NA,"",14,"Priabonian","",38,33.9,230,"gp_mid",10.25,44.64,"315",1,35.95,"priabonian",1
"1658",4886,"col","Island Sandstone",171.350006,-42.033333,"Te Miko (Unit 2)",NA,"Decapod Bed; K30/f8723; K30/f37; K30/f37A; K30/f8510; K30/f9735",21,"Kaiatan","",37.2,36,301,"gp_mid",-170.01,-49.5,"806",1,36.6,"priabonian",1
"1659",4887,"col","Island Sandstone",171.350006,-42.033333,"Te Miko (Unit 4)",NA,"",9,"Kaiatan","",37.2,36,301,"gp_mid",-170.01,-49.5,"806",1,36.6,"priabonian",1
"1660",4888,"col","Island Sandstone",171.338898,-42.091,"Te Miko (Unit 5)",NA,"",3,"Kaiatan","Runangan",37.2,34.3,301,"gp_mid",-170.39,-49.52,"806",1,35.75,"priabonian",1
"2457",7295,"col","",34.983334,48.450001,"Dnieper River, Ukraine",NA,"",4,"Priabonian","",38,33.9,468,"gp_mid",36.36,41.88,"302",1,35.95,"priabonian",1
"2464",7318,"col","Williston Limestone",-82.867226,29.775,"FG-1 - Bell [Williston Limestone]",NA,"",17,"Priabonian","",38,33.9,471,"gp_mid",-67.93,32.64,"109",1,35.95,"priabonian",1
"2465",7319,"col","Williston Limestone",-82.749443,29.291668,"Fl3-10 - Otter Creek [Williston Limestone]",NA,"",8,"Priabonian","",38,33.9,471,"gp_mid",-67.91,32.15,"109",1,35.95,"priabonian",1
"2917",9069,"col","Bembridge Marls",-1.3636,50.737499,"Thorness Bay, Bembridge Marls, Isle of Wight",NA,"",2,"Late Eocene","",37.2,33.9,791,"gp_mid",4.17,44.91,"315",1,35.55,"priabonian",1
"3135",10703,"col","",12.883333,47.166668,"Eisenrichterstein, Germany",NA,"Reef 1729",141,"Priabonian","",38,33.9,3977,"gp_mid",18.72,38.32,"307",1,35.95,"priabonian",1
"3136",10963,"col","",12.15,47.783333,"Kirchberg, Neubeuern, Germany",NA,"Reef 1730",47,"Priabonian","",38,33.9,3977,"gp_mid",15.98,41.42,"305",1,35.95,"priabonian",1
"3638",13073,"col","Possagno Marl",11.866667,45.849998,"Possagno",NA,"",1,"Late Eocene","",37.2,33.9,10901,"gp_mid",17.36,37.29,"307",1,35.55,"priabonian",1
"3691",13354,"col","Nago Limestone",10.884722,45.886112,"Nago, Italy",NA,"Reef 2319",44,"Priabonian","",38,33.9,5994,"gp_mid",16.55,37.54,"307",1,35.95,"priabonian",1
"4068",21976,"col","Bouldnor",-1.36,50.737999,"Bembridge Marls (A'Court Smith collection)",NA,"ETE Locality 797",115,"Priabonian","",38,33.9,5087,"gp_mid",4.17,44.91,"315",1,35.95,"priabonian",1
