"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"3192",5501,"col","Red Bluff",-88.73,30.98,"MGS #37",NA,"",90,"Rupelian","",33.9,28.1,323,"gp_mid",-75.8,34.63,"109",31,"rupelian",1077,-83.0695,29.0788,12,1
"3199",5500,"col","Red Bluff",-88.73,30.98,"MGS # 34b",NA,"",48,"Rupelian","",33.9,28.1,323,"gp_mid",-75.8,34.63,"109",31,"rupelian",1077,-83.0695,29.0788,12,1
"3205",5820,"col","Mint Spring",-88.73,30.98,"MGS Loc. 74b - Chickasawhay River [Mint Spring Fm]",NA,"",16,"Rupelian","",33.9,28.1,323,"gp_mid",-75.8,34.63,"109",31,"rupelian",1077,-83.0695,29.0788,12,1
"3210",5791,"col","Forest Hill",-88.73,30.98,"MGS #75a",NA,"",64,"Rupelian","",33.9,28.1,323,"gp_mid",-75.8,34.63,"109",31,"rupelian",1077,-83.0695,29.0788,12,1
"3219",7216,"col","Moneague",-77.45,18.03,"St. Hilda's High School [Browns Town Lmst, Moneague Fm]",NA,"",3,"Early Oligocene","",33.9,28.4,460,"gp_mid",NA,NA,"coordinates not computable using this model",31.15,"rupelian",1085,-82.2093,12.2528,12,1
"3220",7215,"col","Moneague",-77.45,18.03,"Friendship [Browns Town Lmst, Moneague Fm]",NA,"",6,"Early Oligocene","",33.9,28.4,460,"gp_mid",NA,NA,"coordinates not computable using this model",31.15,"rupelian",1085,-82.2093,12.2528,12,1
"3221",7214,"col","Moneague",-77.45,18.03,"Lee's Marl Crushing Plant [Brown's Town Lmst, Moneague Fm]",NA,"",8,"Early Oligocene","",33.9,28.4,460,"gp_mid",NA,NA,"coordinates not computable using this model",31.15,"rupelian",1085,-82.2093,12.2528,12,1
"3948",10964,"col","Umm ad Dahiy",18.13,29.75,"Sirt Basin, Libya",NA,"Reef 1600",24,"Rupelian","",33.9,28.1,4061,"gp_mid",20.36,21.64,"715",31,"rupelian",1286,14.6093,25.4583,12,1
"4900",12950,"col","Jebel Qatrani",30.58,29.45,"Quarry V (Jebel Qatrani Formation)",NA,"""upper sequence""",13,"Rupelian","",33.9,28.1,4292,"gp_mid",31.91,20.56,"715",31,"rupelian",1481,25.3985,25.4583,12,1
"4901",12954,"col","Jebel Qatrani",30.58,29.45,"Quarry I (Jebel Qatrani Formation)",NA,"Fayum ""upper sequence""; Yale Quarry I",24,"Rupelian","",33.9,28.1,24335,"gp_mid",31.91,20.56,"715",31,"rupelian",1481,25.3985,25.4583,12,1
"4903",12956,"col","Jebel Qatrani",30.58,29.45,"Quarry L-46 (Jebel Qatrani Formation)",NA,"""upper sequence""",2,"Rupelian","",33.9,28.1,4292,"gp_mid",31.91,20.56,"715",31,"rupelian",1481,25.3985,25.4583,12,1
"4904",12960,"col","Jebel Qatrani",30.58,29.45,"Quarry M (Jebel Qatrani Formation)",NA,"Fayum ""upper sequence""",31,"Rupelian","",33.9,28.1,24324,"gp_mid",31.91,20.56,"715",31,"rupelian",1481,25.3985,25.4583,12,1
"4905",12964,"col","Jebel Qatrani",30.58,29.45,"Quarry A-1 (Jebel Qatrani Formation)",NA,"""lower sequence""",5,"Rupelian","",33.9,28.1,4292,"gp_mid",31.91,20.56,"715",31,"rupelian",1481,25.3985,25.4583,12,1
"4906",12968,"col","Jebel Qatrani",30.58,29.45,"Quarry E (Jebel Qatrani Formation)",NA,"Fayum ""lower sequence""",13,"Rupelian","",33.9,28.1,24326,"gp_mid",31.91,20.56,"715",31,"rupelian",1481,25.3985,25.4583,12,1
"4907",12969,"col","Jebel Qatrani",30.58,29.45,"Quarry R (Jebel Qatrani Formation)",NA,"""upper sequence""",3,"Rupelian","",33.9,28.1,4292,"gp_mid",31.91,20.56,"715",31,"rupelian",1481,25.3985,25.4583,12,1
"4951",13070,"col","Jebel Qatrani",30.58,29.45,"Quarry P, (Jebel Qatrani Formation)",NA,"",1,"Rupelian","",33.9,28.1,4292,"gp_mid",31.91,20.56,"715",31,"rupelian",1481,25.3985,25.4583,12,1
"4952",13071,"col","Jebel Qatrani",30.58,29.45,"Quarry X (Jebel Qatrani Formation)",NA,"""upper sequence""",1,"Rupelian","",33.9,28.1,4292,"gp_mid",31.91,20.56,"715",31,"rupelian",1481,25.3985,25.4583,12,1
"4973",13101,"col","Jebel Qatrani",30.7,29.64,"Quarry O, southeast of",NA,"DUQ-O",1,"Rupelian","",33.9,28.1,6023,"gp_mid",32.03,20.75,"715",31,"rupelian",1510,25.3985,25.4583,12,1
"8400",17341,"col","",-82.37,29.63,"I-75",NA,"",53,"Whitneyan","",33.3,30.8,2738,"gp_mid",-69.12,32.45,"109",32.05,"rupelian",1961,-75.6885,28.4949,12,1
"17381",31604,"col","",36.38,39.12,"Yenikoy",NA,"Yeniköy",8,"Early Oligocene","",33.9,28.4,8520,"gp_mid",37.79,33.34,"504",31.15,"rupelian",3508,33.9328,37.5885,12,1
"17382",31605,"col","Lignite-Sandstone",26.81,40.92,"Kavakdere",NA,"",17,"Early Oligocene","",33.9,28.4,8520,"gp_mid",28.23,31.22,"308",31.15,"rupelian",3509,21.2228,38.5799,12,1
"17383",31606,"col","Lignite-Sandstone",26.82,41,"Kocayarma",NA,"",19,"Early Oligocene","",33.9,28.4,8520,"gp_mid",28.26,31.3,"308",31.15,"rupelian",3510,21.2228,38.5799,12,1
"19856",34484,"col","Maniyara Fort",68.8,23.67,"Lakhpat, Kutch, India",NA,"Reef 3120",10,"Rupelian","",33.9,28.1,9086,"gp_mid",69.46,9.1,"501",31,"rupelian",3953,61.0151,12.9429,12,1
"20238",35013,"col","Suwannee Limestone",-83.14,29.33,"Suwannee Limestone (unspecified localitoes)",NA,"",11,"Early Oligocene","",33.9,28.4,9411,"gp_mid",-70.39,32.25,"109",31.15,"rupelian",4051,-75.6885,28.4949,12,1
"20239",35014,"col","Bridgeboro Limestone",-85.23,30.78,"Bridgeboro Limestone (Florida) fauna",NA,"Bridgeboro Limestone fauna",3,"Rupelian","",33.9,28.1,9411,"gp_mid",-72.25,33.97,"109",31,"rupelian",4052,-79.3741,28.7841,12,1
