"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"1675",5159,"col","Eutaw",-84.987778,32.460835,"Upatoi Creek, USGS 5373, 5377",NA,"",14,"Santonian","",86.3,83.6,311,"gp_mid",-46.45,35.71,"109",1,84.95,"santonian",1
"1676",5161,"col","Eutaw",-84.844444,32.394169,"Ochillee Creek, USGS 5374, 5378, 15501, 25570",NA,"",16,"Santonian","",86.3,83.6,311,"gp_mid",-46.33,35.61,"109",1,84.95,"santonian",1
"1678",5163,"col","Eutaw",-85.094719,32.354443,"Southwest of Youngs Bridge, USGS 25462",NA,"",3,"Santonian","",86.3,83.6,311,"gp_mid",-46.6,35.64,"109",1,84.95,"santonian",1
"1680",5164,"col","Eutaw",-85.094719,32.354443,"Southwest of Youngs Bridge",NA,"",1,"Santonian","",86.3,83.6,311,"gp_mid",-46.6,35.64,"109",1,84.95,"santonian",1
"1681",5165,"col","Eutaw",-85.364723,32.350555,"Hurtsboro-Marvyn highway, near Uchee",NA,"",4,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1687",5189,"col","Eutaw",-84.987778,32.460835,"Chattahoochee River, Broken Arrow Bend (USGS 847, 5384, 6409)",NA,"",7,"Santonian","",86.3,83.6,311,"gp_mid",-46.45,35.71,"109",1,84.95,"santonian",1
"1688",5190,"col","Eutaw",-84.987778,32.460835,"Chattahoochee River, Broken Arrow Bend (USGS 5385)",NA,"",1,"Santonian","",86.3,83.6,311,"gp_mid",-46.45,35.71,"109",1,84.95,"santonian",1
"1690",5193,"col","Eutaw",-85.021667,32.341389,"Chattahoochee River, Slick Bluff (USGS 845, 5387)",NA,"",4,"Santonian","",86.3,83.6,311,"gp_mid",-46.53,35.61,"109",1,84.95,"santonian",1
"1692",5168,"col","Eutaw",-85.364723,32.350555,"Hurtsboro-Marvyn highway, near Uchee, +0.15 mi N",NA,"",2,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1693",5170,"col","Eutaw",-85.364723,32.350555,"Marvyn Road section, near Uchee, bed 16.",NA,"",2,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1694",5171,"col","Eutaw",-85.364723,32.350555,"Marvyn Road section, near Uchee, bed 15.",NA,"",1,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1695",5172,"col","Eutaw",-85.364723,32.350555,"Marvyn Road section, near Uchee, bed 14.",NA,"",1,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1697",5173,"col","Eutaw",-85.364723,32.350555,"Marvyn Road section, near Uchee, bed 13 (USGS 17766).",NA,"",2,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1699",5174,"col","Eutaw",-85.364723,32.350555,"Marvyn Road section, near Uchee, bed 11.",NA,"",2,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1700",5175,"col","Eutaw",-85.364723,32.350555,"Marvyn Road section, near Uchee, bed 9.",NA,"",1,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1701",5176,"col","Eutaw",-85.364723,32.350555,"Marvyn Road section, near Uchee, bed 8.",NA,"",1,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1702",5178,"col","Eutaw",-85.364723,32.350555,"Marvyn Road section, near Uchee, bed 7.",NA,"",1,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1703",5180,"col","Eutaw",-85.364723,32.350555,"Marvyn Road section, near Uchee, bed 6.",NA,"",1,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
"1704",5181,"col","Eutaw",-85.364723,32.350555,"Marvyn Road section, near Uchee, bed 5.",NA,"",2,"Santonian","",86.3,83.6,311,"gp_mid",-46.87,35.7,"109",1,84.95,"santonian",1
