"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"1355",2915,"col","Porters Creek",-87.76,32.2,"AMa-1 (Porters Creek)",NA,"",8,"Selandian","",61.6,59.2,124,"gp_mid",-59.27,36.39,"101",60.4,"selandian",412,-65.3472,34.6961,18,1
"1356",2916,"col","Porters Creek",-87.57,32.12,"AWi-11 (Porters Creek)",NA,"",13,"Selandian","",61.6,59.2,124,"gp_mid",-59.12,36.26,"101",60.4,"selandian",413,-65.3472,34.6961,18,1
"1357",2917,"col","Porters Creek",-87.45,32.03,"AWi-12 (Porters Creek)",NA,"",17,"Selandian","",61.6,59.2,124,"gp_mid",-59.03,36.14,"109",60.4,"selandian",414,-65.3472,34.6961,18,1
"1358",2918,"col","Porters Creek",-87.42,32.03,"AWi-13 (Porters Creek)",NA,"",35,"Selandian","",61.6,59.2,124,"gp_mid",-59.01,36.13,"109",60.4,"selandian",415,-65.3472,34.6961,18,1
"1359",2919,"col","Porters Creek",-87.45,32.03,"AWi-14 (Porters Creek)",NA,"",48,"Selandian","",61.6,59.2,124,"gp_mid",-59.03,36.14,"109",60.4,"selandian",414,-65.3472,34.6961,18,1
"3285",7791,"col","Ewekoro",3.19,6.92,"Ewekoro Quarry",NA,"",237,"Selandian","",61.6,59.2,496,"gp_mid",3.32,-5.75,"714",60.4,"selandian",1110,-0.7556,-0.5043,18,1
"20473",35263,"col","Lellinge Greensand",12.6,55.71,"Sundkrogen 1a-b",NA,"",112,"Selandian","",61.6,59.2,9445,"gp_mid",19.09,44.87,"302",60.4,"selandian",4088,10.0375,49.4083,18,1
"20474",35264,"col","Lellinge Greensand",12.6,55.71,"Sundkrogen 1c",NA,"",103,"Selandian","",61.6,59.2,9445,"gp_mid",19.09,44.87,"302",60.4,"selandian",4088,10.0375,49.4083,18,1
"20475",35265,"col","Lellinge Greensand",12.6,55.71,"Sundkrogen 2",NA,"",130,"Selandian","",61.6,59.2,9445,"gp_mid",19.09,44.87,"302",60.4,"selandian",4088,10.0375,49.4083,18,1
"20476",35266,"col","Lellinge Greensand",12.6,55.71,"Sundkrogen 3",NA,"",146,"Selandian","",61.6,59.2,9445,"gp_mid",19.09,44.87,"302",60.4,"selandian",4088,10.0375,49.4083,18,1
"20477",35267,"col","Lellinge Greensand",12.6,55.71,"Sundkrogen 4, Selandian, Denmark",NA,"",125,"Selandian","",61.6,59.2,9445,"gp_mid",19.09,44.87,"302",60.4,"selandian",4088,10.0375,49.4083,18,1
"33117",51500,"col","Lellinge Greensand",10.47,55.48,"Klintebjerg",NA,"",61,"Selandian","",61.6,59.2,13698,"gp_mid",17.38,44.7,"302",60.4,"selandian",7918,10.0375,49.4083,18,1
"45580",68176,"col","",-5.85,34.32,"Ouled Abdoun Basin (lowermost bed 1)",NA,"quarries of Sidi Daoui and Recette 4",5,"Selandian","",61.6,59.2,23856,"gp_mid",NA,NA,"coordinates not computable using this model",60.4,"selandian",11067,-6.4027,28.377,18,1
"45793",68431,"col","Heers",5,50.71,"Maret",NA,"",7,"Selandian","",61.6,59.2,19707,"gp_mid",12.55,40.14,"315",60.4,"selandian",11112,3.5622,44.2895,18,1
"45794",68432,"col","Hannut",5,50.71,"Maret (Tuffeau de Lincent)",NA,"",2,"Selandian","",61.6,59.2,19707,"gp_mid",12.55,40.14,"315",60.4,"selandian",11112,3.5622,44.2895,18,1
"46174",68822,"col","Waipara Greensand",172.6,-43.07,"Waipara River M34/f453",NA,"",5,"Selandian","",61.6,59.2,19864,"gp_mid",-151.52,-48.23,"807",60.4,"selandian",11215,-155.5366,-57.3365,18,1
"52286",79300,"col","",14,45.73,"Dolenja vas West, Bed 22",NA,"Dolenja vas, Bed 22",1,"Selandian","",61.6,59.2,26586,"gp_mid",21.43,30.55,"307",60.4,"selandian",12995,18.5265,34.2836,18,1
"52287",79301,"col","",14,45.73,"Dolenja vas West, Bed 23",NA,"Dolenja vas, Bed 23",1,"Selandian","",61.6,59.2,26586,"gp_mid",21.43,30.55,"307",60.4,"selandian",12995,18.5265,34.2836,18,1
"53007",80977,"col","Hornerstown",-74.75,39.93,"Vincentown (Bryan collection, Hornerstown Fm)",NA,"",1,"Selandian","",61.6,59.2,27244,"gp_mid",-43.33,40.03,"109",60.4,"selandian",13251,-52.1313,40.0052,18,1
"53603",82060,"col","Landana",12.13,-5.22,"Bed 4, Landana Section",NA,"",4,"Selandian","",61.6,59.2,27671,"gp_mid",9.68,-19.49,"701",60.4,"selandian",13508,4.954,-13.9326,18,1
"53604",195086,"col","Landana",12.13,-5.23,"Landana Section (layer 1)",NA,"",1,"Selandian","",61.6,59.2,66354,"gp_mid",9.67,-19.5,"701",60.4,"selandian",13509,4.954,-13.9326,18,1
"55356",84469,"col","Porters Creek",-87.28,31.98,"ALA-1",NA,"",28,"Selandian","",61.6,59.2,28119,"gp_mid",-58.89,36.05,"109",60.4,"selandian",14076,-65.3472,34.6961,18,1
"55357",84471,"col","Porters Creek",-87.28,31.98,"ALA-2",NA,"",21,"Selandian","",61.6,59.2,28119,"gp_mid",-58.89,36.05,"109",60.4,"selandian",14076,-65.3472,34.6961,18,1
"55840",85066,"col","Porters Creek",-87.15,31.93,"Oak Hill",NA,"",1,"Selandian","",61.6,59.2,28573,"gp_mid",-58.78,35.96,"109",60.4,"selandian",14255,-65.3472,34.6961,18,1
"56351",85839,"col","Waipara Greensand",172.53,-43.03,"Waipara River M34/fl138",NA,"",3,"Selandian","",61.6,59.2,19864,"gp_mid",-151.59,-48.2,"807",60.4,"selandian",14420,-155.5366,-57.3365,18,1
"56558",86172,"col","Porters Creek",-88,32.23,"ACh-1 Rep 1",NA,"",25,"Selandian","",61.6,59.2,28506,"gp_mid",-59.5,36.48,"101",60.4,"selandian",14545,-65.3472,34.6961,18,1
"56559",86173,"col","Porters Creek",-88,32.23,"ACh-1 Rep 2",NA,"",20,"Selandian","",61.6,59.2,28506,"gp_mid",-59.5,36.48,"101",60.4,"selandian",14545,-65.3472,34.6961,18,1
