"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"1",130759,"col","",-2.97,51.07,"Somerset Fish and Saurian bed (Bath Museum collection)",NA,"",1,"Toarcian","",182.7,174.1,42278,"gp_mid",19,38.11,"315",178.4,"toarcian",1,20.8724,37.1688,39,1
"2583",5475,"col","Kingak Shale",-146.1,69.6,"Red Hill (USGS Mesozoic Loc. 23772)",NA,"",8,"Toarcian","",182.7,174.1,313,"gp_mid",-44.4,61.52,"103",178.4,"toarcian",968,-48.4638,60.9322,39,1
"3453",7431,"col","Aberhan Toarc",-70.75,-33.47,"Aberhan 3-43",NA,"3-43",15,"Toarcian","",182.7,174.1,487,"gp_mid",-19.71,-34.04,"291",178.4,"toarcian",1152,-24.1894,-36.8566,39,1
"13052",24567,"col","",18.9,42.7,"Budos, Montenegro (1)",NA,"",17,"Toarcian","",182.7,174.1,6911,"gp_mid",35.21,22.29,"307",178.4,"toarcian",2445,18.75,42.5,39,1
"13053",24568,"col","",18.9,42.7,"Budos, Montenegro (2)",NA,"",47,"Toarcian","",182.7,174.1,6911,"gp_mid",35.21,22.29,"307",178.4,"toarcian",2445,18.75,42.5,39,1
"13058",24598,"col","",19.6,50.1,"Grojec",NA,"",66,"Toarcian","",182.7,174.1,6917,"gp_mid",37.18,41.2,"305",178.4,"toarcian",2448,37.404,44.3793,39,1
"13593",25782,"col","",-1,40,"Barranco de la Canada C176",NA,"",19,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13594",25783,"col","",-1,40,"Barranco de la Canada C182",NA,"",6,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13595",25784,"col","",-1,40,"Barranco de la Canada C184",NA,"",22,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13600",25879,"col","",-1,40,"Barranco de la Canada C186",NA,"",19,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13601",25880,"col","",-1,40,"Barranco de la Canada C188",NA,"",16,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13602",25881,"col","",-1,40,"Barranco de la Canada C190",NA,"",11,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13603",25882,"col","",-1,40,"Barranco de la Canada C200",NA,"",11,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13604",25883,"col","",-1,40,"Barranco de la Canada C202",NA,"",17,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13606",25885,"col","",-1,40,"Barranco de la Canada C203",NA,"",13,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13607",25886,"col","",-1,40,"Barranco de la Canada C205",NA,"",12,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13608",25887,"col","",-1,40,"Barranco de la Canada C206",NA,"",8,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"13609",25888,"col","",-1,40,"Barranco de la Canada C208",NA,"",9,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",178.8,"toarcian",2622,22.8427,26.8063,39,1
"15237",29389,"col","",-70.1,-40,"Picun Leufu",NA,"PGAP 506",4,"Toarcian","",182.7,174.1,8024,"gp_mid",-16.98,-40.22,"291",178.4,"toarcian",2943,-21.0401,-43.9646,39,1
"16769",30927,"col","",70.3,38.2,"Gring",NA,"PGAP 625",38,"Toarcian","",182.7,174.1,8267,"gp_mid",88.46,43.09,"402",178.4,"toarcian",3397,97.079,48.5073,39,1
"17617",31839,"col","",-0.22,46.98,"Echinodermata, Marls of the Variabilis zone, Thouars",NA,"",18,"Middle Toarcian","",182,175.6,8552,"gp_mid",22.01,35.01,"305",178.8,"toarcian",3562,25.0228,36.0462,39,1
"17767",31988,"col","",11.15,51.8,"Toarcian, Quedlinburg, Germany",NA,"",16,"Late Toarcian","",180.1,175.6,8568,"gp_mid",29.76,41.14,"315",177.85,"toarcian",3586,30.0429,43.9528,39,1
"18919",33345,"col","Beacon Limestone",-2.85,50.94,"ILM-9934, Seavington section 1, Ilminster",NA,"",9,"Bifrons","",182,175.6,8861,"gp_mid",18.74,38.43,"315",178.8,"toarcian",3782,20.8724,37.1688,39,1
"18920",33346,"col","Beacon Limestone",-2.85,50.94,"ILM-9936, Seavington section 1, Ilminster",NA,"",12,"Bifrons","",182,175.6,8861,"gp_mid",18.74,38.43,"315",178.8,"toarcian",3782,20.8724,37.1688,39,1
"18921",33347,"col","Beacon Limestone",-2.85,50.94,"ILM-9935, Seavington section 1, Ilminster",NA,"",13,"Bifrons","",182,175.6,8861,"gp_mid",18.74,38.43,"315",178.8,"toarcian",3782,20.8724,37.1688,39,1
"18922",33348,"col","Beacon Limestone",-2.85,50.94,"ILM-9952, Seavington section 2, Ilminster",NA,"",6,"Bifrons","",182,175.6,8861,"gp_mid",18.73,38.43,"315",178.8,"toarcian",3782,20.8724,37.1688,39,1
"18923",33349,"col","Beacon Limestone",-2.85,50.94,"ILM-9951, Seavington section 2, Ilminster",NA,"",12,"Thouarsense","",180.1,175.6,8861,"gp_mid",19.13,37.99,"315",177.85,"toarcian",3782,20.8724,37.1688,39,1
"18924",33350,"col","Beacon Limestone",-2.85,50.94,"ILM-9933, Seavington section 1, Ilminster",NA,"",15,"Thouarsense","",180.1,175.6,8861,"gp_mid",19.13,37.99,"315",177.85,"toarcian",3782,20.8724,37.1688,39,1
"18925",33351,"col","Beacon Limestone",-2.85,50.94,"ILM-9950, Seavington section 2, Ilminster",NA,"",14,"Thouarsense","",180.1,175.6,8861,"gp_mid",19.13,37.99,"315",177.85,"toarcian",3782,20.8724,37.1688,39,1
"18926",33352,"col","Beacon Limestone",-2.85,50.94,"ILM-9947, Seavington section 2, Ilminster",NA,"",7,"Thouarsense","",180.1,175.6,8861,"gp_mid",19.13,37.99,"315",177.85,"toarcian",3782,20.8724,37.1688,39,1
"18927",33353,"col","Bridport Sand",-2.85,50.94,"ILM-9945, Seavington section 2, Ilminster",NA,"",2,"Late Toarcian","",180.1,175.6,8861,"gp_mid",19.13,37.99,"315",177.85,"toarcian",3782,20.8724,37.1688,39,1
