"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"5106",179776,"col","Aksucay",30.783333,37.266666,"Kargi section 15 meters, Aksu sub-basin",NA,"",12,"Tortonian","",11.62,7.246,59626,"gp_mid",31.18,35.41,"504",9.433,1
"5251",13626,"col","Entre Rios",-59.25,-33.716667,"Barrancas del Rio Parana",NA,"Entreriana",75,"Tortonian","",11.62,7.246,6134,"gp_mid",-57.55,-33.45,"202",9.433,1
"12313",22979,"col","",-3.766667,37.258331,"Illora, Spain",NA,"Reef 1474",4,"Tortonian","",11.62,7.246,6617,"gp_mid",-2.6,35.87,"304",9.433,1
"14063",27549,"col","Clacare di Mendicino",16.266666,39.183334,"Scanelle quarry, floatstones, Calbria, Italy",NA,"Reef 3204",15,"Tortonian","",11.62,7.246,7596,"gp_mid",17.39,36.89,"307",9.433,1
"14064",27550,"col","Clacare di Mendicino",16.266666,39.183334,"Scanelle quarry, rudstones, Calbria, Italy",NA,"Reef 3204",8,"Tortonian","",11.62,7.246,7596,"gp_mid",17.39,36.89,"307",9.433,1
"19804",34413,"col","Al Bad",34.900002,28.166668,"Al Bad', Jebel Kibrit, Saudi Arabia",NA,"Reef 3231",7,"Tortonian","",11.62,7.246,9057,"gp_mid",34.71,24.91,"503",9.433,1
"19805",34414,"col","Al Bad",34.900002,28.166668,"Al Bad', Jebel Kibrit, Saudi Arabia",NA,"",12,"Tortonian","",11.62,7.246,9057,"gp_mid",34.71,24.91,"503",9.433,1
"20509",35301,"col","Alfambra",-2.594444,40.370834,"Masia del Barbo 2A",NA,"MBA",7,"Vallesian","",11.608,8.7,9527,"gp_mid",-1.21,38.79,"304",10.154,1
"20510",35302,"col","Alfambra",-2.594444,40.370834,"Masia del Barbo 2B",NA,"MBB",10,"Vallesian","",11.608,8.7,9527,"gp_mid",-1.21,38.79,"304",10.154,1
"20511",35303,"col","Alfambra",-2.6625,40.5,"Peralejos 4",NA,"PER4",6,"Vallesian","",11.608,8.7,9527,"gp_mid",-1.27,38.93,"304",10.154,1
"20512",35304,"col","Alfambra",-2.659722,40.480556,"Peralejos A",NA,"PERA",2,"Vallesian","",11.608,8.7,9527,"gp_mid",-1.27,38.91,"304",10.154,1
"20513",35305,"col","Alfambra",-2.659722,40.480556,"Peralejos B",NA,"PERB",3,"Vallesian","",11.608,8.7,9527,"gp_mid",-1.27,38.91,"304",10.154,1
"20514",35306,"col","Alfambra",-2.659722,40.480556,"Peralejos C",NA,"PERC",3,"Vallesian","",11.608,8.7,9527,"gp_mid",-1.27,38.91,"304",10.154,1
