"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"10420",40810,"col","Antimonio",-112.599998,30.766666,"USNM806b, Cerros de los Monos, El Antimonio, Sonora",NA,"",10,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian",1
"10421",40811,"col","Antimonio",-112.591667,30.766666,"USNM806c, Cerros de los Monos, El Antimonio, Sonora",NA,"",8,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian",1
"10422",40812,"col","Antimonio",-112.591667,30.766666,"USNM806d, Cerros de los Monos, El Antimonio, Sonora",NA,"",14,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian",1
"10423",40813,"col","Antimonio",-112.591667,30.766666,"USNM806d', Cerros de los Monos, El Antimonio, Sonora",NA,"",10,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian",1
"10424",40815,"col","Antimonio",-112.566666,30.766666,"USNM806f, Cerros de los Monos, El Antimonio, Sonora",NA,"",20,"Wordian","",268.8,265.1,11030,"gp_mid",-38.18,16.21,"104",1,266.95,"wordian",1
"10425",40816,"col","Antimonio",-112.566666,30.766666,"USNM806g, Cerros de los Monos, El Antimonio, Sonora",NA,"",15,"Wordian","",268.8,265.1,11030,"gp_mid",-38.18,16.21,"104",1,266.95,"wordian",1
"10426",40817,"col","Antimonio",-112.566666,30.766666,"USNM806g', Cerros de los Monos, El Antimonio, Sonora",NA,"",1,"Wordian","",268.8,265.1,11030,"gp_mid",-38.18,16.21,"104",1,266.95,"wordian",1
"10427",40818,"col","Antimonio",-112.566666,30.775,"USNM806h, Cerros de los Monos, El Antimonio, Sonora",NA,"",12,"Wordian","",268.8,265.1,11030,"gp_mid",-38.17,16.22,"104",1,266.95,"wordian",1
"10428",40820,"col","Antimonio",-112.566666,30.775,"USNM806h', Cerros de los Monos, El Antimonio, Sonora",NA,"",3,"Wordian","",268.8,265.1,11030,"gp_mid",-38.17,16.22,"104",1,266.95,"wordian",1
"10429",40821,"col","Antimonio",-112.566666,30.775,"USNM806h2, Cerros de los Monos, El Antimonio, Sonora",NA,"",5,"Wordian","",268.8,265.1,11030,"gp_mid",-38.17,16.22,"104",1,266.95,"wordian",1
"10430",40823,"col","Antimonio",-112.566666,30.775,"USNM806i, Cerros de los Monos, El Antimonio, Sonora",NA,"",29,"Wordian","",268.8,265.1,11030,"gp_mid",-38.17,16.22,"104",1,266.95,"wordian",1
