"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"3816",121779,"col","Trold Fiord",-82.916664,79.866669,"GSC C-3996, Mount Bridgman, Ellesmere Island",NA,"",1,"Wuchiapingian","",259.9,254.17,29759,"gp_mid",9.04,49.9,"106",257.035,1
"12779",24084,"col","Ford",-1.381,54.879002,"Tunstall Hills East, Old Quarry (Loc 7), Reef Core",NA,"Reef 135",17,"Wuchiapingian","",259.9,254.17,6813,"gp_mid",21.12,27.27,"315",257.035,1
"12780",24085,"col","Ford",-1.392,54.882,"Rock Cottage (Loc 3), Tunstall Hills, Reef Base",NA,"Reef 135",31,"Wuchiapingian","",259.9,254.17,6813,"gp_mid",21.11,27.27,"315",257.035,1
"12781",24086,"col","Ford",-1.391,54.883999,"Maiden Paps North (Loc 5), Tunstall Hills, Durham",NA,"Reef 135",14,"Wuchiapingian","",259.9,254.17,6813,"gp_mid",21.11,27.27,"315",257.035,1
"12838",24193,"col","Zechstein Limestone",6.533333,51.5,"Zechstein Limestone Drillhole 57 Friedrich Heinrich Mine Kamp-Lintfort Germany",NA,"",15,"Wuchiapingian","",259.9,254.17,6819,"gp_mid",26.83,24.53,"315",257.035,1
"13271",25000,"col","Kingscourt Gypsum",-6.785,53.900002,"Conglomerate Member Kingscourt",NA,"",6,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13394",25244,"col","Hilton Plant Beds",-2.3,54.5,"Belah Brook",NA,"",6,"Wuchiapingian","",259.9,254.17,7074,"gp_mid",20.56,26.85,"315",257.035,1
"13395",25245,"col","Lower Marl",-0.9,53.299999,"Sutton Boring",NA,"",4,"Wuchiapingian","",259.9,254.17,7074,"gp_mid",21.6,25.73,"315",257.035,1
"13396",25246,"col","Marl Slate",-1.3,53,"Kimberley",NA,"",5,"Wuchiapingian","",259.9,254.17,7074,"gp_mid",21.37,25.4,"315",257.035,1
"13397",25247,"col","Marl Slate",-1.4,55,"Cullercoats Bay",NA,"",3,"Wuchiapingian","",259.9,254.17,7074,"gp_mid",21.1,27.39,"315",257.035,1
"13398",25248,"col","",-3,54.799999,"Hilton Beck",NA,"",10,"Wuchiapingian","",259.9,254.17,7074,"gp_mid",20.08,27.11,"315",257.035,1
"13408",25294,"col","",12.1,50.900002,"Gera",NA,"",11,"Wuchiapingian","",259.9,254.17,7075,"gp_mid",30.72,24.59,"305",257.035,1
"13409",25295,"col","",10,51,"Richelsdorf",NA,"",7,"Wuchiapingian","",259.9,254.17,7075,"gp_mid",29.27,24.42,"315",257.035,1
"13701",26241,"col","Copper Shale",6.533333,51.5,"Copper Shale T1 depth 420-422m Rossenray I schaft Kamp-Lintfort",NA,"",18,"Wuchiapingian","",259.9,254.17,7244,"gp_mid",26.83,24.53,"315",257.035,1
"13713",113651,"col","Lyudyanza",133.839996,45.134998,"Khuanikheza River, at Kereits Spring, Primorye",NA,"",1,"Wuchiapingian","",259.9,254.17,27323,"gp_mid",142.86,22.42,"628",257.035,1
"13717",26318,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Mudstone Member b Kingscourt",NA,"",11,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13718",26319,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Mudstone Member c Kingscourt",NA,"",12,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13719",26320,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Mudstone Member d Kingscourt",NA,"",13,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13734",26351,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Mudstone Member e Kingscourt",NA,"",13,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13735",26352,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member f Kingscourt",NA,"",10,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13736",26353,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member g Kingscourt",NA,"",10,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13737",26354,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member h Kingscourt",NA,"",10,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13738",26355,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member i Kingscourt",NA,"",8,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13739",26356,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member j Kingscourt",NA,"",8,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13740",26357,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member k Kingscourt",NA,"",10,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13748",26376,"col","Kingscourt Gypsum",-6.785,53.900002,"Middle Mudstone Member l Kingscourt",NA,"",7,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13749",26377,"col","Kingscourt Gypsum",-6.785,53.900002,"Upper Gypsum Member m Kingscourt",NA,"",6,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13750",26378,"col","Kingscourt Gypsum",-6.785,53.900002,"Upper Mudstone Member n Kingscourt",NA,"",7,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",257.035,1
"13829",26905,"col","Werra",6.533333,51.5,"Copper Shale Mb T1 Rossenray shaft Kamp-Lintfort",26241,"",16,"Wuchiapingian","",259.9,254.17,7261,"gp_mid",26.83,24.53,"315",257.035,1
"13889",27105,"col","Lower Magnesium Limestone",-1.266667,52.983334,"Lower Magnesium Limestone (lower) Sutton borehole Nottinghamshire",NA,"",21,"Wuchiapingian","",259.9,254.17,7473,"gp_mid",21.39,25.39,"315",257.035,1
"13890",27106,"col","Lower Magnesium Limestone",-1.266667,52.983334,"Lower Magnesium Limestone (upper) Sutton borehole Nottinghamshire",NA,"",27,"Wuchiapingian","",259.9,254.17,7473,"gp_mid",21.39,25.39,"315",257.035,1
