"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"2896",8677,"col","Shekhan",71.389999,33.48,"Fossil Bed F.2104, Gada Khel, Kohat",NA,"",1,"Ypresian","",56,47.8,599,"gp_mid",72.97,5.23,"501",1,51.9,"ypresian",1
"3666",13187,"col","Nanjemoy",-76.486115,37.540558,"Woodstock",NA,"",2,"Ypresian","",56,47.8,4382,"gp_mid",-51.1,38.37,"109",1,51.9,"ypresian",1
"3895",15595,"col","Nanjemoy",-77.400002,38.299999,"Fisher/Sullivan Site",NA,"",123,"Wasatchian","",55.8,50.3,2961,"gp_mid",-51.06,39.32,"109",1,53.05,"ypresian",1
"3983",21244,"col","Oldhaven",0.083333,50.783333,"Oldhaven Beds",NA,"Bishopstone, Upnor",17,"Ypresian","",56,47.8,6504,"gp_mid",7.56,41.99,"315",1,51.9,"ypresian",1
"3985",21246,"col","London Clay",-2.266667,51.783333,"London Clay Basement Beds - Harefield",NA,"",7,"Ypresian","",56,47.8,6504,"gp_mid",5.7,43.12,"315",1,51.9,"ypresian",1
"3986",22814,"col","London Clay",-0.333333,51.566666,"London Clay Basement beds - North Harrow",NA,"",2,"Ypresian","",56,47.8,6528,"gp_mid",7.3,42.8,"315",1,51.9,"ypresian",1
"4116",22775,"col","Nanjemoy",-77.367226,38.285,"Fisher-Sullivan Site, Virgina",NA,"",11,"Ypresian","",56,47.8,6557,"gp_mid",-51.67,39.29,"109",1,51.9,"ypresian",1
"4121",22800,"col","London Clay",-0.133333,51.450001,"The London Clay Flora - Clapham",NA,"Clapham Common",8,"Ypresian","",56,47.8,6528,"gp_mid",7.46,42.67,"315",1,51.9,"ypresian",1
"4126",22809,"col","London Clay",-3.466667,50.633331,"The London Clay Flora - Kenton",NA,"",1,"Ypresian","",56,47.8,6528,"gp_mid",4.53,42.05,"315",1,51.9,"ypresian",1
"4129",22812,"col","London Clay",-0.316667,51.616669,"The London Clay Flora - Stanmore",NA,"",1,"Ypresian","",56,47.8,6528,"gp_mid",7.32,42.85,"315",1,51.9,"ypresian",1
