"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"3245",150062,"col","Pardonet",-122.873055,56.100277,"Brown Hill, Pardonet formation, BH-1",NA,"",5,"Norian","",228,208.5,48012,"gp_mid",-40.94,33.19,"101",1,218.25,"norian"
"3262",150063,"col","Pardonet",-122.873055,56.100277,"Brown Hill, Pardonet formation, BH-8",NA,"",15,"Norian","",228,208.5,48012,"gp_mid",-40.94,33.19,"101",1,218.25,"norian"
"3276",150064,"col","Pardonet",-122.873055,56.100277,"Brown Hill, Pardonet formation, BH-20",NA,"",13,"Norian","",228,208.5,48012,"gp_mid",-40.94,33.19,"101",1,218.25,"norian"
"3958",21166,"col","",125.949997,-8.816667,"Fatu Laculequi, Timor",NA,"Reef 98",16,"Norian","",228,208.5,6483,"gp_mid",99.25,-30.81,"680",1,218.25,"norian"
"3959",21179,"col","",125.949997,-8.8,"Fatu Naruc, Timor",NA,"",2,"Norian","",228,208.5,6483,"gp_mid",99.26,-30.8,"680",1,218.25,"norian"
"3960",21180,"col","",125.949997,-8.8,"Fatu Naruc II, Timor",NA,"Reef 98",6,"Norian","",228,208.5,6483,"gp_mid",99.26,-30.8,"680",1,218.25,"norian"
"3962",21182,"col","",125.949997,-8.811111,"Fatu Naruc, Forereef, Timor",NA,"Reef 98",18,"Norian","",228,208.5,6483,"gp_mid",99.25,-30.81,"680",1,218.25,"norian"
"4027",37983,"col","Nayband",52.033333,32.933334,"La-Kaftari reefs, Esfahan area, Central Iran",NA,"Reef 76",28,"Norian","",228,208.5,10118,"gp_mid",60.85,21.03,"512",1,218.25,"norian"
"4034",38055,"col","Martin Bridge limestone",-116.833336,45.116669,"Spring Creek, Hells Canyon",36755,"Reef 3323",26,"Lacian","",221.5,215.56,10160,"gp_mid",-41.92,19.75,"129",1,218.53,"norian"
"4165",22994,"col","",-121.783333,53.083332,"Eaglenest Mountain, British Columbia, Canada",NA,"Reef 2989",16,"Norian","",228,208.5,6622,"gp_mid",-51.05,26.44,"127",1,218.25,"norian"
"4370",23981,"col","Heiberg",-89.166664,78.916664,"Axel Heiberg Island 7",NA,"",1,"Norian","",228,208.5,6787,"gp_mid",-12.97,51.07,"106",1,218.25,"norian"
"4371",23982,"col","Heiberg",-90,79,"Axel Heiberg Island 8",NA,"",2,"Norian","",228,208.5,6787,"gp_mid",-13.16,51.21,"106",1,218.25,"norian"
"4423",24304,"col","Jebel Wasa",55.866669,24.700001,"Jebel Wasa south, Oman",NA,"Reef 33",21,"Norian","",228,208.5,6869,"gp_mid",52.79,-9.06,"503",1,218.25,"norian"
"4425",24306,"col","Misfah",57.058334,23.172222,"Sint, Jebel Kawr, Oman",NA,"Reef 35",25,"Norian","",228,208.5,6869,"gp_mid",53.61,-10.75,"503",1,218.25,"norian"
"4427",24310,"col","Pantokrator",23.083332,37.633331,"Sarmeika, Argolis Peninsula",NA,"Reef 11",14,"Norian","",228,208.5,6872,"gp_mid",29.29,8.31,"307",1,218.25,"norian"
"4486",24871,"col","",18.299999,46.599998,"Mecsek Mountains (3)",NA,"",4,"Norian","",228,208.5,6929,"gp_mid",33.4,17.08,"308",1,218.25,"norian"
"4558",25402,"col","Shiyuan",104.75,31.75,"Jiangyou",NA,"",63,"Lacian","Alaunian",221.5,212,7116,"gp_mid",114.42,33.42,"611",1,216.75,"norian"
"5942",32525,"col","",44,42.833332,"NW Caucasus, Mt. Bol'shoy Tkhach",NA,"PIN 2609/9",1,"Norian","",228,208.5,8770,"gp_mid",49.96,36.83,"402",1,218.25,"norian"
"5945",32528,"col","",44,42.833332,"NW Caucasus, Skirda Range",NA,"PIN 2609/1",1,"Norian","",228,208.5,8770,"gp_mid",49.96,36.83,"402",1,218.25,"norian"
"5960",32548,"col","Luning",-117.616669,38.866669,"Section 1/Locality 11212",NA,"",2,"Norian","",228,208.5,8769,"gp_mid",-42.92,15.7,"101",1,218.25,"norian"
"5961",32549,"col","Luning",-117.616669,38.866669,"Section 1/Locality 11213",NA,"",14,"Norian","",228,208.5,8769,"gp_mid",-42.92,15.7,"101",1,218.25,"norian"
"5962",32550,"col","Luning",-117.616669,38.866669,"Section 1/Locality 11214",NA,"",1,"Norian","",228,208.5,8769,"gp_mid",-42.92,15.7,"101",1,218.25,"norian"
"5963",32551,"col","Luning",-117.616669,38.866669,"Section 1/Locality 11215",NA,"",7,"Norian","",228,208.5,8769,"gp_mid",-42.92,15.7,"101",1,218.25,"norian"
"5964",32555,"col","",161,69.5,"Kolyma Basin",NA,"",1,"Norian","",228,208.5,8772,"gp_mid",-105.06,69.22,"405",1,218.25,"norian"
"5972",32572,"col","Luning",-117.616669,38.866669,"Section 1/Locality 11216",NA,"",11,"Norian","",228,208.5,8769,"gp_mid",-42.92,15.7,"101",1,218.25,"norian"
"5974",32575,"col","Luning",-117.616669,38.866669,"Section 1/Locality 11217",NA,"",6,"Norian","",228,208.5,8769,"gp_mid",-42.92,15.7,"101",1,218.25,"norian"
