"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"3769",13451,"col","Pismo",-120.733299,35.166698,"Avilla Beach W",NA,"UCMP V70148, UCMP V6616",8,"Piacenzian","",3.6,2.588,6029,"gp_mid",NA,NA,"coordinates not computable using this model",1,3.094,"piacenzian"
"3946",19703,"col","San Diego",-117.099998,32.900002,"San Diego Formation (""Lower"")",NA,"",35,"Piacenzian","",3.6,2.588,1360,"gp_mid",NA,NA,"coordinates not computable using this model",1,3.094,"piacenzian"
"4036",21333,"col","Lothagam 2",36.067001,2.883,"Lothagam 2",NA,"ETE Locality 132, Lothagam 2, ",4,"Piacenzian","",3.6,2.588,4648,"gp_mid",35.99,2,"712",1,3.094,"piacenzian"
"4051",21480,"col","Koobi Fora",36.333,4.058,"East Turkana - Area 116 - Lokochot",NA,"ETE Locality 294, Area 116 - Lokochot, ",5,"Piacenzian","",3.6,2.588,4447,"gp_mid",36.25,3.17,"712",1,3.094,"piacenzian"
"4092",75996,"col","Atsuga",143.352493,44.352501,"Monbetsu",NA,"",1,"Late Pliocene","",3.6,2.588,12148,"gp_mid",142.65,44.25,"609",1,3.094,"piacenzian"
"4095",22712,"col","Tamiami",-82.514702,27.336,"Richardson Road Shell Mine",NA,"ETE Locality 1587, Richardson Road Shell Mine, ",89,"Piacenzian","",3.6,2.588,5666,"gp_mid",-81.41,27.83,"109",1,3.094,"piacenzian"
"4147",22974,"col","",-157.933334,21.25,"Off Oahu, Pliocene, Hawaii",NA,"Reef 3161",9,"Piacenzian","",3.6,2.588,6616,"gp_mid",NA,NA,"coordinates not computable using this model",1,3.094,"piacenzian"
"5060",28039,"col","Tangahoe",174.28334,-39.583332,"Hawera",NA,"",23,"Waipipian","",3.6,3,7498,"gp_mid",175.45,-40.6,"806",1,3.3,"piacenzian"
"5781",32039,"col","Tamiami",-82.211502,26.983999,"Construction site near El Jobean quarry",NA,"",4,"Piacenzian","",3.6,2.588,8605,"gp_mid",-81.11,27.48,"109",1,3.094,"piacenzian"
"5783",32052,"col","",-7.65,33.583332,"Ahl al Oughlam - general",NA,"Deprez Quarry",84,"Late Pliocene","",3.6,2.588,5595,"gp_mid",-7.16,33.08,"707",1,3.094,"piacenzian"
"7235",34877,"col","Riukiu Limestone",130,28.333332,"Kikai-shima, Ryukyu Islands, Japan",NA,"Reef 2051",21,"Late Pliocene","",3.6,2.588,9353,"gp_mid",NA,NA,"coordinates not computable using this model",1,3.094,"piacenzian"
"7236",34878,"col","Riukiu Limestone",125.333336,24.75,"Miyako-jima, Ryukyu Islands, Japan",NA,"Reef 3285",22,"Late Pliocene","",3.6,2.588,9353,"gp_mid",NA,NA,"coordinates not computable using this model",1,3.094,"piacenzian"
"7237",34879,"col","Riukiu Limestone",123,24.450001,"Yonakuni-jima, Ryukyu Islands, Japan",NA,"Reef 3286",15,"Late Pliocene","",3.6,2.588,9353,"gp_mid",NA,NA,"coordinates not computable using this model",1,3.094,"piacenzian"
"7238",34880,"col","Riukiu Limestone",124.166664,24.416668,"Ishigaki-jima, Ryukyu Islands, Japan",NA,"Reef 3287",5,"Late Pliocene","",3.6,2.588,9353,"gp_mid",NA,NA,"coordinates not computable using this model",1,3.094,"piacenzian"
"7239",34881,"col","Riukiu Limestone",123.75,24.049999,"Hateruma-jima, Ryukyu Islands, Japan",NA,"Reef 3288",4,"Late Pliocene","",3.6,2.588,9353,"gp_mid",NA,NA,"coordinates not computable using this model",1,3.094,"piacenzian"
"7263",34955,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 15",NA,"Bardarson's Tjornes bed 15",2,"Late Pliocene","",3.6,2.588,9397,"gp_mid",-15.73,65.66,"907",1,3.094,"piacenzian"
"7264",34956,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 16",NA,"Bardarson's Tjornes bed 16",2,"Late Pliocene","",3.6,2.588,9397,"gp_mid",-15.73,65.66,"907",1,3.094,"piacenzian"
"7265",34957,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 17",NA,"Bardarson's Tjornes bed 17",1,"Late Pliocene","",3.6,2.588,9397,"gp_mid",-15.73,65.66,"907",1,3.094,"piacenzian"
"7266",34958,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 18",NA,"Bardarson's Tjornes bed 18",4,"Late Pliocene","",3.6,2.588,9397,"gp_mid",-15.73,65.66,"907",1,3.094,"piacenzian"
"7267",34959,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 19",NA,"Bardarson's Tjornes bed 19",4,"Late Pliocene","",3.6,2.588,9397,"gp_mid",-15.73,65.66,"907",1,3.094,"piacenzian"
"7268",34960,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 20",NA,"Bardarson's Tjornes bed 20",2,"Late Pliocene","",3.6,2.588,9397,"gp_mid",-15.73,65.66,"907",1,3.094,"piacenzian"
"7269",34961,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 21",NA,"Bardarson's Tjornes bed 21",2,"Late Pliocene","",3.6,2.588,9397,"gp_mid",-15.73,65.66,"907",1,3.094,"piacenzian"
"7270",34962,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 22",NA,"Bardarson's Tjornes bed 22",1,"Late Pliocene","",3.6,2.588,9397,"gp_mid",-15.73,65.66,"907",1,3.094,"piacenzian"
"7271",34963,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 23",NA,"Bardarson's Tjornes bed 23",4,"Late Pliocene","",3.6,2.588,9397,"gp_mid",-15.73,65.66,"907",1,3.094,"piacenzian"
"7272",34964,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 25",NA,"Bardarson's Tjornes bed 25",2,"Late Pliocene","",3.6,2.588,9397,"gp_mid",-15.73,65.66,"907",1,3.094,"piacenzian"
"7292",35028,"col","Nashua",-81.671112,29.518333,"Nashua Formation",NA,"",6,"Late Pliocene","",3.6,2.588,9411,"gp_mid",-80.53,30,"109",1,3.094,"piacenzian"
"7293",35029,"col","Jackson Bluff",-84.641945,30.388889,"Jackson Bluff Formation (unspecified localities)",NA,"",5,"Late Pliocene","",3.6,2.588,9411,"gp_mid",-83.5,30.91,"109",1,3.094,"piacenzian"
"7531",35686,"col","Onoke",175.46666,-41.216667,"New Zealand N166/522",NA,"Wairarapa N166/522",1,"Late Pliocene","",3.6,2.588,9626,"gp_mid",176.74,-42.19,"806",1,3.094,"piacenzian"
"7532",35687,"col","Onoke",174.71666,-41.25,"New Zealand N165/515",NA,"Wairarapa N165/515",2,"Late Pliocene","",3.6,2.588,9626,"gp_mid",175.99,-42.25,"806",1,3.094,"piacenzian"
"7540",35695,"col","Onoke",175.71666,-41.400002,"New Zealand N162/717",NA,"Wairarapa N162/717",1,"Late Pliocene","",3.6,2.588,9626,"gp_mid",177.01,-42.36,"806",1,3.094,"piacenzian"
"7543",35698,"col","Onoke",175.516663,-41.5,"New Zealand N165/520",NA,"Wairarapa N165/520",1,"Late Pliocene","",3.6,2.588,9626,"gp_mid",176.81,-42.47,"806",1,3.094,"piacenzian"
"10538",41036,"col","Seroe Domi",-68.900002,12.1,"Salina, ridges_59, Curacao",NA,"Reef 2678",8,"Piacenzian","",3.6,2.588,11055,"gp_mid",-68,12.28,"203",1,3.094,"piacenzian"
"10539",41038,"col","Seroe Domi",-68.949997,12.133333,"Rosseveltveg, ridges_60, Curacao,",NA,"Reef 2678",11,"Piacenzian","",3.6,2.588,11055,"gp_mid",-68.05,12.31,"203",1,3.094,"piacenzian"
"10540",41039,"col","Seroe Domi",-68.949997,12.133333,"Rosseveltveg, ridges_70, Curacao,",NA,"Reef 2678",15,"Piacenzian","",3.6,2.588,11055,"gp_mid",-68.05,12.31,"203",1,3.094,"piacenzian"
