"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"980",3536,"col","Inglis Limestone",-82.613335,28.918056,"FCi-2 - Crystal River [Inglis Limestone]",NA,"",5,"Priabonian","",38,33.9,124,"gp_mid",-67.85,31.76,"109",1,35.95,"priabonian"
"981",3535,"col","Ocala Limestone",-82.680496,29.0098,"FCi-1, Cross-Florida Barge Canal, Inglis",NA,"",11,"Priabonian","",38,33.9,124,"gp_mid",-67.9,31.86,"109",1,35.95,"priabonian"
"982",3537,"col","Williston Limestone",-82.62722,28.917778,"FCi-3 - Crystal River [Williston Limestone]",NA,"",1,"Priabonian","",38,33.9,124,"gp_mid",-67.87,31.76,"109",1,35.95,"priabonian"
"983",3539,"col","Yazoo Clay",-88.32917,31.765278,"ACH-19 (N Creek Clay)",NA,"",30,"Priabonian","",38,33.9,124,"gp_mid",-73.07,35.44,"109",1,35.95,"priabonian"
"984",3540,"col","Yazoo Clay",-87.800003,31.5,"ACl-4 (Cocoa Sand)",NA,"",8,"Priabonian","",38,33.9,124,"gp_mid",-72.59,35.1,"109",1,35.95,"priabonian"
"985",3541,"col","Yazoo Clay",-87.705002,31.650557,"ACl-6 (Cocoa Sand)",NA,"",7,"Priabonian","",38,33.9,124,"gp_mid",-72.46,35.23,"109",1,35.95,"priabonian"
"986",3538,"col","Yazoo Clay",-88.455559,31.782223,"ACh-17 (N Creek Clay)",NA,"",15,"Priabonian","",38,33.9,124,"gp_mid",-73.2,35.48,"109",1,35.95,"priabonian"
"987",3542,"col","Yazoo Clay",-87.800003,31.5,"ACl-11",NA,"",4,"Priabonian","",38,33.9,124,"gp_mid",-72.59,35.1,"109",1,35.95,"priabonian"
"988",3543,"col","Yazoo Clay",-86.771111,31.262501,"ACon-2 (Cocoa Sand)",NA,"",3,"Priabonian","",38,33.9,124,"gp_mid",-71.58,34.71,"109",1,35.95,"priabonian"
"989",3545,"col","Yazoo Clay",-86.772781,31.25,"AEs-3 (Pachuta)",NA,"",4,"Priabonian","",38,33.9,124,"gp_mid",-71.59,34.7,"109",1,35.95,"priabonian"
"990",3546,"col","Yazoo Clay",-86.772781,31.25,"AEs-4 (Pachuta)",NA,"",1,"Priabonian","",38,33.9,124,"gp_mid",-71.59,34.7,"109",1,35.95,"priabonian"
"991",3547,"col","Yazoo Clay",-87.800003,31.5,"ACl-4 (Shubuta)",NA,"",5,"Priabonian","",38,33.9,124,"gp_mid",-72.59,35.1,"109",1,35.95,"priabonian"
"992",3548,"col","Yazoo Clay",-87.705002,31.650557,"ACl-6 (Shubuta)",NA,"",16,"Priabonian","",38,33.9,124,"gp_mid",-72.46,35.23,"109",1,35.95,"priabonian"
"993",3549,"col","Yazoo Clay",-87.705002,31.650557,"ACl-10 (Shubuta)",NA,"",13,"Priabonian","",38,33.9,124,"gp_mid",-72.46,35.23,"109",1,35.95,"priabonian"
