"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"4139",22963,"col","Adnet",13.166667,47.700001,"Adnet Reef, Austria",NA,"Reef 5",48,"Rhaetian","",208.5,201.3,6610,"gp_mid",30.27,26.93,"307",1,204.9,"rhaetian"
"4399",24144,"col","Coron",119.816666,12.15,"Malajon, Palawan, Philippines",NA,"Reef 43",9,"Rhaetian","",208.5,201.3,6825,"gp_mid",141.81,34.51,"621",1,204.9,"rhaetian"
"4479",24798,"col","",-1.6702,46.437599,"L'Anse de la République tracksite, F6",NA,"Veillon, Republique Cove, principal slab",5,"Rhaetian","",208.5,201.3,6952,"gp_mid",12.09,29.89,"305",1,204.9,"rhaetian"
"4487",24872,"col","",18.299999,46.599998,"Mecsek Mountains (4)",NA,"",3,"Rhaetian","",208.5,201.3,6929,"gp_mid",32.08,23.65,"308",1,204.9,"rhaetian"
"4897",27536,"col","Calcare di Zu",9.05,46.049999,"Denti della Vecchia",NA,"Reef 2156",9,"Rhaetian","",208.5,201.3,7591,"gp_mid",26.77,27.92,"307",1,204.9,"rhaetian"
"4898",27537,"col","Calcare di Zu",9.5,45.783333,"Albenza 1, Italy",NA,"Reef 2156",22,"Rhaetian","",208.5,201.3,7591,"gp_mid",26.77,27.51,"307",1,204.9,"rhaetian"
"4899",27538,"col","Calcare di Zu",9.683333,45.766666,"Monte del Cavallo 1, Italy",NA,"Reef 2156",5,"Rhaetian","",208.5,201.3,7591,"gp_mid",26.86,27.4,"307",1,204.9,"rhaetian"
"4900",27539,"col","Calcare di Zu",9.683333,45.766666,"Monte del Cavallo 2, Italy",NA,"Reef 2156",6,"Rhaetian","",208.5,201.3,7591,"gp_mid",26.86,27.4,"307",1,204.9,"rhaetian"
"4985",27932,"col","Koessen",13,47,"Eiberg 1",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4986",27933,"col","Koessen",13,47,"Eiberg 2",NA,"",7,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4987",27934,"col","Koessen",13,47,"Eiberg 3",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4988",27935,"col","Koessen",13,47,"Eiberg 5",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4989",27936,"col","Koessen",13,47,"Eiberg 6-1",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4990",27937,"col","Koessen",13,47,"Eiberg 7",NA,"",6,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4991",27938,"col","Koessen",13,47,"Eiberg 8",NA,"",9,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4992",27939,"col","Koessen",13,47,"Eiberg 9",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4993",27940,"col","Koessen",13,47,"Eiberg 10",NA,"",6,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4994",27941,"col","Koessen",13,47,"Eiberg 11-1",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4995",27942,"col","Koessen",13,47,"Eiberg 11-3",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4996",27943,"col","Koessen",13,47,"Eiberg 13",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4997",27944,"col","Koessen",13,47,"Eiberg 14",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4998",27945,"col","Koessen",13,47,"Eiberg 17-2",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"4999",27946,"col","Koessen",13,47,"Eiberg 18",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"5000",27948,"col","Koessen",13,47,"Eiberg 20-6",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"5001",27949,"col","Koessen",13,47,"Eiberg 21-2",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"5002",27950,"col","Koessen",13,47,"Eiberg 22-2",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"5003",27951,"col","Koessen",13,47,"Eiberg 27-1",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.61,26.53,"307",1,204.9,"rhaetian"
"5004",27953,"col","Koessen",9,47,"Gaissau 1",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5005",27954,"col","Koessen",9,47,"Gaissau 3",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5006",27955,"col","Koessen",9,47,"Gaissau 4",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5007",27956,"col","Koessen",9,47,"Gaissau 6",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5008",27957,"col","Koessen",9,47,"Gaissau 7-1",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5009",27958,"col","Koessen",9,47,"Gaissau 9",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5010",27959,"col","Koessen",12,47,"Steinplatte BR1",NA,"Kohrgatterl-Dreilandereck",9,"Rhaetian","",208.5,201.3,7631,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5011",27960,"col","Koessen",12,47,"Steinplatte BR2",NA,"about 150 m S of Kohrgatterl, between northern and southern side of patch reef Steinplatte in Siblik (1998)",8,"Rhaetian","",208.5,201.3,7631,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5012",27961,"col","Koessen",12,47,"Steinplatte BR3",NA,"small outcrop above the road, 70 m SW of Kohrgatterl",9,"Rhaetian","",208.5,201.3,7631,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5013",27962,"col","Koessen",12,47,"Steinplatte BR4",NA,"SE of the Stallenalm on the path from Grunwaldalm to the kammerkohr Gasthaus, locality 2 in Stanton and Fluegel (1989)",6,"Rhaetian","",208.5,201.3,7631,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5014",27963,"col","Koessen",12,47,"Steinplatte BR5",NA,"base of the Koessen Formation cliff between Ohlen´s patch reefs A and B, near to locality 4 in Stanton and Fluegel (1989)",4,"Rhaetian","",208.5,201.3,7631,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5015",27964,"col","Koessen",12,47,"Steinplatte BR6",NA,"outcrop above Ohlen´s patch reef B, above the locality 7 in Stanton and Flegel (1989)",3,"Rhaetian","",208.5,201.3,7631,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5016",27965,"col","Koessen",9,47,"Gaissau 10",NA,"",7,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5017",27966,"col","Koessen",9,47,"Gaissau 11",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5018",27967,"col","Koessen",9,47,"Gaissau 13",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5019",27968,"col","Koessen",9,47,"Gaissau 16",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5020",27969,"col","Koessen",9,47,"Gaissau 21",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5021",27970,"col","Koessen",9,47,"Gaissau 22-1",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5022",27971,"col","Koessen",9,47,"Gaissau 23",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5023",27972,"col","Koessen",9,47,"Gaissau 32",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian"
"5024",27973,"col","Koessen",12,47,"Hochalm C4",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5025",27974,"col","Koessen",12,47,"Hochalm C12",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5026",27975,"col","Koessen",12,47,"Hochalm C16",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
