"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"4364",12120,"col","Claremont",-121.82,37.5,"Alameda Creek",NA,"V-3936",3,"Serravallian","",13.82,11.62,4176,"gp_mid",-115.57,40.29,"130",12.72,"serravallian",1397,-117.1751,37.8545,7
"4908",12970,"col","Villavieja",-75.22,3.22,"UCMP Locality V4524 (La Venta Fauna)",NA,"V-4524",4,"Laventan","",13.8,11.8,4293,"gp_mid",-71.62,4.01,"201",12.8,"serravallian",1483,-73.0392,0.936,7
"4909",12971,"col","Villavieja",-75.22,3.22,"UCMP Locality V4521 (La Venta Fauna)",NA,"",10,"Laventan","",13.8,11.8,4293,"gp_mid",-71.62,4.01,"201",12.8,"serravallian",1483,-73.0392,0.936,7
"4910",12972,"col","Villavieja",-75.22,3.22,"Duke-ING Locality 031 (La Venta Fauna)",NA,"",3,"Laventan","",13.8,11.8,4293,"gp_mid",-71.62,4.01,"201",12.8,"serravallian",1483,-73.0392,0.936,7
"4911",12973,"col","La Victoria",-75.22,3.22,"Duke-ING locality 040 (La Venta Fauna)",NA,"",1,"Laventan","",13.8,11.8,4293,"gp_mid",-71.62,4.01,"201",12.8,"serravallian",1483,-73.0392,0.936,7
"4912",12974,"col","La Victoria",-75.22,3.22,"Duke-ING locality 092 (La Venta Fauna)",NA,"",1,"Laventan","",13.8,11.8,4293,"gp_mid",-71.62,4.01,"201",12.8,"serravallian",1483,-73.0392,0.936,7
"4913",12975,"col","La Victoria",-75.22,3.22,"Duke-ING locality 041 (La Venta Fauna)",NA,"",2,"Laventan","",13.8,11.8,4293,"gp_mid",-71.62,4.01,"201",12.8,"serravallian",1483,-73.0392,0.936,7
"5154",13407,"col","Choptank",-76.77,38.16,"Mud Cliffs, East of",NA,"",6,"Serravallian","",13.82,11.62,6034,"gp_mid",-70.72,39.7,"109",12.72,"serravallian",1574,-72.2418,36.6048,7
"5155",13408,"col","Choptank",-76.47,38.46,"Calvert Beach Run, south of, Zone 19",NA,"",8,"Serravallian","",13.82,11.62,17218,"gp_mid",-70.39,39.98,"109",12.72,"serravallian",1575,-72.2418,36.6048,7
"5252",13630,"col","Villavieja",-75.08,3.32,"El Dinde Locality 9-86-A",NA,"La Venta Locality 9-86A",3,"Laventan","",13.8,11.8,29405,"gp_mid",-71.48,4.1,"201",12.8,"serravallian",1598,-73.0392,0.936,7
"5253",13650,"col","La Victoria",-75.17,3.3,"Duke Locality 70 (La Venta Fauna)",NA,"IGM 183912",3,"Laventan","",13.8,11.8,6139,"gp_mid",-71.56,4.09,"201",12.8,"serravallian",1599,-73.0392,0.936,7
"5254",13651,"col","Kiyu",-56.95,-34.63,"Playa Sanchez",NA,"",1,"Serravallian","",13.82,11.62,6186,"gp_mid",-54.7,-34.38,"202",12.72,"serravallian",1600,-53.852,-36.4463,7
"5255",13653,"col","Villavieja",-75.22,3.27,"Duke Locality 65 (La Venta Fauna)",NA,"IGM 184703",2,"Laventan","",13.8,11.8,6139,"gp_mid",-71.61,4.05,"201",12.8,"serravallian",1601,-73.0392,0.936,7
"5268",13678,"col","Villavieja",-75.17,3.23,"Duke Locality 59 (La Venta Fauna)",NA,"IGM 183499",2,"Laventan","",13.8,11.8,6139,"gp_mid",-71.56,4.02,"201",12.8,"serravallian",1602,-73.0392,0.936,7
"5269",13680,"col","Villavieja",-75.17,3.23,"Duke Locality 52 (La Venta Fauna)",NA,"",3,"Laventan","",13.8,11.8,6139,"gp_mid",-71.56,4.02,"201",12.8,"serravallian",1602,-73.0392,0.936,7
