"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"2408",4884,"col","Sandilands",-133.151382,53.926945,"Kennecott Point",NA,"",4,"Sinemurian","",199.3,190.8,299,"gp_mid",-79.95,35.71,"128",195.05
"3314",8051,"col","Jinji",115.459999,23.24,"KHG 282, Shanlongshui, Huidong County",NA,"",1,"Sinemurian","",199.3,190.8,492,"gp_mid",137.66,36.77,"611",195.05
"3437",7415,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-14",NA,"1-14",20,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3438",7416,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-18",NA,"1-18",18,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3439",7417,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-21",NA,"1-21",14,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3440",7418,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-23 B1",NA,"1-23 B1",12,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3441",7419,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-23 B2",NA,"1-23 B2",14,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3442",7420,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-26",NA,"1-26",19,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3443",7421,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-38",NA,"1-38",11,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3444",7422,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-62",NA,"1-62",11,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3445",7423,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-63",NA,"1-63",11,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3446",7424,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-64",NA,"1-64",11,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3447",7425,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-67",NA,"1-67",11,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3454",7432,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 4-14",NA,"4-14",10,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3455",7433,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 4-31 B2",NA,"4-31 B2",15,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3456",7434,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 4-31 B3",NA,"4-31 B3",11,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3457",7435,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 4-1",NA,"",1,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"3458",7436,"col","Aberhan Sinemur",-70.75,-33.466667,"Aberhan 1-24",NA,"",11,"Sinemurian","",199.3,190.8,487,"gp_mid",-15.71,-39.29,"291",195.05
"12617",23862,"col","Hierlatz Limestone",15,47,"Schafberg, railway station",NA,"",17,"Sinemurian","",199.3,190.8,13309,"gp_mid",32.03,29.13,"307",195.05
"12618",23863,"col","Hierlatz Limestone",15,47,"Schafberg, southwestern slopes, 1575 m",NA,"",29,"Sinemurian","",199.3,190.8,13309,"gp_mid",32.03,29.13,"307",195.05
"12620",23864,"col","Hierlatz Limestone",15,47,"Schafberg, southwestern slopes, crossing of railway and tourist path",NA,"",27,"Sinemurian","",199.3,190.8,13309,"gp_mid",32.03,29.13,"307",195.05
"12621",23865,"col","Hierlatz Limestone",15,47,"Schafberg, southwestern slopes, 1620 m",NA,"",15,"Sinemurian","",199.3,190.8,13309,"gp_mid",32.03,29.13,"307",195.05
"12622",23866,"col","Hierlatz Limestone",15,47,"Mondsee - northern slope of Eibenberg",NA,"",32,"Sinemurian","",199.3,190.8,13309,"gp_mid",32.03,29.13,"307",195.05
"12624",23868,"col","",15,37,"Taormina",NA,"",29,"Sinemurian","",199.3,190.8,13312,"gp_mid",NA,NA,"coordinates not computable using this model",195.05
"12629",23871,"col","",15,37,"Longobucco",NA,"",30,"Sinemurian","",199.3,190.8,13312,"gp_mid",NA,NA,"coordinates not computable using this model",195.05
"13060",24600,"col","",21.4,50.900002,"Ostrowiec",NA,"",37,"Sinemurian","",199.3,190.8,6917,"gp_mid",28.09,44.61,"302",195.05
"14860",28935,"col","",8,48,"Engstlatt 21",NA,"",29,"Sinemurian","",199.3,190.8,7918,"gp_mid",19.89,37.81,"305",195.05
"14861",28936,"col","",8,48,"Engstlatt 22",NA,"",9,"Sinemurian","",199.3,190.8,7918,"gp_mid",19.89,37.81,"305",195.05
"14863",28939,"col","",8,48,"Engstlatt 23",NA,"",12,"Sinemurian","",199.3,190.8,7918,"gp_mid",19.89,37.81,"305",195.05
"14864",28940,"col","",8,48,"Engstlatt 24",NA,"",9,"Sinemurian","",199.3,190.8,7918,"gp_mid",19.89,37.81,"305",195.05
"14865",28941,"col","",8,48,"Engstlatt 25",NA,"",5,"Sinemurian","",199.3,190.8,7918,"gp_mid",19.89,37.81,"305",195.05
"14866",28942,"col","",8,48,"Engstlatt 26",NA,"",2,"Sinemurian","",199.3,190.8,7918,"gp_mid",19.89,37.81,"305",195.05
"14867",28943,"col","",8,48,"Engstlatt 28",NA,"",0,"Sinemurian","",199.3,190.8,7918,"gp_mid",19.89,37.81,"305",195.05
"15045",29180,"col","Calcaire a gryphees",6,49,"Hettange 42b",NA,"",1,"Sinemurian","",199.3,190.8,8363,"gp_mid",17.82,38.1,"315",195.05
"15226",29378,"col","Cerro Puntudo Alto",-69.699997,-43.700001,"C. Meschio",NA,"PGAP 502",10,"Sinemurian","",199.3,190.8,8024,"gp_mid",-8.76,-48.26,"291",195.05
"16765",30923,"col","",68,38.599998,"Shargun'",NA,"PGAP 632",25,"Sinemurian","",199.3,190.8,8267,"gp_mid",79.87,50.95,"402",195.05
"16766",30924,"col","",68.300003,38.700001,"Tashkutan",NA,"PGAP 631",24,"Sinemurian","",199.3,190.8,8267,"gp_mid",80.14,51.14,"402",195.05
"16768",30926,"col","",68,38.599998,"Shargun'",NA,"PGAP 630",28,"Sinemurian","",199.3,190.8,8267,"gp_mid",79.87,50.95,"402",195.05
"17793",32014,"col","",6.283333,49.516666,"Echinoderms, Sinemurian, Ellange, Elvange, Luxemburg",NA,"",18,"Sinemurian","",199.3,190.8,8586,"gp_mid",17.73,38.65,"315",195.05
"18020",32316,"col","Broadford Beds",-5.716667,57.716667,"Southern Strath (NMS)",NA,"",2,"Sinemurian","",199.3,190.8,8703,"gp_mid",4.51,42.8,"303",195.05
"19061",33492,"col","",-4.1,52.817001,"Mochras Borehole 3, near Llanbedr, North Wales",NA,"",14,"Sinemurian","",199.3,190.8,8883,"gp_mid",8.38,38.76,"315",195.05
"19084",33516,"col","",9.95,52.317001,"Sample X/26 (99625), Mittelland canal, Sehnde, Lower Saxony",NA,"",16,"Sinemurian","",199.3,190.8,8907,"gp_mid",18.67,42.21,"315",195.05
"19085",33517,"col","",9.95,52.317001,"Sample X/28 (99626), Mittelland canal, Sehnde, Lower Saxony",NA,"",11,"Sinemurian","",199.3,190.8,8907,"gp_mid",18.67,42.21,"315",195.05
"19101",33557,"col","Ronne",15,55.169167,"Ronne Formation, Galgelokke Member",NA,"",1,"Sinemurian","",199.3,190.8,8923,"gp_mid",20.22,46.18,"302",195.05
"19115",33571,"col","",-1.95,32.533001,"Bou Arfa (1), Atlas Mountains",NA,"Reef 348",2,"Sinemurian","",199.3,190.8,8925,"gp_mid",4.77,23.27,"707",195.05
"19164",33621,"col","Calcari Grigi",11.133,46.067001,"Serrada (Folgaria, Trento)",NA,"",1,"Sinemurian","",199.3,190.8,8926,"gp_mid",29.19,30.5,"307",195.05
"19211",33673,"col","Hocakoey",86.875,78.625,"Sample 97UKT164, Hocakoey, Antalya Nappes, Central Taurids",NA,"",38,"Sinemurian","",199.3,190.8,8932,"gp_mid",-9.57,76.79,"401",195.05
"19212",33674,"col","Hocakoey",86.875,78.625,"Sample 97UKT166, Hocakoey, Antalya Nappes, Central Taurids",NA,"",40,"Sinemurian","",199.3,190.8,8932,"gp_mid",-9.57,76.79,"401",195.05
"19213",33675,"col","Hocakoey",86.875,78.625,"Sample 97UKT167, Hocakoey, Antalya Nappe, Central Taurids",NA,"",39,"Sinemurian","",199.3,190.8,8932,"gp_mid",-9.57,76.79,"401",195.05
"19214",33676,"col","Hocakoey",86.875,78.625,"Sample 97UKT168, Hocakoey, Antalya Nappes, Central Taurids",NA,"",44,"Sinemurian","",199.3,190.8,8932,"gp_mid",-9.57,76.79,"401",195.05
"19215",33677,"col","Hocakoey",86.875,78.625,"Sample 97UKT169, Hocakoey, Antalya Nappes, Central Taurids",NA,"",41,"Sinemurian","",199.3,190.8,8932,"gp_mid",-9.57,76.79,"401",195.05
"19216",33678,"col","Hocakoey",86.875,78.625,"Sample 97UKT171, Hocakoey, Antalya Nappes, Central Taurids",NA,"",35,"Sinemurian","",199.3,190.8,8932,"gp_mid",-9.57,76.79,"401",195.05
"19217",33679,"col","Hocakoey",86.875,78.625,"Sample 97UKT172, Hocakoey, Antalya Nappes, Central Taurids",NA,"",42,"Sinemurian","",199.3,190.8,8932,"gp_mid",-9.57,76.79,"401",195.05
"19218",33680,"col","Hocakoey",86.875,78.625,"Sample 97UKT173, Hocakoey, Antalya Nappes, Central Taurids",NA,"",38,"Sinemurian","",199.3,190.8,8932,"gp_mid",-9.57,76.79,"401",195.05
"19219",33681,"col","Hocakoey",86.875,78.625,"Sample 97UKT174, Hocakoey, Antalya Nappes, Central Taurids",NA,"",43,"Sinemurian","",199.3,190.8,8932,"gp_mid",-9.57,76.79,"401",195.05
"19220",33682,"col","Hocakoey",86.875,78.625,"Sample 97UKT178, Hocakoey, Antalya Nappes, Central Taurids",NA,"",41,"Sinemurian","",199.3,190.8,8932,"gp_mid",-9.57,76.79,"401",195.05
"19276",33738,"col","Puchenque",-70.099998,-35.099998,"B5-Arroyo del Portezuelo Ancho, Bed 1288, Mendoza",NA,"",6,"Sinemurian","",199.3,190.8,3975,"gp_mid",-14.23,-40.59,"291",195.05
"19603",34122,"col","",17,47,"Bakony Mts (1), Northwest Hungary",NA,"",25,"Sinemurian","",199.3,190.8,8985,"gp_mid",33.08,28.12,"308",195.05
"19652",34191,"col","Murray Ridge",-135.416672,68.066666,"GSC 85926, Murray Ridge Fm, Bug Creek, Northwest Territories",NA,"",1,"Sinemurian","",199.3,190.8,8997,"gp_mid",-50.16,47.5,"101",195.05
