"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"77",1213,"col","Tuscahoma",-87.42,31.81,"H76-33-4, Bells Landing Mbr, Alabama",NA,"",0,"Thanetian","",59.2,56,38,"gp_mid",-60.27,35.8,"109",57.6,"thanetian",25,-67.8548,33.5914,17
"80",1211,"col","Tuscahoma",-87.42,31.81,"H76-33-2, Bells Landing Mbr, Alabama",NA,"",0,"Thanetian","",59.2,56,38,"gp_mid",-60.27,35.8,"109",57.6,"thanetian",25,-67.8548,33.5914,17
"1473",3113,"col","Vincentown",-74.68,39.97,"Vincentown Formation, NJ",NA,"",164,"Thanetian","",59.2,56,140,"gp_mid",-44.51,40.13,"109",57.6,"thanetian",431,-54.9529,39.1212,17
"2933",6266,"col","Pebble Point",143.18,-38.7,"PL3001, Dilwyn Cove, Pebble Point Fm., Victoria, Australia",NA,"",40,"Thanetian","",59.2,56,398,"gp_mid",163.38,-58.81,"801",57.6,"thanetian",1009,145.2528,-61.4435,17
"2934",6267,"col","Pebble Point",143.18,-38.7,"PL3003, SE of Princetown, Pebble Point Fm., Victoria, Australia",NA,"",47,"Thanetian","",59.2,56,398,"gp_mid",163.38,-58.81,"801",57.6,"thanetian",1009,145.2528,-61.4435,17
"2935",6268,"col","Pebble Point",143.17,-38.68,"PL3004, NW Buckley Point, Pebble Point Fm., Victoria, Australia",NA,"",22,"Thanetian","",59.2,56,398,"gp_mid",163.34,-58.8,"801",57.6,"thanetian",1010,145.2528,-61.4435,17
"2936",6269,"col","Pebble Point",145.5,-37.75,"PL3005, Killara Bluff, Pebble Point Fm., Victoria, Australia",NA,"",2,"Thanetian","",59.2,56,398,"gp_mid",165.45,-57.08,"801",57.6,"thanetian",1011,151.2317,-60.735,17
"3992",11120,"col","Lodo",-120.68,36.62,"CAS 31318, Panoche Creek",NA,"",6,"Thanetian","",59.2,56,4090,"gp_mid",-89.89,45.65,"130",57.6,"thanetian",1296,-101.6675,41.6432,17
"3998",11126,"col","Lodo",-120.69,36.61,"LSJU 1068, junction of Silver and Panoche Creek",NA,"",5,"Thanetian","",59.2,56,4090,"gp_mid",-89.91,45.63,"130",57.6,"thanetian",1298,-101.6675,41.6432,17
"5017",13185,"col","Aquia",-76.96,37.88,"Piscataway",NA,"",1,"Thanetian","",59.2,56,4382,"gp_mid",-47.6,38.76,"109",57.6,"thanetian",1521,-59.2504,37.2781,17
"5018",13186,"col","Aquia",-76.47,36.6,"Paspotansa",NA,"",1,"Thanetian","",59.2,56,4382,"gp_mid",-47.67,37.43,"109",57.6,"thanetian",1522,-55.6037,36.6745,17
"11309",21215,"col","Thanet",1.13,51.37,"Thanet Sands",NA,"Herne Bay",5,"Thanetian","",59.2,56,6504,"gp_mid",9.22,41.45,"315",57.6,"thanetian",2050,-1.7169,46.9649,17
"11310",21218,"col","Woolwich & Reading Beds",-0.1,51.38,"Woolwich Beds - Croyden",NA,"",19,"Thanetian","",59.2,56,6504,"gp_mid",8.2,41.53,"315",57.6,"thanetian",2051,-1.7169,46.9649,17
"12420",23239,"col","Woolwich & Reading beds",-0.02,51.45,"Woolwich Beds - Counter Hill/Lewisham",NA,"",2,"Thanetian","",59.2,56,6528,"gp_mid",8.27,41.59,"315",57.6,"thanetian",2308,-1.7169,46.9649,17
"12421",23240,"col","Woolwich & Reading beds",0.2,51.47,"Woolwich Beds, Woolwich",NA,"",1,"Thanetian","",59.2,56,6528,"gp_mid",8.46,41.59,"315",57.6,"thanetian",2309,-1.7169,46.9649,17
"12437",23313,"col","Woolwich & Reading Beds",0.07,51.35,"Woolwich Beds - Newington",NA,"",1,"Thanetian","",59.2,56,6528,"gp_mid",8.33,41.48,"315",57.6,"thanetian",2313,-1.7169,46.9649,17
"12438",23315,"col","Woolrich & Reading Beds",-1,51.33,"Reading Beds - Reading",NA,"",14,"Thanetian","",59.2,56,6528,"gp_mid",7.44,41.53,"315",57.6,"thanetian",2314,-1.7169,46.9649,17
"12439",23316,"col","Woolwich & Reading Beds",-0.03,51.52,"Reading Beds, Hedge Row, Lea Valley",NA,"",1,"Thanetian","",59.2,56,6528,"gp_mid",8.27,41.66,"315",57.6,"thanetian",2315,-1.7169,46.9649,17
"12441",23318,"col","Woolwich & Reading Beds",0.02,51.42,"Woolwich Beds - Bromley",NA,"",1,"Thanetian","",59.2,56,6528,"gp_mid",8.3,41.55,"315",57.6,"thanetian",2317,-1.7169,46.9649,17
"12443",23320,"col","Woolwich & Reading Beds",-0.08,51.52,"Woolwich beds - Tooting, London",NA,"",8,"Thanetian","",59.2,56,6528,"gp_mid",8.23,41.66,"315",57.6,"thanetian",2318,-1.7169,46.9649,17
"12449",23326,"col","Woolwich & Reading Beds",-0.07,51.45,"Woolwich Beds - Dulwich",NA,"",2,"Thanetian","",59.2,56,6528,"gp_mid",8.23,41.59,"315",57.6,"thanetian",2319,-1.7169,46.9649,17
"12450",23327,"col","Woolwich & Reading Beds",0,51.73,"Reading Beds - Broxbourne",NA,"",4,"Thanetian","",59.2,56,6528,"gp_mid",8.32,41.87,"315",57.6,"thanetian",2320,-1.7169,46.9649,17
