"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"4233",11798,"col","",102.066666,25.016666,"Lufeng",NA,"",127,"Tortonian","",11.62,7.246,10883,"gp_mid",101.5,23.6,"611",9.433
"4946",13062,"col","Santa Margarita",-122.066666,37.077778,"UCMP V-70184, Granite Rock Company quarry",NA,"",1,"Tortonian","",11.62,7.246,4343,"gp_mid",NA,NA,"coordinates not computable using this model",9.433
"4970",13098,"col","Modelo",-118.199448,34.083611,"Lincoln Heights",NA,"",1,"Tortonian","",11.62,7.246,10152,"gp_mid",-114.35,35.74,"105",9.433
"5106",179776,"col","Aksucay",30.783333,37.266666,"Kargi section 15 meters, Aksu sub-basin",NA,"",12,"Tortonian","",11.62,7.246,59626,"gp_mid",31.18,35.41,"504",9.433
"5211",13522,"col","Entre Rios",-64.466667,-27.083332,"Rio Parana",NA,"",9,"Tortonian","",11.62,7.246,6124,"gp_mid",-62.56,-26.71,"201",9.433
"5213",13489,"col","Chinji",71.655556,32.929169,"Daud Khel Local Fauna",NA,"",32,"Tortonian","",11.62,7.246,10569,"gp_mid",73.05,28.23,"501",9.433
"5218",13502,"col","Huachipampa",-68.745834,-30.2425,"Loma de Camello (Huachipampa)",NA,"Mota en Loma del Camello",3,"Chasicoan","",10,9,6118,"gp_mid",-66.91,-29.69,"291",9.5
"5251",13626,"col","Entre Rios",-59.25,-33.716667,"Barrancas del Rio Parana",NA,"Entreriana",75,"Tortonian","",11.62,7.246,6134,"gp_mid",-57.55,-33.45,"202",9.433
"10361",19302,"col","""Santa Margarita""",-118.5,35.299999,"Comanche Point",NA,"UCMP V-5304",2,"Tortonian","",11.62,7.246,3015,"gp_mid",-114.25,37.27,"130",9.433
"11439",74566,"col","Mansar",75.150002,32.700001,"Sangaum Village",NA,"",1,"MN 9","",11.1,9.7,25066,"gp_mid",76.46,27.21,"501",10.4
"11816",22241,"col","Nawata",36.049999,2.9,"Lothagam-Lower Nawata Mb.",NA,"ETE Locality 1064, Lothagam 1B, Lothagam 1A, Lothagam 1, Lothagam, Lothagam-Lower Nawata mbr, ",112,"Tortonian","",11.62,7.246,8636,"gp_mid",35.8,0.25,"712",9.433
"12130",22681,"col","",8.73,47.919998,"Howenegg",NA,"ETE Locality 1556; Hewenegg-Hegau; Heweneg/Hegau",8,"MN 9","MN 10",11.1,8.7,5711,"gp_mid",10.09,46.11,"305",9.9
"12312",22978,"col","",-3.752778,36.950001,"Jayena, Spain",NA,"Reef 1472",3,"Tortonian","",11.62,7.246,6617,"gp_mid",NA,NA,"coordinates not computable using this model",9.433
"12313",22979,"col","",-3.766667,37.258331,"Illora, Spain",NA,"Reef 1474",4,"Tortonian","",11.62,7.246,6617,"gp_mid",-2.6,35.87,"304",9.433
"12858",24237,"col","Gatun",-79.800003,9.35,"Sabanita [lower Gatun Fm]",NA,"",39,"Tortonian","",11.62,7.246,6853,"gp_mid",-77.53,10.29,"230",9.433
