"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"3087",121744,"col","",-136.156113,67.974442,"GSC 53872, Section 116P-1, Scho Creek",NA,"",2,"Wordian","",268.8,265.1,3813,"gp_mid",-19.65,47.4,"101",1,266.95,"wordian"
"3094",121737,"col","",-136.410004,67.974998,"GSC 52710, Section 116P-6, Fish Creek",NA,"",2,"Wordian","",268.8,265.1,3813,"gp_mid",-19.72,47.49,"101",1,266.95,"wordian"
"3096",121739,"col","",-136.024994,67.790001,"GSC 53821, Section 116P-9, Rat River",NA,"",3,"Wordian","",268.8,265.1,3813,"gp_mid",-19.85,47.27,"101",1,266.95,"wordian"
"3172",11225,"col","Shedhorn",-106.783333,42.966667,"Upper Member of the Shedhorn Formation, Wyoming",NA,"",14,"Wordian","",268.8,265.1,4145,"gp_mid",-26.8,18.56,"101",1,266.95,"wordian"
"3173",11226,"col","Shedhorn",-106.783333,42.966667,"Lower Member of the Shedhorn Formation, Wyoming",NA,"",18,"Wordian","",268.8,265.1,4145,"gp_mid",-26.8,18.56,"101",1,266.95,"wordian"
"3187",11276,"col","Shedhorn",-109.42778,47.0625,"Upper Member, Shedhorn Formation of Montana",NA,"",26,"Wordian","",268.8,265.1,4145,"gp_mid",-26.1,23.01,"101",1,266.95,"wordian"
"3188",11277,"col","Shedhorn",-109.42778,47.0625,"Lower Member, Shedhorn Formation of Montana",NA,"",1,"Wordian","",268.8,265.1,4145,"gp_mid",-26.1,23.01,"101",1,266.95,"wordian"
"4264",23699,"col","Flowerpot",-99.5,34.866669,"Flowerpot Formation Mangum Oklahoma",NA,"",31,"Wordian","",268.8,265.1,6740,"gp_mid",-25.85,8.73,"101",1,266.95,"wordian"
"10420",40810,"col","Antimonio",-112.599998,30.766666,"USNM806b, Cerros de los Monos, El Antimonio, Sonora",NA,"",10,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian"
"10421",40811,"col","Antimonio",-112.591667,30.766666,"USNM806c, Cerros de los Monos, El Antimonio, Sonora",NA,"",8,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian"
"10422",40812,"col","Antimonio",-112.591667,30.766666,"USNM806d, Cerros de los Monos, El Antimonio, Sonora",NA,"",14,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian"
"10423",40813,"col","Antimonio",-112.591667,30.766666,"USNM806d', Cerros de los Monos, El Antimonio, Sonora",NA,"",10,"Wordian","",268.8,265.1,11030,"gp_mid",-38.19,16.23,"104",1,266.95,"wordian"
"10424",40815,"col","Antimonio",-112.566666,30.766666,"USNM806f, Cerros de los Monos, El Antimonio, Sonora",NA,"",20,"Wordian","",268.8,265.1,11030,"gp_mid",-38.18,16.21,"104",1,266.95,"wordian"
"10425",40816,"col","Antimonio",-112.566666,30.766666,"USNM806g, Cerros de los Monos, El Antimonio, Sonora",NA,"",15,"Wordian","",268.8,265.1,11030,"gp_mid",-38.18,16.21,"104",1,266.95,"wordian"
