"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"3026",121779,"col","Trold Fiord",-82.916664,79.866669,"GSC C-3996, Mount Bridgman, Ellesmere Island",NA,"",1,"Wuchiapingian","",259.9,254.17,29759,"gp_mid",9.04,49.9,"106",1,257.035,"wuchiapingian"
"3128",10696,"col","Zechstein",14.066667,54.316666,"H2-1/90 well, Baltic Sea, Germany",NA,"Reef 2363",10,"Wuchiapingian","",259.9,254.17,3969,"gp_mid",31.18,28.18,"302",1,257.035,"wuchiapingian"
"3141",112858,"col","Caodigou",98.099998,37.849998,"Jianghe East valley, 73YPIIF2-1, Tianjun District",NA,"",1,"Wuchiapingian","",259.9,254.17,29637,"gp_mid",106.52,20.1,"604",1,257.035,"wuchiapingian"
"3174",11227,"col","Phosphoria",-106.783333,42.966667,"Rex Chert Member, Phosphoria Formation of Wyoming",NA,"",13,"Wuchiapingian","",259.9,254.17,4145,"gp_mid",-26.69,23.53,"101",1,257.035,"wuchiapingian"
"3175",11228,"col","Park City",-106.783333,42.966667,"Franson Member, Park City Formation of Wyoming",NA,"",45,"Wuchiapingian","",259.9,254.17,4145,"gp_mid",-26.69,23.53,"101",1,257.035,"wuchiapingian"
"3179",11232,"col","Park City",-110.816666,39.599998,"Upper Franson Member, Park City Formation of Utah",NA,"",15,"Wuchiapingian","",259.9,254.17,4145,"gp_mid",-31.24,21.81,"101",1,257.035,"wuchiapingian"
"3180",11233,"col","Phosphoria",-110.816666,39.599998,"Rex Chert Member, Phosphoria Formation of Utah",NA,"",5,"Wuchiapingian","",259.9,254.17,4145,"gp_mid",-31.24,21.81,"101",1,257.035,"wuchiapingian"
"3181",11234,"col","Park City",-110.816666,39.599998,"Franson Member, Park City Formation of Utah",NA,"",25,"Wuchiapingian","",259.9,254.17,4145,"gp_mid",-31.24,21.81,"101",1,257.035,"wuchiapingian"
"3189",11278,"col","Phosphoria",-109.42778,47.0625,"Rex Chert Member, Phosphoria Formation of Montana",NA,"",6,"Wuchiapingian","",259.9,254.17,4145,"gp_mid",-26.55,28.03,"101",1,257.035,"wuchiapingian"
"3190",11279,"col","Park City",-109.42778,47.0625,"Franson Member, Park City Formation of Montana",NA,"",23,"Wuchiapingian","",259.9,254.17,4145,"gp_mid",-26.55,28.03,"101",1,257.035,"wuchiapingian"
"3194",11283,"col","Phosphoria",-114,44,"Rex Chert Member, Phosphoria Formation of Idaho",NA,"",27,"Wuchiapingian","",259.9,254.17,4145,"gp_mid",-34.56,27.69,"127",1,257.035,"wuchiapingian"
"3195",11284,"col","Park City",-114,44,"Franson Member, Park City Formation of Idaho",NA,"",7,"Wuchiapingian","",259.9,254.17,4145,"gp_mid",-34.56,27.69,"127",1,257.035,"wuchiapingian"
"4094",126932,"col","Chhidru",71.849998,32.483334,"East of pt 2263, ESE of Chhidru, Derbyia hemisphaerica zone, Salt Range",NA,"",3,"Wuchiapingian","",259.9,254.17,28589,"gp_mid",51.79,-38.24,"501",1,257.035,"wuchiapingian"
"4386",24084,"col","Ford",-1.381,54.879002,"Tunstall Hills East, Old Quarry (Loc 7), Reef Core",NA,"Reef 135",17,"Wuchiapingian","",259.9,254.17,6813,"gp_mid",21.12,27.27,"315",1,257.035,"wuchiapingian"
"4387",24085,"col","Ford",-1.392,54.882,"Rock Cottage (Loc 3), Tunstall Hills, Reef Base",NA,"Reef 135",31,"Wuchiapingian","",259.9,254.17,6813,"gp_mid",21.11,27.27,"315",1,257.035,"wuchiapingian"
"4388",24086,"col","Ford",-1.391,54.883999,"Maiden Paps North (Loc 5), Tunstall Hills, Durham",NA,"Reef 135",14,"Wuchiapingian","",259.9,254.17,6813,"gp_mid",21.11,27.27,"315",1,257.035,"wuchiapingian"
"4402",24193,"col","Zechstein Limestone",6.533333,51.5,"Zechstein Limestone Drillhole 57 Friedrich Heinrich Mine Kamp-Lintfort Germany",NA,"",15,"Wuchiapingian","",259.9,254.17,6819,"gp_mid",26.83,24.53,"315",1,257.035,"wuchiapingian"
"4457",24590,"col","Quxia",88.049164,29.1175,"Zhongbei Block, Lhaze County",NA,"",21,"Wuchiapingian","",259.9,254.17,8371,"gp_mid",67.41,-42.95,"613",1,257.035,"wuchiapingian"
"4510",25000,"col","Kingscourt Gypsum",-6.785,53.900002,"Conglomerate Member Kingscourt",NA,"",6,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4531",25244,"col","Hilton Plant Beds",-2.3,54.5,"Belah Brook",NA,"",6,"Wuchiapingian","",259.9,254.17,7074,"gp_mid",20.56,26.85,"315",1,257.035,"wuchiapingian"
"4532",25245,"col","Lower Marl",-0.9,53.299999,"Sutton Boring",NA,"",4,"Wuchiapingian","",259.9,254.17,7074,"gp_mid",21.6,25.73,"315",1,257.035,"wuchiapingian"
"4533",25246,"col","Marl Slate",-1.3,53,"Kimberley",NA,"",5,"Wuchiapingian","",259.9,254.17,7074,"gp_mid",21.37,25.4,"315",1,257.035,"wuchiapingian"
"4534",25247,"col","Marl Slate",-1.4,55,"Cullercoats Bay",NA,"",3,"Wuchiapingian","",259.9,254.17,7074,"gp_mid",21.1,27.39,"315",1,257.035,"wuchiapingian"
"4535",25248,"col","",-3,54.799999,"Hilton Beck",NA,"",10,"Wuchiapingian","",259.9,254.17,7074,"gp_mid",20.08,27.11,"315",1,257.035,"wuchiapingian"
"4545",25294,"col","",12.1,50.900002,"Gera",NA,"",11,"Wuchiapingian","",259.9,254.17,7075,"gp_mid",30.72,24.59,"305",1,257.035,"wuchiapingian"
"4546",25295,"col","",10,51,"Richelsdorf",NA,"",7,"Wuchiapingian","",259.9,254.17,7075,"gp_mid",29.27,24.42,"315",1,257.035,"wuchiapingian"
"4685",26113,"col","Terrigenious Series",20.666668,50.833332,"Terrigenious Series T1r-a Zaciszowice IG1 borehole Kielce",NA,"",19,"Wuchiapingian","",259.9,254.17,6936,"gp_mid",36.53,25.84,"305",1,257.035,"wuchiapingian"
"4712",26241,"col","Copper Shale",6.533333,51.5,"Copper Shale T1 depth 420-422m Rossenray I schaft Kamp-Lintfort",NA,"",18,"Wuchiapingian","",259.9,254.17,7244,"gp_mid",26.83,24.53,"315",1,257.035,"wuchiapingian"
"4722",113651,"col","Lyudyanza",133.839996,45.134998,"Khuanikheza River, at Kereits Spring, Primorye",NA,"",1,"Wuchiapingian","",259.9,254.17,27323,"gp_mid",142.86,22.42,"628",1,257.035,"wuchiapingian"
"4726",26318,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Mudstone Member b Kingscourt",NA,"",11,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4727",26319,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Mudstone Member c Kingscourt",NA,"",12,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4728",26320,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Mudstone Member d Kingscourt",NA,"",13,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4743",26351,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Mudstone Member e Kingscourt",NA,"",13,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4744",26352,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member f Kingscourt",NA,"",10,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4745",26353,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member g Kingscourt",NA,"",10,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4746",26354,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member h Kingscourt",NA,"",10,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4747",26355,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member i Kingscourt",NA,"",8,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4748",26356,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member j Kingscourt",NA,"",8,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4749",26357,"col","Kingscourt Gypsum",-6.785,53.900002,"Lower Gypsum Member k Kingscourt",NA,"",10,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4751",26376,"col","Kingscourt Gypsum",-6.785,53.900002,"Middle Mudstone Member l Kingscourt",NA,"",7,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4752",26377,"col","Kingscourt Gypsum",-6.785,53.900002,"Upper Gypsum Member m Kingscourt",NA,"",6,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4753",26378,"col","Kingscourt Gypsum",-6.785,53.900002,"Upper Mudstone Member n Kingscourt",NA,"",7,"Wuchiapingian","",259.9,254.17,6998,"gp_mid",17.69,26.07,"313",1,257.035,"wuchiapingian"
"4797",26905,"col","Werra",6.533333,51.5,"Copper Shale Mb T1 Rossenray shaft Kamp-Lintfort",26241,"",16,"Wuchiapingian","",259.9,254.17,7261,"gp_mid",26.83,24.53,"315",1,257.035,"wuchiapingian"
"4824",27105,"col","Lower Magnesium Limestone",-1.266667,52.983334,"Lower Magnesium Limestone (lower) Sutton borehole Nottinghamshire",NA,"",21,"Wuchiapingian","",259.9,254.17,7473,"gp_mid",21.39,25.39,"315",1,257.035,"wuchiapingian"
"4825",27106,"col","Lower Magnesium Limestone",-1.266667,52.983334,"Lower Magnesium Limestone (upper) Sutton borehole Nottinghamshire",NA,"",27,"Wuchiapingian","",259.9,254.17,7473,"gp_mid",21.39,25.39,"315",1,257.035,"wuchiapingian"
"4826",27107,"col","St Bees Evaporite",-3.233333,54.116669,"Grey Siltstones St Bees Evaporite Formation Roosecote borehole Barrow-in-Furnes",NA,"",14,"Wuchiapingian","",259.9,254.17,7473,"gp_mid",19.99,26.42,"315",1,257.035,"wuchiapingian"
"5542",31421,"col","Xiamidong",110.900002,29.4,"Daluokeng, Xiamidong Member 2, Gaofeng, Cili County",NA,"",6,"Wuchiapingian","",259.9,254.17,8481,"gp_mid",108.58,-13.01,"611",1,257.035,"wuchiapingian"
"5564",31446,"col","Xiamidong",110.910004,29.43,"Xiamidong section, Xiamidong Member 1, Gaofeng, Cili County",NA,"",1,"Wuchiapingian","",259.9,254.17,8481,"gp_mid",108.58,-12.98,"611",1,257.035,"wuchiapingian"
"5928",32498,"col","Longtan",106.959999,27.049999,"Mazhai, Kaiyang",NA,"",1,"Wuchiapingian","",259.9,254.17,8764,"gp_mid",105.74,-16.17,"611",1,257.035,"wuchiapingian"
"5989",32599,"col","Ford",-1.481,54.882999,"Painshaw Hill and Monument",NA,"",5,"Wuchiapingian","",259.9,254.17,30301,"gp_mid",21.06,27.27,"315",1,257.035,"wuchiapingian"
"9602",39435,"col","Gerster",-114.833336,40.166668,"Cherry Creek Range CCR-8",NA,"",4,"Wuchiapingian","",259.9,254.17,10679,"gp_mid",-33.94,23.71,"101",1,257.035,"wuchiapingian"
"9604",39436,"col","Gerster",-114.833336,40.166668,"Cherry Creek Range CCR-30F",NA,"",3,"Wuchiapingian","",259.9,254.17,10679,"gp_mid",-33.94,23.71,"101",1,257.035,"wuchiapingian"
"9605",39437,"col","Gerster",-114.833336,40.166668,"Cherry Creek Range CCR-359",NA,"",13,"Wuchiapingian","",259.9,254.17,10679,"gp_mid",-33.94,23.71,"101",1,257.035,"wuchiapingian"
"9606",39438,"col","Gerster",-114.833336,40.166668,"Cherry Creek Range CCR-363",NA,"",12,"Wuchiapingian","",259.9,254.17,10679,"gp_mid",-33.94,23.71,"101",1,257.035,"wuchiapingian"
