"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"3771",13488,"col","Cholan",120.995834,24.575001,"Chutung",NA,"",37,"Zanclean","",5.333,3.6,6103,"gp_mid",120.67,24.52,"611",1,4.4665,"zanclean"
"3913",18535,"col","Peace River",-81.800003,27.9,"Gardinier Mine",NA,"Whidden Creek",26,"Zanclean","",5.333,3.6,3558,"gp_mid",-80.31,28.54,"109",1,4.4665,"zanclean"
"7216",34849,"col","",175.116669,-41.383331,"Lake Ferry",NA,"Reef 835",6,"Early Pliocene","",5.333,3.6,9315,"gp_mid",176.85,-42.69,"806",1,4.4665,"zanclean"
"7218",34852,"col","Imperial",-116.066666,33.016666,"Barrett Canyon, Facies A, Salton Sea, California",NA,"Reef 2397",3,"Early Pliocene","",5.333,3.6,9338,"gp_mid",-114.37,33.76,"105",1,4.4665,"zanclean"
"7219",34853,"col","Imperial",-116.066666,33.016666,"Barrett Canyon, Facies B, Salton Sea, California",NA,"Reef 2397",4,"Early Pliocene","",5.333,3.6,9338,"gp_mid",-114.37,33.76,"105",1,4.4665,"zanclean"
"7220",34854,"col","Imperial",-116.066666,33.016666,"Barrett Canyon, Facies C, Salton Sea, California",NA,"Reef 2397",1,"Early Pliocene","",5.333,3.6,9338,"gp_mid",-114.37,33.76,"105",1,4.4665,"zanclean"
"7221",34855,"col","Imperial",-116.066666,33.016666,"Barrett Canyon, Facies D, Salton Sea, California",NA,"Reef 2397",3,"Early Pliocene","",5.333,3.6,9338,"gp_mid",-114.37,33.76,"105",1,4.4665,"zanclean"
"7222",34856,"col","Imperial",-116.066666,33.016666,"Barrett Canyon, Facies E, Salton Sea, California",NA,"Reef 2397",1,"Early Pliocene","",5.333,3.6,9338,"gp_mid",-114.37,33.76,"105",1,4.4665,"zanclean"
"7223",34857,"col","Imperial",-116.066666,33.016666,"Barrett Canyon, Facies F, Salton Sea, California",NA,"Reef 2397",2,"Early Pliocene","",5.333,3.6,9338,"gp_mid",-114.37,33.76,"105",1,4.4665,"zanclean"
"7253",34945,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 3",NA,"Bardarson's Tjornes bed 3",2,"Early Pliocene","",5.333,3.6,9397,"gp_mid",-15.35,65.54,"907",1,4.4665,"zanclean"
"7254",34946,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 5",NA,"Bardarson's Tjornes bed 5",2,"Early Pliocene","",5.333,3.6,9397,"gp_mid",-15.35,65.54,"907",1,4.4665,"zanclean"
"7255",34947,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 7",NA,"Bardarson's Tjornes bed 7",2,"Early Pliocene","",5.333,3.6,9397,"gp_mid",-15.35,65.54,"907",1,4.4665,"zanclean"
"7256",34948,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 8",NA,"Bardarson's Tjornes bed 8",2,"Early Pliocene","",5.333,3.6,9397,"gp_mid",-15.35,65.54,"907",1,4.4665,"zanclean"
"7257",34949,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 9",NA,"Bardarson's Tjornes bed 9",2,"Early Pliocene","",5.333,3.6,9397,"gp_mid",-15.35,65.54,"907",1,4.4665,"zanclean"
"7258",34950,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 10",NA,"Bardarson's Tjornes bed 10",2,"Early Pliocene","",5.333,3.6,9397,"gp_mid",-15.35,65.54,"907",1,4.4665,"zanclean"
"7259",34951,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 11",NA,"Bardarson's Tjornes bed 11",4,"Early Pliocene","",5.333,3.6,9397,"gp_mid",-15.35,65.54,"907",1,4.4665,"zanclean"
"7260",34952,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 12",NA,"Bardarson's Tjornes bed 12",3,"Early Pliocene","",5.333,3.6,9397,"gp_mid",-15.35,65.54,"907",1,4.4665,"zanclean"
"7261",34953,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 13",NA,"Bardarson's Tjornes bed 13",2,"Early Pliocene","",5.333,3.6,9397,"gp_mid",-15.35,65.54,"907",1,4.4665,"zanclean"
"7262",34954,"col","",-16.950001,66,"Buchardt and Simonarson's Tjornes bed 14",NA,"Bardarson's Tjornes bed 14",4,"Early Pliocene","",5.333,3.6,9397,"gp_mid",-15.35,65.54,"907",1,4.4665,"zanclean"
"7290",35026,"col","Tamiami",-81.48333,26.133333,"Unspecified localities [Tamiami Formation]",NA,"",62,"Early Pliocene","",5.333,3.6,9411,"gp_mid",-80.03,26.77,"109",1,4.4665,"zanclean"
"7541",35696,"col","Onoke",175.166672,-41.416668,"New Zealand N165/563",NA,"Wairarapa N165/563",1,"Early Pliocene","",5.333,3.6,9626,"gp_mid",176.9,-42.72,"806",1,4.4665,"zanclean"
"7687",35917,"col","Mangatoro",176.21666,-40.266666,"Dannevirke GS 2731",NA,"Geological Survey coll. 2731",0,"Early Pliocene","",5.333,3.6,9452,"gp_mid",177.88,-41.52,"806",1,4.4665,"zanclean"
"10534",41032,"col","Seroe Domi",-68.900002,12.1,"Salina, salina_57, Curacao",NA,"Reef 3330",8,"Zanclean","",5.333,3.6,11055,"gp_mid",-67.7,12.33,"203",1,4.4665,"zanclean"
"10535",41033,"col","Seroe Domi",-68.900002,12.1,"Salina, salina_50, Curacao",NA,"Reef 3330",9,"Zanclean","",5.333,3.6,11055,"gp_mid",-67.7,12.33,"203",1,4.4665,"zanclean"
"10536",41034,"col","Seroe Domi",-68.900002,12.1,"Salina, salina_55, Curacao",NA,"Reef 3330",9,"Zanclean","",5.333,3.6,11055,"gp_mid",-67.7,12.33,"203",1,4.4665,"zanclean"
"10537",41035,"col","Seroe Domi",-68.900002,12.1,"Salina, salina_35, Curacao",NA,"Reef 3330",7,"Zanclean","",5.333,3.6,11055,"gp_mid",-67.7,12.33,"203",1,4.4665,"zanclean"
"10556",41070,"col","Cercado",-71.183334,19.533333,"Gurabo Adentro, Gurabo_11, Dominican Republic",NA,"Reef 3331",11,"Zanclean","",5.333,3.6,11055,"gp_mid",-70.19,19.94,"252",1,4.4665,"zanclean"
"10557",41071,"col","Cercado",-71.183334,19.533333,"Gurabo Adentro, Gurabo_12, Dominican Republic",NA,"Reef 3331",9,"Zanclean","",5.333,3.6,11055,"gp_mid",-70.19,19.94,"252",1,4.4665,"zanclean"
"10558",41072,"col","",-83.416664,10.25,"Brazo Seco, Costa Rica",NA,"Reef 2681",8,"Zanclean","",5.333,3.6,11055,"gp_mid",-82.63,10.89,"204",1,4.4665,"zanclean"
"10572",41114,"col","Cercado",-71.183334,19.533333,"Gurabo Adentro, Gurabo_9",NA,"",6,"Zanclean","",5.333,3.6,11055,"gp_mid",-70.19,19.94,"252",1,4.4665,"zanclean"
"10756",41496,"col","Tamiami",-82.014999,26.885,"Charlotte Harbor area [Tamiami Fm]",NA,"",9,"Early Pliocene","",5.333,3.6,11119,"gp_mid",-80.55,27.53,"109",1,4.4665,"zanclean"
"10796",41541,"col","Mare",-64,10,"Locality F, Venezuela - Weisbord (1964)",NA,"Locality F",83,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-62.82,10.19,"201",1,4.4665,"zanclean"
"10797",41542,"col","Mare",-64,10,"Locality G, Venezuela - Weisbord (1964)",NA,"Locality G",5,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-62.82,10.19,"201",1,4.4665,"zanclean"
"10798",41543,"col","Mare",-64,10,"Locality I, Venezuela - Weisbord (1964)",NA,"Locality I",134,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-62.82,10.19,"201",1,4.4665,"zanclean"
"10799",41544,"col","Mare",-71,10,"Locality H, Venezuela - Weisbord (1964)",NA,"Locality H",48,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-69.82,10.25,"203",1,4.4665,"zanclean"
"10800",41545,"col","Mare",-64,10,"Locality J, Venezuela - Weisbord (1964)",NA,"Locality J",87,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-62.82,10.19,"201",1,4.4665,"zanclean"
"10801",41546,"col","Playa Grande",-63,10,"Locality K, Venezuela - Weisbord (1964)",NA,"Locality K",11,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-61.81,10.18,"201",1,4.4665,"zanclean"
"10804",41549,"col","Playa Grande",-64,10,"Locality X, Venezuela - Weisbord (1964)",NA,"Locality X",0,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-62.82,10.19,"201",1,4.4665,"zanclean"
"10805",41550,"col","Playa Grande",-64,10,"Locality Q, Venezuela - Weisbord (1964)",NA,"Locality Q",27,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-62.82,10.19,"201",1,4.4665,"zanclean"
"10806",41572,"col","Playa Grande",-67.033333,10.6,"Locality U, Venezuela - Weisbord (1964)",NA,"Locality U",3,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-65.84,10.82,"201",1,4.4665,"zanclean"
"10807",41551,"col","Playa Grande",-64,10,"Locality R, Venezuela - Weisbord (1964)",NA,"Locality R",34,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-62.82,10.19,"201",1,4.4665,"zanclean"
"10808",41552,"col","Playa Grande",-71,10,"Locality S, Venezuela - Weisbord (1964)",NA,"Locality S",96,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-69.82,10.25,"203",1,4.4665,"zanclean"
"10809",41553,"col","Playa Grande",-63,10,"Locality O, Venezuela - Weisbord (1964)",NA,"Locality O",16,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-61.81,10.18,"201",1,4.4665,"zanclean"
"10810",41554,"col","Mare",-64,10,"Locality T, Venezuela - Weisbord (1964)",NA,"Locality T",59,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-62.82,10.19,"201",1,4.4665,"zanclean"
"10811",41555,"col","Playa Grande",-63,10,"Locality M, Venezuela - Weisbord (1964)",NA,"Locality M",25,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-61.81,10.18,"201",1,4.4665,"zanclean"
"10825",41569,"col","Playa Grande",-63,10,"Locality N, Venezuela - Weisbord (1964)",NA,"Locality N",4,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-61.81,10.18,"201",1,4.4665,"zanclean"
"10826",41570,"col","Playa Grande",-63,10,"Locality L, Venezuela - Weisbord (1964)",NA,"Locality L",1,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-61.81,10.18,"201",1,4.4665,"zanclean"
"10827",41571,"col","Playa Grande",-63,10,"Locality P, Venezuela - Weisbord (1964)",NA,"Locality P",1,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-61.81,10.18,"201",1,4.4665,"zanclean"
"10828",41573,"col","Playa Grande",-63,10,"Locality V, Venezuela - Weisbord (1964)",NA,"Locality V",1,"Early Pliocene","",5.333,3.6,11132,"gp_mid",-61.81,10.18,"201",1,4.4665,"zanclean"
"10829",41574,"col","Onzole",-79.737503,0.95,"P-99, Onzole Fm, Punta Gorda",NA,"F-99",8,"Early Pliocene","",5.333,3.6,11181,"gp_mid",-78.64,1.28,"201",1,4.4665,"zanclean"
"10865",80415,"col","Pisco",-75.530556,-15.663611,"DV 460-1, DV 1598-1 [Pisco Fm]",NA,"",2,"Early Pliocene","",5.333,3.6,27056,"gp_mid",-74.58,-15.37,"201",1,4.4665,"zanclean"
