"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",1.72,0,4
2,75,60,67.5,"N",10.18,4,15.775
3,60,45,52.5,"N",45.02,33.45,61.65
4,45,30,37.5,"N",146.04,124.9,164.65
5,30,15,22.5,"N",327.8,300.225,349.55
6,15,0,7.5,"N",492.02,458.8,520.55
7,0,-15,-7.5,"S",482.68,458,508
8,-15,-30,-22.5,"S",312.84,285.45,339.875
9,-30,-45,-37.5,"S",136.18,112.35,156.55
10,-45,-60,-52.5,"S",40.58,29.675,51.55
11,-60,-75,-67.5,"S",8.52,4.225,12.775
12,-75,-90,-82.5,"S",1.4,0,3
