"bin","max","min","mid","hemisphere","MST","name","max_age","mid_age","min_age","duration","abbr","color"
1,90,-90,0,"Global",68033.49,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
1,90,-90,0,"Global",78320.54,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
1,90,-90,0,"Global",56714.52,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
1,90,-90,0,"Global",66897.36,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
1,90,-90,0,"Global",55577.92,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
1,90,-90,0,"Global",61941.67,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
1,90,-90,0,"Global",72940.92,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
1,90,-90,0,"Global",64539.5,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
1,90,-90,0,"Global",58906.43,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
1,90,-90,0,"Global",79552.1,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
1,90,-90,0,"Global",88730.74,"priabonian",38,35.95,33.9,4.1,"Prb","#FDCDA1"
1,90,-90,0,"Global",79285.3,"bartonian",41.3,39.65,38,3.3,"Brt","#FDC091"
1,90,-90,0,"Global",76522.84,"lutetian",47.8,44.55,41.3,6.5,"Lt","#FCB482"
1,90,-90,0,"Global",80595.25,"ypresian",56,51.9,47.8,8.2,"Y","#FCA773"
1,90,-90,0,"Global",41413.97,"thanetian",59.2,57.6,56,3.2,"Th","#FDBF6F"
1,90,-90,0,"Global",42063.61,"selandian",61.6,60.4,59.2,2.4,"Sl","#FEBF65"
1,90,-90,0,"Global",64753.75,"danian",66,63.8,61.6,4.4,"Dn","#FDB462"
1,90,-90,0,"Global",112673.44,"maastrichtian",72.1,69.05,66,6.1,"Mst","#F2FA8C"
1,90,-90,0,"Global",77062.25,"campanian",83.6,77.85,72.1,11.5,"Cm","#E6F47F"
1,90,-90,0,"Global",58431.36,"santonian",86.3,84.95,83.6,2.7,"Snt","#D9EF74"
1,90,-90,0,"Global",58374.82,"coniacian",89.8,88.05,86.3,3.5,"Cnc","#CCE968"
