"name","simulated_SLD_UB","sampled_SLD_UB","rarefied_SLD_UB","simulated_SLD_UF","sampled_SLD_UF","rarefied_SLD_UF","simulated_SLD_FB","sampled_SLD_FB","rarefied_SLD_FB","max_age","mid_age","min_age","duration","abbr","color"
"piacenzian",1.3341348353721,1.33078001704855,1.2084204621773,0.995980574884582,0.724371094850085,0.603973601709149,0.800228569891756,0.644611701139312,0.624089429328249,3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
"zanclean",1.33129985117359,1.27522288468365,1.18010983631092,0.991105565262066,0.741906863198551,0.656539648597427,0.785454139933409,0.533316021485094,0.523570187713495,5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
"messinian",1.34556056733104,1.25153982050081,1.19537176697762,1.01946088223711,0.825923625834695,0.789939066680758,0.779457774397419,0.469536755746206,0.439085519058402,7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
"tortonian",1.3002114805109,0.85377349170331,0.875754095430683,0.968766728013419,0.616062274655246,0.605759000259899,0.757130507898998,0.237813817224822,0.309339380802436,11.62,9.433,7.246,4.374,"Trt","#FFFF66"
"serravallian",1.2940579957106,1.10148547851027,1.09423090690602,0.931576350295467,0.787082768661902,0.703605383559128,0.748226260505319,0.316166833612775,0.392592066530667,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"langhian",1.26284562338617,0.754277591633669,0.788187041176026,0.95727502900306,0.571965332347524,0.576581642671394,0.735097253355579,0.182312259286145,0.356887190738773,15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
"burdigalian",1.29116932312144,1.15608384568367,1.12092644806608,0.958166297596704,0.788948944310991,0.711882160433664,0.737624803363998,0.393436153679903,0.43332268700769,20.44,18.205,15.97,4.47,"Brd","#FFFF41"
"aquitanian",1.27124227690338,0.929724769347614,0.936463364808978,0.954379700006096,0.628807862132166,0.628140641820531,0.697616309335313,0.300916907215448,0.348992081199007,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"chattian",1.22567958616943,0.448735202610789,0.706773936840851,0.936394893687067,0.355601843894856,0.429965399395207,0.664572488838564,0.138905945143554,0.317989805903292,28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
"rupelian",1.22593676903768,0.75164849574763,0.823333688986025,0.955070764881386,0.531149388858129,0.552375227484697,0.66743816430964,0.254417756065979,0.313062796996604,33.9,31,28.1,5.8,"Rp","#FED99A"
"priabonian",1.22599967400265,0.711228912815184,0.845393878103632,0.947972542025377,0.512536186813648,0.576028652054068,0.654205726670214,0.21783211864988,0.338061442090433,38,35.95,33.9,4.1,"Prb","#FDCDA1"
"bartonian",1.21545203350225,0.466658963783637,0.508099666215629,0.990016806016179,0.324730782812301,0.359675711939629,0.663620823379345,0.150839089186964,0.219864035046222,41.3,39.65,38,3.3,"Brt","#FDC091"
"lutetian",1.22296255130297,1.07381321932397,1.08096311548656,1.00072963593902,0.617792310457084,0.580331939766576,0.696116554233284,0.456020908866888,0.500631175719981,47.8,44.55,41.3,6.5,"Lt","#FCB482"
"ypresian",1.25474902216635,1.24634491786147,1.09585139245295,1.01379200292253,0.594065580144257,0.484747802138013,0.712038432544575,0.652279337717212,0.611103590314938,56,51.9,47.8,8.2,"Y","#FCA773"
"thanetian",1.25437423326307,0.908462995912096,0.669999861842431,0.981287285412839,0.447375271668933,0.41666218915123,0.733207267832186,0.519212500505652,0.391609929270349,59.2,57.6,56,3.2,"Th","#FDBF6F"
"selandian",1.25085018223752,1.11785031750895,1.10679595318863,0.974898661008036,0.665347117401913,0.663396950217889,0.69755931668039,0.452503200107034,0.443399002970743,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"danian",1.22984996887957,0.502398234021952,0.535034241223104,0.959659058522774,0.275442926033704,0.309618099735042,0.700604228206672,0.226955307988248,0.225416141488062,66,63.8,61.6,4.4,"Dn","#FDB462"
"maastrichtian",1.24348206148326,1.05856746352098,0.815960756389037,0.971581010113637,0.549163748515418,0.423690762160853,0.704457576816055,0.534309728952399,0.425639052954017,72.1,69.05,66,6.1,"Mst","#F2FA8C"
"campanian",1.21257452079119,1.04026087854932,0.701108534741295,1.0179955231475,0.692780612138246,0.477049976990435,0.743754236787981,0.518039442611225,0.393759303921006,83.6,77.85,72.1,11.5,"Cm","#E6F47F"
"santonian",1.17951891407589,0.543748315699816,0.546304920190269,1.06613160531661,0.389267570792038,0.410411622340376,0.741958307859768,0.190384381996375,0.208856093451101,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"coniacian",1.18354538299149,0.737109109901889,0.706465448138253,1.04325887110737,0.541449902264637,0.546959137946597,0.723059177116818,0.195659207637252,0.159506310191656,89.8,88.05,86.3,3.5,"Cnc","#CCE968"
"turonian",1.1951038401844,0.728832465777242,0.709193118876363,1.036194821612,0.535654704523348,0.535537406292334,0.722797555545574,0.226349383987119,0.199190148229018,93.9,91.85,89.8,4.1,"Trnn","#BFE35D"
"cenomanian",1.22252465213568,1.09798391975249,0.952268577277667,1.00943165141188,0.782173540153421,0.680750293911586,0.702969187915649,0.409481995832301,0.395716400814785,100.5,97.2,93.9,6.6,"Cnm","#B3DE53"
