"name","sampled_SLD","rarefied_SLD","max_age","mid_age","min_age","duration","abbr","color"
"piacenzian",0.889235689035873,0.443599065558006,3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
"zanclean",0.850443231128759,0.399713554969647,5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
"messinian",1.04795654194866,0.66739356254576,7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
"tortonian",0.955397372217356,0.493522943832721,11.62,9.433,7.246,4.374,"Trt","#FFFF66"
"serravallian",0.853951806190052,0.491814566189749,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"langhian",0.991329269748229,0.583006086774539,15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
"burdigalian",0.953686026839628,0.475854816418325,20.44,18.205,15.97,4.47,"Brd","#FFFF41"
"aquitanian",0.769406134470323,0.434100165209609,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"chattian",0.803589524386783,0.512238652499386,28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
"rupelian",0.99404962814481,0.595093359192761,33.9,31,28.1,5.8,"Rp","#FED99A"
"priabonian",0.911254885889048,0.618692287191254,38,35.95,33.9,4.1,"Prb","#FDCDA1"
"bartonian",1.24057578730649,0.76559244074571,41.3,39.65,38,3.3,"Brt","#FDC091"
"lutetian",1.29811025118409,0.923311227292045,47.8,44.55,41.3,6.5,"Lt","#FCB482"
"ypresian",1.15717257859291,0.697164625794873,56,51.9,47.8,8.2,"Y","#FCA773"
"thanetian",1.24368640629672,0.748020951918262,59.2,57.6,56,3.2,"Th","#FDBF6F"
"selandian",1.44788842238399,0.806977431814634,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"danian",1.17364352816726,0.6958809037784,66,63.8,61.6,4.4,"Dn","#FDB462"
"maastrichtian",0.96763975861977,0.461197693207303,72.1,69.05,66,6.1,"Mst","#F2FA8C"
"campanian",0.743585461720601,0.51218845477588,83.6,77.85,72.1,11.5,"Cm","#E6F47F"
"santonian",0.869495641391555,0.470377958397351,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"coniacian",0.901264851438173,0.454173119131757,89.8,88.05,86.3,3.5,"Cnc","#CCE968"
"turonian",0.89966479035088,0.498695946732543,93.9,91.85,89.8,4.1,"Trnn","#BFE35D"
"cenomanian",0.918794197664931,0.548116381039936,100.5,97.2,93.9,6.6,"Cnm","#B3DE53"
"albian",0.858633712548007,0.507335699347819,113,106.75,100.5,12.5,"Alb","#CCEA97"
"aptian",1.08941662167366,0.818517612917014,125,119,113,12,"Ap","#BFE48A"
"barremian",1.16574450855921,0.842717412309383,129.4,127.2,125,4.4,"Brrm","#B3DF7F"
"hauterivian",1.33437975046371,0.788200663428745,132.9,131.15,129.4,3.5,"Htr","#A6D975"
"valanginian",0.969817192850568,0.605561701484749,139.8,136.35,132.9,6.9,"Vl","#99D36A"
"berriasian",1.10012790090555,0.757978706548,145,142.4,139.8,5.2,"Brrs","#8CCD60"
"tithonian",0.887603680568568,0.598322414459,152.1,148.55,145,7.1,"Tt","#D9F1F7"
"kimmeridgian",0.706542414792736,0.447664608845029,157.3,154.7,152.1,5.2,"Km","#CCECF4"
"oxfordian",0.962370525034326,0.721612970219639,163.5,160.4,157.3,6.2,"Ox","#BFE7F1"
"callovian",0.927174124624536,0.444328786007558,166.1,164.8,163.5,2.6,"Cll","#BFE7E5"
"bathonian",0.940098840841883,0.600231486068944,168.3,167.2,166.1,2.2,"Bt","#B3E2E3"
"bajocian",1.12333792655527,0.696012062403839,170.3,169.3,168.3,2,"Bj","#A6DDE0"
"aalenian",0.982118357318701,0.785163726799836,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"toarcian",1.05723395802014,0.601451129243988,182.7,178.4,174.1,8.6,"Trc","#99CEE3"
"pliensbachian",0.70321812996815,0.372380958817882,190.8,186.75,182.7,8.1,"Pl","#80C5DD"
"sinemurian",0.81535264338536,0.41382562404501,199.3,195.05,190.8,8.5,"Snm","#67BCD8"
"hettangian",1.08825001607643,0.59825889771917,201.3,200.3,199.3,2,"Htt","#4EB3D3"
"rhaetian",1.16397497004241,1.00147513023656,208.5,204.9,201.3,7.2,"Rht","#E3B9DB"
"norian",0.53235897163086,0.421599461343035,228,218.25,208.5,19.5,"N","#D6AAD3"
"carnian",0.540617491184772,0.338439439626488,237,232.5,228,9,"Cr","#C99BCB"
"ladinian",0.62707607135746,0.416878910486403,242,239.5,237,5,"Ldn","#C983BF"
"anisian",0.798946657806916,0.442550573387442,247.2,244.6,242,5.2,"An","#BC75B7"
"olenekian",0.669978735505171,0.436964123008919,251.2,249.2,247.2,4,"Ol","#B051A5"
"induan",0.751367894963135,0.50562819528192,252.17,251.685,251.2,0.97,"I","#A4469F"
"changhsingian",0.970714983662936,0.516049706779711,254.17,253.17,252.17,2,"Chn","#FCC0B2"
"wuchiapingian",0.71707086027625,0.507293559451452,259.9,257.035,254.17,5.73,"Wc","#FCB4A2"
"capitanian",0.664161670605588,0.491726024604726,265.1,262.5,259.9,5.2,"Cp","#FB9A85"
"wordian",0.805736256082314,0.429468501036762,268.8,266.95,265.1,3.7,"Wr","#FB8D76"
"roadian",1.08059847272732,0.565990064818257,272.3,270.55,268.8,3.5,"Rd","#FB8069"
"kungurian",0.854971052855586,0.515957904470322,279.3,275.8,272.3,7,"Kn","#E38776"
"artinskian",0.600763413014577,0.335346273319511,290.1,284.7,279.3,10.8,"Art","#E37B68"
"sakmarian",0.618190749991903,0.532690646450335,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"asselian",0.539239157660878,0.372738872927785,298.9,297.2,295.5,3.4,"As","#E36350"
