"name","sampled_SLD","rarefied_SLD","max_age","mid_age","min_age","duration","abbr","color"
"piacenzian",0.9899903730438,0.575744021304859,3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
"zanclean",0.794353668698689,0.649891585073388,5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
"messinian",1.06340214347977,0.603993347375725,7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
"tortonian",0.923480765187899,0.527702465149886,11.62,9.433,7.246,4.374,"Trt","#FFFF66"
"serravallian",0.975019978877637,0.612916120835627,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"langhian",0.940363321147406,0.538309990134002,15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
"burdigalian",0.881557064099389,0.5798406723323,20.44,18.205,15.97,4.47,"Brd","#FFFF41"
"aquitanian",0.934402210813452,0.467201105406725,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"chattian",0.961320854224275,0.672347912677443,28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
"rupelian",0.865768369714885,0.528274982751306,33.9,31,28.1,5.8,"Rp","#FED99A"
"priabonian",0.831468362484539,0.659910527105122,38,35.95,33.9,4.1,"Prb","#FDCDA1"
"bartonian",0.845132259847516,0.504576418631817,41.3,39.65,38,3.3,"Brt","#FDC091"
"lutetian",0.953871511964373,0.708819228171183,47.8,44.55,41.3,6.5,"Lt","#FCB482"
"ypresian",0.848150297243199,0.533748713452929,56,51.9,47.8,8.2,"Y","#FCA773"
"thanetian",1.00962207844696,0.560759145138314,59.2,57.6,56,3.2,"Th","#FDBF6F"
"selandian",0.831790288141066,0.475483555215512,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"danian",0.940263726935019,0.823498940009734,66,63.8,61.6,4.4,"Dn","#FDB462"
"maastrichtian",0.750919960853832,0.589757129525501,72.1,69.05,66,6.1,"Mst","#F2FA8C"
"campanian",0.939927840850465,0.732650287501141,83.6,77.85,72.1,11.5,"Cm","#E6F47F"
"santonian",1.12549599407342,0.764225652315063,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"coniacian",0.971667050715226,0.816678267829328,89.8,88.05,86.3,3.5,"Cnc","#CCE968"
"turonian",1.12416870240042,0.839986523084519,93.9,91.85,89.8,4.1,"Trnn","#BFE35D"
"cenomanian",0.887300969160326,0.580124515843183,100.5,97.2,93.9,6.6,"Cnm","#B3DE53"
"albian",0.579515370652967,0.474892933089788,113,106.75,100.5,12.5,"Alb","#CCEA97"
"aptian",0.849154988687251,0.707546184237913,125,119,113,12,"Ap","#BFE48A"
"barremian",1.07568581652871,0.846978407108911,129.4,127.2,125,4.4,"Brrm","#B3DF7F"
"hauterivian",1.11146622986539,0.980203049464002,132.9,131.15,129.4,3.5,"Htr","#A6D975"
"valanginian",0.742100696470173,0.537570556032817,139.8,136.35,132.9,6.9,"Vl","#99D36A"
"berriasian",0.639415604474893,0.548361037544045,145,142.4,139.8,5.2,"Brrs","#8CCD60"
"tithonian",0.542614874513176,0.469557301512144,152.1,148.55,145,7.1,"Tt","#D9F1F7"
"kimmeridgian",0.665485951722053,0.630532431705722,157.3,154.7,152.1,5.2,"Km","#CCECF4"
"oxfordian",0.814509314550336,0.593788440448523,163.5,160.4,157.3,6.2,"Ox","#BFE7F1"
"callovian",0.792789329856115,0.713405075174677,166.1,164.8,163.5,2.6,"Cll","#BFE7E5"
"bathonian",0.80464200186845,0.706158994037547,168.3,167.2,166.1,2.2,"Bt","#B3E2E3"
"bajocian",0.840542952674808,0.600900452768643,170.3,169.3,168.3,2,"Bj","#A6DDE0"
"aalenian",0.765477897444844,0.478235311610175,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"toarcian",0.669270567135335,0.499957678522482,182.7,178.4,174.1,8.6,"Trc","#99CEE3"
"pliensbachian",0.50350171492552,0.301068399955095,190.8,186.75,182.7,8.1,"Pl","#80C5DD"
"sinemurian",0.455366824139544,0.36768689776394,199.3,195.05,190.8,8.5,"Snm","#67BCD8"
"hettangian",0.625815098547385,0.326024342457514,201.3,200.3,199.3,2,"Htt","#4EB3D3"
"rhaetian",0.563086407130065,0.333475025866528,208.5,204.9,201.3,7.2,"Rht","#E3B9DB"
"norian",0.510370377424806,0.237618187104485,228,218.25,208.5,19.5,"N","#D6AAD3"
"carnian",0.561552672488388,0.281088525496872,237,232.5,228,9,"Cr","#C99BCB"
"ladinian",0.504802392724572,0.354187646931394,242,239.5,237,5,"Ldn","#C983BF"
"anisian",0.651806400711908,0.498020573543224,247.2,244.6,242,5.2,"An","#BC75B7"
"olenekian",0.716212884990126,0.600310416424698,251.2,249.2,247.2,4,"Ol","#B051A5"
