"name","sampled_SLD","rarefied_SLD","max_age","mid_age","min_age","duration","abbr","color"
"piacenzian",0.52677549390078,0.34686351908136,3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
"zanclean",0.393039892190151,0.348164162001356,5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
"messinian",0.525942441851044,0.367847323758598,7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
"tortonian",0.643553574961947,0.563002398297484,11.62,9.433,7.246,4.374,"Trt","#FFFF66"
"serravallian",0.626061652980019,0.411171667310696,13.82,12.72,11.62,2.2,"Srr","#FFFF59"
"langhian",0.876118968419941,0.713096210822919,15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
"burdigalian",0.643592848655912,0.608595593266926,20.44,18.205,15.97,4.47,"Brd","#FFFF41"
"aquitanian",0.768113884053772,0.414189553660189,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"chattian",0.877497106090338,0.545408406447929,28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
"rupelian",0.902581180255454,0.695054252663903,33.9,31,28.1,5.8,"Rp","#FED99A"
"priabonian",0.752030634367993,0.479036814776475,38,35.95,33.9,4.1,"Prb","#FDCDA1"
"bartonian",0.733234533703406,0.619237090841376,41.3,39.65,38,3.3,"Brt","#FDC091"
"lutetian",0.567895959315955,0.518637620336885,47.8,44.55,41.3,6.5,"Lt","#FCB482"
"ypresian",0.386605040522755,0.301514268649965,56,51.9,47.8,8.2,"Y","#FCA773"
"thanetian",0.615960160588729,0.540890741491513,59.2,57.6,56,3.2,"Th","#FDBF6F"
"selandian",0.78415160861989,0.485172138040804,61.6,60.4,59.2,2.4,"Sl","#FEBF65"
"danian",1.05555069727469,0.974577473669743,66,63.8,61.6,4.4,"Dn","#FDB462"
"maastrichtian",0.593532934036836,0.365161155659828,72.1,69.05,66,6.1,"Mst","#F2FA8C"
"campanian",0.921056061686608,0.738539606630396,83.6,77.85,72.1,11.5,"Cm","#E6F47F"
"santonian",0.888114538707502,0.627432983661647,86.3,84.95,83.6,2.7,"Snt","#D9EF74"
"coniacian",0.578289583464486,0.48852912740845,89.8,88.05,86.3,3.5,"Cnc","#CCE968"
"turonian",0.698277640637414,0.555955801498393,93.9,91.85,89.8,4.1,"Trnn","#BFE35D"
"cenomanian",0.685805412594514,0.437870275398157,100.5,97.2,93.9,6.6,"Cnm","#B3DE53"
"albian",0.544747762393249,0.350534432200879,113,106.75,100.5,12.5,"Alb","#CCEA97"
"aptian",0.772577342252137,0.484240357549458,125,119,113,12,"Ap","#BFE48A"
"barremian",0.647661555015576,0.4262431943906,129.4,127.2,125,4.4,"Brrm","#B3DF7F"
"hauterivian",0.609742115670667,0.421640740501714,132.9,131.15,129.4,3.5,"Htr","#A6D975"
"valanginian",0.478205325050549,0.335881390940967,139.8,136.35,132.9,6.9,"Vl","#99D36A"
"berriasian",0.541815058113609,0.425579825969433,145,142.4,139.8,5.2,"Brrs","#8CCD60"
"tithonian",0.515316603722695,0.375301360550667,152.1,148.55,145,7.1,"Tt","#D9F1F7"
"kimmeridgian",0.357677133478296,0.333895424197996,157.3,154.7,152.1,5.2,"Km","#CCECF4"
"oxfordian",0.421179939700367,0.346663970301779,163.5,160.4,157.3,6.2,"Ox","#BFE7F1"
"callovian",0.54537186766776,0.434723603481336,166.1,164.8,163.5,2.6,"Cll","#BFE7E5"
"bathonian",0.520940393575937,0.295477754330574,168.3,167.2,166.1,2.2,"Bt","#B3E2E3"
"bajocian",0.645968720559251,0.457705726218387,170.3,169.3,168.3,2,"Bj","#A6DDE0"
"aalenian",1.03363992219719,0.640069848762445,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"toarcian",1.02577448408611,0.496542278664126,182.7,178.4,174.1,8.6,"Trc","#99CEE3"
"pliensbachian",0.988433329139867,0.610141451254419,190.8,186.75,182.7,8.1,"Pl","#80C5DD"
"sinemurian",1.04205036172177,0.765958908070584,199.3,195.05,190.8,8.5,"Snm","#67BCD8"
"hettangian",1.04126607076545,0.619141292477395,201.3,200.3,199.3,2,"Htt","#4EB3D3"
"rhaetian",0.99279209865866,0.614013886825517,208.5,204.9,201.3,7.2,"Rht","#E3B9DB"
"norian",0.357069176625801,0.277908859935466,228,218.25,208.5,19.5,"N","#D6AAD3"
"carnian",0.678532710868776,0.387893462881221,237,232.5,228,9,"Cr","#C99BCB"
"ladinian",0.43565283952983,0.351966357591327,242,239.5,237,5,"Ldn","#C983BF"
"anisian",0.372067404592459,0.253358287066223,247.2,244.6,242,5.2,"An","#BC75B7"
"olenekian",0.276720446789583,0.231051158997062,251.2,249.2,247.2,4,"Ol","#B051A5"
"induan",0.582959440958378,0.498124853851159,252.17,251.685,251.2,0.97,"I","#A4469F"
"changhsingian",0.538978644599512,0.300885513450345,254.17,253.17,252.17,2,"Chn","#FCC0B2"
"wuchiapingian",0.424434555663534,0.264869692580316,259.9,257.035,254.17,5.73,"Wc","#FCB4A2"
"capitanian",0.370606963072014,0.23591629186252,265.1,262.5,259.9,5.2,"Cp","#FB9A85"
"wordian",0.356509105315453,0.184060250720774,268.8,266.95,265.1,3.7,"Wr","#FB8D76"
"roadian",0.265925794855761,0.207210984796272,272.3,270.55,268.8,3.5,"Rd","#FB8069"
"kungurian",0.638101693716231,0.455922257705636,279.3,275.8,272.3,7,"Kn","#E38776"
