"bin","max","min","mid","hemisphere","ssc","name","max_age","mid_age","min_age","duration","abbr","color"
1,90,75,82.5,"N",0,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
2,75,60,67.5,"N",0.242130750605327,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
3,60,45,52.5,"N",0.95389507154213,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
4,45,30,37.5,"N",2.97176820208024,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
5,30,15,22.5,"N",1.53203342618384,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
6,15,0,7.5,"N",0.556328233657858,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
7,0,-15,-7.5,"S",0.321543408360129,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
8,-15,-30,-22.5,"S",0,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
9,-30,-45,-37.5,"S",1.48514851485149,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
10,-45,-60,-52.5,"S",0.540540540540541,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
11,-60,-75,-67.5,"S",0,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
12,-75,-90,-82.5,"S",0,"piacenzian",3.6,3.094,2.588,1.012,"Pc","#FFFFBF"
1,90,75,82.5,"N",0,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
2,75,60,67.5,"N",0.120192307692308,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
3,60,45,52.5,"N",0.890207715133531,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
4,45,30,37.5,"N",2.51851851851852,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
5,30,15,22.5,"N",1.14285714285714,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
6,15,0,7.5,"N",0.679347826086957,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
7,0,-15,-7.5,"S",0.661157024793388,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
8,-15,-30,-22.5,"S",0.213675213675214,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
9,-30,-45,-37.5,"S",1.37931034482759,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
10,-45,-60,-52.5,"S",0,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
11,-60,-75,-67.5,"S",0.240963855421687,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
12,-75,-90,-82.5,"S",0,"zanclean",5.333,4.4665,3.6,1.733,"Z","#FFFFB3"
1,90,75,82.5,"N",0,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
2,75,60,67.5,"N",0,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
3,60,45,52.5,"N",0.258732212160414,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
4,45,30,37.5,"N",3.1104199066874,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
5,30,15,22.5,"N",0.786163522012579,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
6,15,0,7.5,"N",0.275862068965517,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
7,0,-15,-7.5,"S",0.35778175313059,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
8,-15,-30,-22.5,"S",0,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
9,-30,-45,-37.5,"S",0.19723865877712,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
10,-45,-60,-52.5,"S",0,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
11,-60,-75,-67.5,"S",0.118906064209275,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
