"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.28,0,1.52499999999999
2,75,60,67.5,"N",5.81813,2,10.4323
3,60,45,52.5,"N",21.48604,15.536275,26.36525
4,45,30,37.5,"N",36.0665,33.119275,38.353975
5,30,15,22.5,"N",8.61064,3,13.985775
6,15,0,7.5,"N",0.36,0,2
7,0,-15,-7.5,"S",0.16,0,1.52499999999999
8,-15,-30,-22.5,"S",0.21,0,1
9,-30,-45,-37.5,"S",0.94,0,3
10,-45,-60,-52.5,"S",5.5699,2,10.95485
11,-60,-75,-67.5,"S",1.16,0,3
12,-75,-90,-82.5,"S",NA,NA,NA
