"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.12,0,1
2,75,60,67.5,"N",1.45997,0,4.52499999999999
3,60,45,52.5,"N",NA,NA,NA
4,45,30,37.5,"N",34.44538,32.0453,36.623075
5,30,15,22.5,"N",11.57403,6.471675,17.391475
6,15,0,7.5,"N",0.32,0,1.52499999999999
7,0,-15,-7.5,"S",0.03,0,0.524999999999991
8,-15,-30,-22.5,"S",NA,NA,NA
9,-30,-45,-37.5,"S",0.43,0,2
10,-45,-60,-52.5,"S",2.3999,0,5.52499999999999
11,-60,-75,-67.5,"S",11.49569,5.47215,16.807675
12,-75,-90,-82.5,"S",0.12,0,1
