"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.32,0,1.52499999999999
2,75,60,67.5,"N",1.65,0,4
3,60,45,52.5,"N",13.3312,6.99475,20.95875
4,45,30,37.5,"N",36.0678,33.39375,38.153
5,30,15,22.5,"N",6.557,2,10.9105
6,15,0,7.5,"N",0.82,0,2.52499999999999
7,0,-15,-7.5,"S",0.26,0,2
8,-15,-30,-22.5,"S",2.849,0,7.04999999999998
9,-30,-45,-37.5,"S",24.6871,19.58425,29.25075
10,-45,-60,-52.5,"S",11.7308,5.99475,17.7925
11,-60,-75,-67.5,"S",3.9678,1,8.96
12,-75,-90,-82.5,"S",NA,NA,NA
