"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",9.37608,4.999475,15.6292
4,45,30,37.5,"N",34.50969,32.096275,36.975175
5,30,15,22.5,"N",3.39951,0.475,6.99025
6,15,0,7.5,"N",0.23,0,1.52499999999999
7,0,-15,-7.5,"S",0.03,0,0.524999999999991
8,-15,-30,-22.5,"S",0.33,0,2
9,-30,-45,-37.5,"S",1.55999,0,4
10,-45,-60,-52.5,"S",8.93067,3.475,14.494925
11,-60,-75,-67.5,"S",0.3,0,1.52499999999999
12,-75,-90,-82.5,"S",NA,NA,NA
