"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",1.15,0,3.52499999999999
2,75,60,67.5,"N",3.7285,0.475,7.97625
3,60,45,52.5,"N",23.8138,18.9635,28.01225
4,45,30,37.5,"N",34.2864,31.21425,36.94925
5,30,15,22.5,"N",9.7711,5,15.79275
6,15,0,7.5,"N",1.07,0,3
7,0,-15,-7.5,"S",1.15,0,3
8,-15,-30,-22.5,"S",4.7354,1.475,9.9405
9,-30,-45,-37.5,"S",12.3008,3.95,17.62525
10,-45,-60,-52.5,"S",5.0074,2,7.99525
11,-60,-75,-67.5,"S",0.46,0,2
12,-75,-90,-82.5,"S",0.03,0,0.524999999999991
