"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",4.95921,1,9.896325
3,60,45,52.5,"N",36.00967,33.88655,37.782
4,45,30,37.5,"N",38.37453,36.647075,40.00325
5,30,15,22.5,"N",7.91213,3.475,13.463125
6,15,0,7.5,"N",0.4,0,2
7,0,-15,-7.5,"S",0.03,0,0.524999999999991
8,-15,-30,-22.5,"S",NA,NA,NA
9,-30,-45,-37.5,"S",6.5142,2.475,9.953675
10,-45,-60,-52.5,"S",5.34447,1,9.48909999999999
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",0.01,0,0
