"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.88,0,3
2,75,60,67.5,"N",1.31,0,4.52499999999999
3,60,45,52.5,"N",34.3685,31.73275,36.5165
4,45,30,37.5,"N",31.112,27.53325,34.5015
5,30,15,22.5,"N",13.8068,8.959,19.52
6,15,0,7.5,"N",2.0598,0,4.52499999999999
7,0,-15,-7.5,"S",0.23,0,1.52499999999999
8,-15,-30,-22.5,"S",4.6871,1,8.99
9,-30,-45,-37.5,"S",15.7859,9.9595,21.4665
10,-45,-60,-52.5,"S",9.6727,4.475,15.4
11,-60,-75,-67.5,"S",0.17,0,1.52499999999999
12,-75,-90,-82.5,"S",NA,NA,NA
