"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",5.74625,2,10.874525
3,60,45,52.5,"N",9.66444,4.475,15.97885
4,45,30,37.5,"N",28.34251,24.078125,32.07975
5,30,15,22.5,"N",13.06036,7.429375,17.743125
6,15,0,7.5,"N",0.31,0,1.52499999999999
7,0,-15,-7.5,"S",0.47,0,2
8,-15,-30,-22.5,"S",4.13614,1,8.49382499999999
9,-30,-45,-37.5,"S",7.00442,3,13.63505
10,-45,-60,-52.5,"S",0.39,0,2
11,-60,-75,-67.5,"S",1.4,0,4
12,-75,-90,-82.5,"S",0.01,0,0
