"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.01,0,0
2,75,60,67.5,"N",0.61,0,3
3,60,45,52.5,"N",34.17225,31.53775,36.67015
4,45,30,37.5,"N",40.69201,39.276075,41.919325
5,30,15,22.5,"N",12.93842,6.996475,18.897675
6,15,0,7.5,"N",0.71,0,2.52499999999999
7,0,-15,-7.5,"S",0.11,0,1
8,-15,-30,-22.5,"S",2.8192,0,7.985
9,-30,-45,-37.5,"S",8.57226,3,15.884225
10,-45,-60,-52.5,"S",4.14633,1,8.50587499999999
11,-60,-75,-67.5,"S",1.42,0,4.52499999999999
12,-75,-90,-82.5,"S",NA,NA,NA
