"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",10.2814,4,15.63825
3,60,45,52.5,"N",41.3241,40.05825,42.32625
4,45,30,37.5,"N",39.0468,37.38425,40.715
5,30,15,22.5,"N",19.1874,14.1345,24.17525
6,15,0,7.5,"N",2.4996,0,6.51974999999999
7,0,-15,-7.5,"S",0.37,0,2
8,-15,-30,-22.5,"S",2.6197,0,5.52499999999999
9,-30,-45,-37.5,"S",7.3163,3,13.08525
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",2.14,0,5
12,-75,-90,-82.5,"S",NA,NA,NA
