"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.05,0,1
2,75,60,67.5,"N",3.27888,1,6.52184999999999
3,60,45,52.5,"N",4.76601,1,8.98105
4,45,30,37.5,"N",23.78085,19.968875,27.309325
5,30,15,22.5,"N",12.20206,6.45405,17.342875
6,15,0,7.5,"N",0.51,0,2.52499999999999
7,0,-15,-7.5,"S",0.38,0,2
8,-15,-30,-22.5,"S",3.60769,1,6.51029999999999
9,-30,-45,-37.5,"S",10.25582,4,16.795225
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",NA,NA,NA
