"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",1.37,0,4
3,60,45,52.5,"N",2.13994,0,5.99905
4,45,30,37.5,"N",23.43255,18.475075,27.181525
5,30,15,22.5,"N",4.7087,1,8.914525
6,15,0,7.5,"N",0.17,0,1
7,0,-15,-7.5,"S",0.17,0,1.52499999999999
8,-15,-30,-22.5,"S",2.46996,0,5.998575
9,-30,-45,-37.5,"S",25.45591,20.71135,29.970925
10,-45,-60,-52.5,"S",20.21825,13.802025,25.84195
11,-60,-75,-67.5,"S",1.53,0,4
12,-75,-90,-82.5,"S",NA,NA,NA
