"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.56,0,2
2,75,60,67.5,"N",0.33,0,1
3,60,45,52.5,"N",25.09794,19.90975,28.610625
4,45,30,37.5,"N",20.40435,13.587575,25.784075
5,30,15,22.5,"N",9.80059,3.475,15.746525
6,15,0,7.5,"N",0.55999,0,2
7,0,-15,-7.5,"S",0.42,0,2
8,-15,-30,-22.5,"S",1.99983,0,5.52394999999999
9,-30,-45,-37.5,"S",18.28121,11.343975,23.495075
10,-45,-60,-52.5,"S",2.97975,0,6.996525
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",0.02,0,0
