"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",24.0425,19.1805,27.68175
4,45,30,37.5,"N",34.5638,31.65325,36.5925
5,30,15,22.5,"N",16.0611,10.278,20.99475
6,15,0,7.5,"N",1.02,0,3.52499999999999
7,0,-15,-7.5,"S",0.3,0,2
8,-15,-30,-22.5,"S",1.46,0,3.52499999999999
9,-30,-45,-37.5,"S",3.8893,1,7.99525
10,-45,-60,-52.5,"S",14.9719,7.98475,21.2545
11,-60,-75,-67.5,"S",0.65,0,2
12,-75,-90,-82.5,"S",NA,NA,NA
