"id","x","y","rep","collections"
8,-22.5,-43.5,1,5
10,31.5,40.5,1,8
21,20.5,22.5,1,2
32,75.5,43.5,1,7
33,-48.5,43.5,1,1
38,31.5,40.5,1,8
58,96.5,47.5,1,1
71,167.5,34.5,1,1
87,-26.5,-34.5,1,5
88,96.5,47.5,1,1
98,20.5,22.5,1,2
109,40.5,38.5,1,2
115,53.5,43.5,1,1
120,-22.5,-43.5,1,5
135,27.5,36.5,1,1
135,29.5,34.5,1,2
145,167.5,34.5,1,1
173,6.5,26.5,1,1
174,68.5,46.5,1,1
174,75.5,43.5,1,7
188,20.5,36.5,1,5
209,-48.5,43.5,1,1
212,-26.5,-34.5,1,5
213,-24.5,-25.5,1,2
221,20.5,29.5,1,4
222,31.5,40.5,1,8
227,-49.5,28.5,1,2
243,31.5,40.5,1,8
246,40.5,38.5,1,2
259,-48.5,43.5,1,1
264,-27.5,-31.5,1,7
264,-24.5,-25.5,1,2
276,40.5,38.5,1,2
285,53.5,43.5,1,1
286,11.5,42.5,1,1
288,40.5,38.5,1,2
297,11.5,42.5,1,1
301,-60.5,34.5,1,4
309,75.5,43.5,1,7
313,11.5,42.5,1,1
313,96.5,47.5,1,1
313,90.5,48.5,1,1
318,30.5,43.5,1,3
319,30.5,43.5,1,3
330,-48.5,43.5,1,1
333,-60.5,34.5,1,4
337,20.5,29.5,1,4
337,22.5,39.5,1,5
339,96.5,47.5,1,1
342,-48.5,43.5,1,1
345,29.5,39.5,1,2
346,40.5,38.5,1,2
351,75.5,43.5,1,7
358,68.5,46.5,1,1
358,75.5,43.5,1,7
383,29.5,39.5,1,2
386,-22.5,-43.5,1,5
386,-24.5,-25.5,1,2
386,-27.5,-31.5,1,7
390,45.5,37.5,1,1
394,96.5,47.5,1,1
395,-22.5,-43.5,1,5
397,45.5,37.5,1,1
415,96.5,47.5,1,1
426,40.5,38.5,1,2
432,31.5,40.5,1,8
436,-49.5,28.5,1,2
437,14.5,42.5,1,9
454,30.5,43.5,1,3
454,29.5,34.5,1,2
465,20.5,36.5,1,5
465,40.5,38.5,1,2
475,14.5,42.5,1,9
479,20.5,29.5,1,4
488,53.5,43.5,1,1
491,75.5,43.5,1,7
493,-22.5,-43.5,1,5
506,-48.5,43.5,1,1
509,90.5,48.5,1,1
548,20.5,36.5,1,5
565,31.5,40.5,1,8
565,14.5,42.5,1,9
590,14.5,42.5,1,9
599,11.5,42.5,1,1
608,68.5,46.5,1,1
610,53.5,43.5,1,1
612,20.5,36.5,1,5
615,-22.5,-43.5,1,5
653,11.5,47.5,1,6
665,-22.5,-43.5,1,5
670,11.5,42.5,1,1
671,-48.5,43.5,1,1
676,-22.5,-43.5,1,5
680,96.5,47.5,1,1
685,19.5,21.5,1,1
695,75.5,43.5,1,7
696,75.5,43.5,1,7
700,167.5,34.5,1,1
724,30.5,43.5,1,3
725,31.5,40.5,1,8
726,53.5,43.5,1,1
731,14.5,42.5,1,9
734,-22.5,-43.5,1,5
762,29.5,34.5,1,2
767,75.5,43.5,1,7
768,75.5,43.5,1,7
779,-26.5,-34.5,1,5
779,-27.5,-31.5,1,7
787,-49.5,28.5,1,2
809,75.5,43.5,1,7
810,68.5,46.5,1,1
814,75.5,43.5,1,7
815,40.5,38.5,1,2
816,68.5,46.5,1,1
823,22.5,39.5,1,5
823,20.5,22.5,1,2
834,29.5,39.5,1,2
856,11.5,42.5,1,1
867,96.5,47.5,1,1
871,45.5,37.5,1,1
873,40.5,38.5,1,2
888,22.5,39.5,1,5
901,14.5,42.5,1,9
904,45.5,37.5,1,1
909,-48.5,43.5,1,1
909,-50.5,58.5,1,11
913,-60.5,34.5,1,4
919,27.5,36.5,1,1
930,22.5,39.5,1,5
935,53.5,43.5,1,1
939,-48.5,43.5,1,1
953,90.5,48.5,1,1
957,-177.5,43.5,1,2
962,20.5,29.5,1,4
964,-48.5,43.5,1,1
970,20.5,36.5,1,5
977,96.5,47.5,1,1
