"id","x","y","rep","collections"
7,18.5,46.5,1,4
13,21.5,47.5,1,1
16,21.5,46.5,1,15
16,32.5,46.5,1,1
27,18.5,46.5,1,4
33,32.5,46.5,1,1
33,23.5,45.5,1,7
41,25.5,40.5,1,2
41,21.5,34.5,1,1
41,23.5,47.5,1,1
53,52.5,38.5,1,1
54,-53.5,36.5,1,2
54,-58.5,52.5,1,23
56,133.5,28.5,1,1
57,60.5,36.5,1,2
59,-51.5,34.5,1,1
59,-61.5,50.5,1,7
59,-51.5,35.5,1,8
59,-62.5,46.5,1,7
59,-51.5,36.5,1,8
59,-49.5,34.5,1,1
59,-52.5,36.5,1,7
60,54.5,45.5,1,1
61,20.5,34.5,1,1
61,20.5,33.5,1,1
61,21.5,34.5,1,1
63,28.5,43.5,1,2
64,-54.5,38.5,1,1
64,-54.5,43.5,1,3
64,-54.5,41.5,1,2
76,20.5,47.5,1,1
80,23.5,44.5,1,1
80,22.5,46.5,1,15
81,-48.5,35.5,1,2
81,-50.5,35.5,1,5
81,-49.5,36.5,1,18
81,-53.5,35.5,1,5
88,-50.5,35.5,1,5
88,-49.5,34.5,1,1
88,-50.5,36.5,1,19
88,-49.5,36.5,1,18
88,-50.5,33.5,1,5
88,-49.5,35.5,1,1
96,19.5,46.5,1,2
104,29.5,43.5,1,1
104,22.5,44.5,1,1
105,137.5,-62.5,1,1
107,68.5,21.5,1,2
107,68.5,38.5,1,2
119,-56.5,33.5,1,15
137,24.5,45.5,1,7
138,21.5,34.5,1,1
142,-51.5,43.5,1,1
142,-48.5,35.5,1,2
144,-56.5,52.5,1,2
144,-58.5,51.5,1,2
145,65.5,34.5,1,3
146,23.5,44.5,1,1
146,24.5,43.5,1,2
146,21.5,44.5,1,2
160,20.5,37.5,1,3
160,24.5,44.5,1,1
160,18.5,38.5,1,2
161,-53.5,36.5,1,2
161,-55.5,37.5,1,2
164,-54.5,41.5,1,2
164,-51.5,36.5,1,8
164,-51.5,43.5,1,1
164,-54.5,43.5,1,3
164,-52.5,36.5,1,7
177,32.5,-39.5,1,2
182,142.5,49.5,1,1
184,-58.5,38.5,1,2
196,25.5,39.5,1,2
197,-49.5,34.5,1,1
197,-54.5,37.5,1,1
197,-61.5,46.5,1,1
209,24.5,47.5,1,1
209,23.5,45.5,1,7
209,21.5,47.5,1,1
209,24.5,45.5,1,7
214,28.5,43.5,1,2
214,26.5,44.5,1,4
215,23.5,46.5,1,8
215,18.5,39.5,1,3
216,27.5,39.5,1,1
218,-61.5,50.5,1,7
224,29.5,40.5,1,11
225,133.5,-62.5,1,1
231,26.5,44.5,1,4
231,29.5,43.5,1,1
231,24.5,47.5,1,1
231,25.5,46.5,1,1
231,23.5,44.5,1,1
238,39.5,44.5,1,1
239,-57.5,50.5,1,2
239,-49.5,43.5,1,36
243,-62.5,46.5,1,7
245,31.5,41.5,1,7
245,30.5,42.5,1,3
245,29.5,43.5,1,1
248,68.5,38.5,1,2
251,-57.5,64.5,1,1
251,-57.5,52.5,1,44
251,-57.5,51.5,1,9
251,-56.5,52.5,1,2
263,-59.5,61.5,1,2
263,-67.5,62.5,1,18
264,-63.5,35.5,1,1
264,-59.5,38.5,1,4
265,23.5,45.5,1,7
265,23.5,44.5,1,1
273,20.5,47.5,1,1
273,18.5,38.5,1,2
278,65.5,34.5,1,3
278,68.5,38.5,1,2
281,-49.5,36.5,1,18
281,-60.5,49.5,1,4
281,-50.5,43.5,1,22
281,-55.5,42.5,1,2
281,-54.5,37.5,1,1
281,-50.5,33.5,1,5
281,-55.5,25.5,1,1
284,69.5,33.5,1,1
284,65.5,34.5,1,3
287,-53.5,36.5,1,2
287,-62.5,46.5,1,7
294,39.5,44.5,1,1
305,19.5,46.5,1,2
305,20.5,46.5,1,4
305,21.5,49.5,1,3
305,24.5,45.5,1,7
305,20.5,47.5,1,1
305,25.5,46.5,1,1
305,24.5,43.5,1,2
305,21.5,47.5,1,1
305,21.5,44.5,1,2
305,18.5,46.5,1,4
309,-54.5,37.5,1,1
309,-50.5,43.5,1,22
309,-49.5,43.5,1,36
311,25.5,62.5,1,18
330,142.5,49.5,1,1
331,25.5,43.5,1,5
331,19.5,38.5,1,4
331,25.5,40.5,1,2
336,-58.5,51.5,1,2
341,-62.5,36.5,1,2
341,-63.5,35.5,1,1
341,-55.5,37.5,1,2
350,19.5,37.5,1,2
355,133.5,28.5,1,1
358,-57.5,51.5,1,9
366,24.5,43.5,1,2
368,20.5,34.5,1,1
368,20.5,35.5,1,4
368,20.5,33.5,1,1
368,19.5,35.5,1,2
371,-51.5,36.5,1,8
371,-53.5,39.5,1,2
371,-60.5,37.5,1,2
371,-59.5,38.5,1,4
371,-62.5,36.5,1,2
371,-58.5,38.5,1,2
373,135.5,-62.5,1,2
374,-54.5,40.5,1,2
374,-54.5,43.5,1,3
382,24.5,43.5,1,2
382,17.5,33.5,1,1
389,-30.5,-45.5,1,4
389,-31.5,-46.5,1,1
394,69.5,33.5,1,1
394,68.5,38.5,1,2
410,-53.5,43.5,1,1
411,-59.5,38.5,1,4
411,-55.5,37.5,1,2
413,-53.5,43.5,1,1
420,26.5,44.5,1,4
420,29.5,43.5,1,1
423,20.5,34.5,1,1
429,20.5,35.5,1,4
435,-59.5,53.5,1,4
435,-60.5,47.5,1,1
435,-61.5,49.5,1,2
435,-61.5,46.5,1,1
438,23.5,46.5,1,8
450,25.5,45.5,1,8
450,17.5,33.5,1,1
450,24.5,44.5,1,1
450,26.5,39.5,1,8
450,19.5,38.5,1,4
452,26.5,39.5,1,8
452,30.5,42.5,1,3
460,24.5,43.5,1,2
460,28.5,43.5,1,2
460,25.5,43.5,1,5
461,32.5,41.5,1,1
467,21.5,34.5,1,1
471,32.5,46.5,1,1
482,62.5,45.5,1,1
490,22.5,44.5,1,1
490,22.5,46.5,1,15
490,28.5,43.5,1,2
490,20.5,47.5,1,1
490,25.5,40.5,1,2
490,18.5,46.5,1,4
490,24.5,43.5,1,2
490,24.5,45.5,1,7
490,20.5,46.5,1,4
490,25.5,44.5,1,5
490,23.5,47.5,1,1
500,19.5,46.5,1,2
500,18.5,46.5,1,4
500,20.5,46.5,1,4
511,20.5,35.5,1,4
523,30.5,42.5,1,3
528,23.5,45.5,1,7
533,20.5,37.5,1,3
533,21.5,44.5,1,2
533,21.5,47.5,1,1
534,28.5,40.5,1,8
538,29.5,43.5,1,1
538,19.5,39.5,1,3
538,19.5,37.5,1,2
539,22.5,44.5,1,1
539,23.5,45.5,1,7
548,62.5,45.5,1,1
560,32.5,-39.5,1,2
561,12.5,36.5,1,1
563,29.5,40.5,1,11
567,-51.5,23.5,1,2
577,142.5,49.5,1,1
581,18.5,46.5,1,4
581,22.5,47.5,1,1
