"id","x","y","rep","collections"
3,110.5,40.5,1,4
28,-42.5,24.5,1,1
28,-47.5,16.5,1,345
28,-57.5,28.5,1,2
34,110.5,40.5,1,4
37,44.5,38.5,1,1
37,68.5,43.5,1,3
38,-3.5,51.5,1,2
40,144.5,41.5,1,21
64,149.5,29.5,1,4
68,-57.5,28.5,1,2
71,-18.5,44.5,1,2
82,31.5,-9.5,1,14
82,49.5,-22.5,1,2
86,46.5,36.5,1,1
96,-23.5,73.5,1,9
115,-40.5,35.5,1,31
115,-11.5,46.5,1,2
120,29.5,29.5,1,6
120,21.5,29.5,1,8
127,25.5,32.5,1,1
127,24.5,26.5,1,39
128,-18.5,74.5,1,1
138,-18.5,44.5,1,2
139,46.5,36.5,1,1
144,19.5,28.5,1,23
158,32.5,25.5,1,14
159,-3.5,51.5,1,2
165,-27.5,73.5,1,1
168,27.5,31.5,1,2
170,144.5,41.5,1,21
180,46.5,44.5,1,1
204,-0.5,48.5,1,7
214,31.5,27.5,1,13
214,32.5,25.5,1,14
217,80.5,17.5,1,1
217,92.5,16.5,1,5
221,124.5,33.5,1,1
221,126.5,13.5,1,1
226,-11.5,46.5,1,2
227,46.5,36.5,1,1
233,40.5,46.5,1,2
233,24.5,26.5,1,39
234,76.5,-31.5,1,5
241,22.5,24.5,1,117
241,19.5,28.5,1,23
241,20.5,22.5,1,27
241,27.5,31.5,1,2
241,20.5,26.5,1,48
248,21.5,29.5,1,8
248,19.5,28.5,1,23
267,40.5,46.5,1,2
267,46.5,44.5,1,1
271,147.5,-77.5,1,101
274,-40.5,35.5,1,31
274,-40.5,32.5,1,1
274,-42.5,33.5,1,89
274,-42.5,24.5,1,1
279,110.5,40.5,1,4
280,144.5,41.5,1,21
295,-42.5,33.5,1,89
300,-57.5,28.5,1,2
304,-10.5,45.5,1,2
307,-10.5,45.5,1,2
308,44.5,38.5,1,1
317,-10.5,45.5,1,2
317,-18.5,44.5,1,2
319,-10.5,45.5,1,2
321,44.5,38.5,1,1
321,40.5,28.5,1,16
321,33.5,28.5,1,3
322,-40.5,32.5,1,1
348,120.5,10.5,1,9
351,22.5,20.5,1,99
351,20.5,12.5,1,73
354,110.5,40.5,1,4
355,-42.5,33.5,1,89
362,46.5,36.5,1,1
365,-1.5,47.5,1,88
366,37.5,32.5,1,1
367,-40.5,35.5,1,31
372,144.5,41.5,1,21
378,17.5,27.5,1,13
382,-18.5,44.5,1,2
385,-0.5,48.5,1,7
387,40.5,28.5,1,16
391,46.5,36.5,1,1
391,44.5,38.5,1,1
398,25.5,29.5,1,56
400,46.5,44.5,1,1
406,46.5,44.5,1,1
406,46.5,36.5,1,1
407,-43.5,28.5,1,4
407,-40.5,35.5,1,31
416,19.5,11.5,1,5
416,20.5,12.5,1,73
416,18.5,9.5,1,1
416,20.5,22.5,1,27
435,68.5,43.5,1,3
436,76.5,-31.5,1,5
436,75.5,-27.5,1,12
450,35.5,30.5,1,40
450,31.5,27.5,1,13
450,29.5,29.5,1,6
450,32.5,25.5,1,14
454,37.5,32.5,1,1
456,37.5,32.5,1,1
464,-3.5,51.5,1,2
470,76.5,-31.5,1,5
470,84.5,-32.5,1,2
477,-0.5,48.5,1,7
478,76.5,-31.5,1,5
498,46.5,44.5,1,1
498,44.5,38.5,1,1
507,-11.5,46.5,1,2
508,84.5,-32.5,1,2
512,40.5,46.5,1,2
512,42.5,36.5,1,34
512,35.5,30.5,1,40
512,25.5,32.5,1,1
514,-42.5,24.5,1,1
514,-41.5,30.5,1,16
514,-41.5,77.5,1,2
515,-42.5,33.5,1,89
515,-43.5,28.5,1,4
515,-40.5,32.5,1,1
520,-11.5,71.5,1,16
532,-40.5,35.5,1,31
534,17.5,27.5,1,13
534,19.5,28.5,1,23
541,144.5,41.5,1,21
547,25.5,32.5,1,1
549,124.5,33.5,1,1
554,42.5,36.5,1,34
562,114.5,-32.5,1,1
565,20.5,26.5,1,48
569,144.5,41.5,1,21
579,144.5,41.5,1,21
592,-1.5,47.5,1,88
592,-0.5,48.5,1,7
599,110.5,40.5,1,4
608,19.5,28.5,1,23
608,20.5,22.5,1,27
608,22.5,24.5,1,117
618,44.5,38.5,1,1
626,77.5,-35.5,1,11
632,68.5,43.5,1,3
633,-49.5,17.5,1,81
637,-3.5,51.5,1,2
641,-41.5,30.5,1,16
642,-3.5,51.5,1,2
680,-15.5,71.5,1,87
680,-11.5,71.5,1,16
682,-42.5,33.5,1,89
686,84.5,-32.5,1,2
693,-82.5,71.5,1,1
707,17.5,27.5,1,13
718,-57.5,28.5,1,2
724,-18.5,44.5,1,2
762,-0.5,48.5,1,7
763,24.5,26.5,1,39
763,20.5,22.5,1,27
771,-0.5,48.5,1,7
771,-1.5,47.5,1,88
773,76.5,-31.5,1,5
789,114.5,-32.5,1,1
792,46.5,36.5,1,1
799,-10.5,45.5,1,2
799,-11.5,46.5,1,2
805,-18.5,44.5,1,2
808,-0.5,48.5,1,7
810,33.5,28.5,1,3
810,22.5,24.5,1,117
810,19.5,28.5,1,23
813,27.5,31.5,1,2
813,25.5,32.5,1,1
819,-0.5,48.5,1,7
832,20.5,26.5,1,48
834,-1.5,47.5,1,88
834,-11.5,46.5,1,2
841,104.5,-1.5,1,61
842,46.5,44.5,1,1
844,-1.5,47.5,1,88
850,84.5,-32.5,1,2
855,110.5,40.5,1,4
856,144.5,41.5,1,21
857,-41.5,30.5,1,16
866,-11.5,46.5,1,2
866,-18.5,44.5,1,2
883,-41.5,77.5,1,2
898,25.5,32.5,1,1
898,21.5,29.5,1,8
898,25.5,29.5,1,56
905,-42.5,33.5,1,89
905,-43.5,28.5,1,4
906,77.5,-35.5,1,11
907,84.5,-32.5,1,2
908,124.5,33.5,1,1
946,-0.5,48.5,1,7
951,-42.5,33.5,1,89
951,-42.5,24.5,1,1
951,-41.5,30.5,1,16
953,68.5,43.5,1,3
957,124.5,33.5,1,1
968,44.5,38.5,1,1
972,-40.5,32.5,1,1
972,-42.5,33.5,1,89
972,-40.5,35.5,1,31
